SURVEY:  PS1MD
SNID:  2020tvk
otherID: 
IAUC:    UNKNOWN
RA:        45.7772060  deg
DECL:       0.2417540  deg
MWEBV:    0.081 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tvk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0018
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.320 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 79
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59053.61 g NULL  46.182 52.382 23.339 1.231 0x00
OBS: 59076.62 g NULL  -43.460 50.397 nan -1.259 0x00
OBS: 59103.61 g NULL  523.804 149.104 20.702 0.309 0x09
OBS: 59105.60 g NULL  708.458 66.992 20.374 0.103 0x00
OBS: 59110.51 g NULL  933.021 47.576 20.075 0.055 0x00
OBS: 59114.57 g NULL  925.773 75.549 20.084 0.089 0x00
OBS: 59132.56 g NULL  307.754 53.862 21.279 0.190 0x00
OBS: 59136.51 g NULL  126.045 46.761 22.249 0.403 0x00
OBS: 59138.46 g NULL  306.377 285.211 21.284 1.011 0x00
OBS: 59146.46 g NULL  61.031 46.397 23.036 0.825 0x00
OBS: 59161.45 g NULL  130.618 74.951 22.210 0.623 0x00
OBS: 59167.45 g NULL  -27.439 72.119 nan -2.854 0x00
OBS: 59172.39 g NULL  -6.041 56.393 nan -10.135 0x00
OBS: 59190.41 g NULL  47.072 62.594 23.318 1.444 0x00
OBS: 59192.37 g NULL  80.248 62.574 22.739 0.847 0x00
OBS: 59194.33 g NULL  52.861 39.446 23.192 0.810 0x00
OBS: 59198.36 g NULL  -56.171 99.211 nan -1.918 0x00
OBS: 59458.57 g NULL  101.930 64.907 22.479 0.691 0x00
OBS: 59465.62 g NULL  28.498 45.366 23.863 1.728 0x00
OBS: 59467.57 g NULL  53.113 45.271 23.187 0.925 0x00
OBS: 59470.61 g NULL  -2.555 53.495 nan -22.732 0x00
OBS: 59485.56 g NULL  69.332 111.791 22.898 1.751 0x00
OBS: 59488.60 g NULL  -57.176 80.267 nan -1.524 0x00
OBS: 59491.50 g NULL  75.811 50.222 22.801 0.719 0x00
OBS: 59500.50 g NULL  -104.532 63.424 nan -0.659 0x00
OBS: 59516.46 g NULL  379.609 202.845 21.052 0.580 0x00
OBS: 59519.57 g NULL  3.617 45.328 26.104 13.606 0x00
OBS: 59525.47 g NULL  50.528 45.057 23.241 0.968 0x00
OBS: 59529.48 g NULL  -25.227 52.797 nan -2.272 0x00
OBS: 59062.58 r NULL  18.904 43.854 24.309 2.519 0x00
OBS: 59076.62 r NULL  -51.156 51.199 nan -1.087 0x00
OBS: 59090.58 r NULL  110.247 45.194 22.394 0.445 0x00
