SURVEY:  PS1MD
SNID:  2020twa
otherID: 
IAUC:    UNKNOWN
RA:        6.8622060  deg
DECL:       25.6832020  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020twa.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0054
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.264 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 63
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59078.47 g NULL  61.390 50.183 23.030 0.888 0x00
OBS: 59082.43 g NULL  10.272 42.735 24.971 4.517 0x00
OBS: 59083.61 g NULL  -48.028 62.981 nan -1.424 0x01
OBS: 59084.60 g NULL  -34.711 54.080 nan -1.692 0x00
OBS: 59107.53 g NULL  448.173 53.342 20.871 0.129 0x01
OBS: 59113.48 g NULL  471.609 61.008 20.816 0.140 0x00
OBS: 59133.48 g NULL  187.469 84.037 21.818 0.487 0x00
OBS: 59137.46 g NULL  21.930 38.125 24.147 1.888 0x01
OBS: 59142.27 g NULL  63.106 70.423 23.000 1.212 0x00
OBS: 59146.45 g NULL  71.500 64.942 22.864 0.986 0x00
OBS: 59173.37 g NULL  -68.816 103.532 nan -1.633 0x00
OBS: 59190.28 g NULL  57.735 45.193 23.096 0.850 0x00
OBS: 59400.57 g NULL  -56.142 47.986 nan -0.928 0x00
OBS: 59408.55 g NULL  12.042 40.212 24.798 3.626 0x00
OBS: 59410.56 g NULL  49.363 85.417 23.266 1.879 0x00
OBS: 59435.45 g NULL  56.408 57.513 23.122 1.107 0x00
OBS: 59438.46 g NULL  6.285 46.417 25.504 8.019 0x00
OBS: 59443.45 g NULL  19.751 82.986 24.261 4.562 0x01
OBS: 59458.59 g NULL  43.750 126.153 23.398 3.131 0x00
OBS: 59493.49 g NULL  52.338 49.065 23.203 1.018 0x00
OBS: 59519.27 g NULL  -0.587 52.392 nan -96.906 0x00
OBS: 59526.21 g NULL  -49.943 50.966 nan -1.108 0x01
OBS: 59530.21 g NULL  123.589 68.631 22.270 0.603 0x00
OBS: 59078.46 r NULL  -2.150 45.883 nan -23.171 0x00
OBS: 59082.43 r NULL  -9.625 47.796 nan -5.392 0x00
OBS: 59084.61 r NULL  17.048 44.958 24.421 2.863 0x00
OBS: 59093.41 r NULL  -102.412 89.697 nan -0.951 0x01
OBS: 59100.42 r NULL  -39.678 81.635 nan -2.234 0x00
OBS: 59107.53 r NULL  524.891 43.079 20.700 0.089 0x00
OBS: 59113.48 r NULL  631.899 76.295 20.498 0.131 0x00
OBS: 59121.52 r NULL  912.163 134.011 20.100 0.160 0x00
OBS: 59128.47 r NULL  469.466 79.715 20.821 0.184 0x00
OBS: 59154.40 r NULL  -28.053 83.603 nan -3.236 0x00
OBS: 59156.37 r NULL  89.141 71.838 22.625 0.875 0x00
OBS: 59158.39 r NULL  143.888 53.383 22.105 0.403 0x00
OBS: 59182.36 r NULL  -11.180 109.158 nan -10.601 0x00
OBS: 59184.31 r NULL  75.439 65.691 22.806 0.945 0x00
OBS: 59186.34 r NULL  -2.288 72.030 nan -34.181 0x00
OBS: 59188.32 r NULL  19.506 176.020 24.275 9.798 0x00
OBS: 59408.55 r NULL  14.714 40.626 24.581 2.998 0x00
OBS: 59410.56 r NULL  91.130 74.466 22.601 0.887 0x00
OBS: 59415.50 r NULL  41.549 59.939 23.454 1.566 0x00
OBS: 59421.52 r NULL  -52.820 108.480 nan -2.230 0x00
OBS: 59435.45 r NULL  17.983 43.345 24.363 2.617 0x00
OBS: 59482.50 r NULL  124.794 72.567 22.260 0.631 0x00
OBS: 59519.27 r NULL  65.677 37.230 22.956 0.615 0x00
OBS: 59083.60 i NULL  -14.628 65.180 nan -4.838 0x00
OBS: 59093.41 i NULL  31.333 88.252 23.760 3.058 0x00
OBS: 59128.47 i NULL  325.998 78.678 21.217 0.262 0x00
OBS: 59133.48 i NULL  230.902 85.996 21.591 0.404 0x00
OBS: 59137.46 i NULL  354.159 49.339 21.127 0.151 0x01
OBS: 59142.26 i NULL  360.208 89.493 21.109 0.270 0x00
OBS: 59154.41 i NULL  275.944 117.021 21.398 0.460 0x00
OBS: 59158.39 i NULL  170.980 68.270 21.918 0.434 0x00
OBS: 59173.37 i NULL  49.374 80.319 23.266 1.766 0x01
OBS: 59184.30 i NULL  6.087 82.595 25.539 14.732 0x00
OBS: 59188.32 i NULL  179.301 96.908 21.866 0.587 0x00
OBS: 59190.28 i NULL  7.940 54.218 25.250 7.414 0x00
OBS: 59400.57 i NULL  52.895 52.321 23.191 1.074 0x00
OBS: 59415.50 i NULL  -69.385 77.786 nan -1.217 0x00
OBS: 59421.52 i NULL  20.687 121.968 24.211 6.401 0x00
OBS: 59431.47 i NULL  -40.557 56.393 nan -1.510 0x00
OBS: 59438.46 i NULL  61.942 50.637 23.020 0.888 0x00
OBS: 59458.58 i NULL  57.107 98.977 23.108 1.882 0x00
OBS: 59482.50 i NULL  169.142 69.955 21.929 0.449 0x00
OBS: 59493.49 i NULL  77.250 62.578 22.780 0.880 0x00
OBS: 59530.21 i NULL  0.547 57.628 28.155 114.385 0x00
OBS: 59100.42 z NULL  84.995 162.657 22.677 2.078 0x00
OBS: 59146.45 z NULL  164.744 105.888 21.958 0.698 0x00
OBS: 59156.37 z NULL  166.335 84.490 21.948 0.552 0x00
OBS: 59186.34 z NULL  131.543 124.764 22.202 1.030 0x00
OBS: 59443.44 z NULL  -170.364 101.931 nan -0.650 0x01
OBS: 59510.43 z NULL  202.983 190.266 21.731 1.018 0x09
END:
