SURVEY:  PS1MD
SNID:  2020twp
otherID: 
IAUC:    UNKNOWN
RA:        334.6475920  deg
DECL:       5.3336820  deg
MWEBV:    0.087 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020twp.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.813 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 100
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59019.59 g NULL  72.751 185.669 22.845 2.771 0x00
OBS: 59023.59 g NULL  -209.968 319.444 nan -1.652 0x00
OBS: 59027.57 g NULL  -6.714 44.189 nan -7.146 0x00
OBS: 59046.52 g NULL  14.226 111.650 24.617 8.521 0x00
OBS: 59050.49 g NULL  -1.142 52.711 nan -50.114 0x00
OBS: 59058.56 g NULL  -31.655 49.644 nan -1.703 0x00
OBS: 59076.47 g NULL  -4.246 36.241 nan -9.267 0x00
OBS: 59101.37 g NULL  -56.941 54.724 nan -1.043 0x00
OBS: 59103.38 g NULL  59.732 46.907 23.059 0.853 0x00
OBS: 59105.37 g NULL  -37.621 34.207 nan -0.987 0x00
OBS: 59109.34 g NULL  -42.590 71.134 nan -1.813 0x00
OBS: 59111.35 g NULL  845.880 294.014 20.182 0.377 0x00
OBS: 59113.41 g NULL  690.451 324.394 20.402 0.510 0x00
OBS: 59115.35 g NULL  1406.740 57.569 19.629 0.044 0x00
OBS: 59136.30 g NULL  638.273 50.369 20.487 0.086 0x00
OBS: 59382.57 g NULL  6.358 35.541 25.492 6.069 0x00
OBS: 59383.57 g NULL  -0.622 44.538 nan -77.744 0x00
OBS: 59406.57 g NULL  214.287 113.341 21.673 0.574 0x00
OBS: 59412.61 g NULL  125.378 41.602 22.254 0.360 0x00
OBS: 59425.42 g NULL  109.236 54.758 22.404 0.544 0x00
OBS: 59427.39 g NULL  64.463 65.002 22.977 1.095 0x00
OBS: 59434.52 g NULL  62.761 36.757 23.006 0.636 0x00
OBS: 59439.40 g NULL  -126.119 72.175 nan -0.621 0x00
OBS: 59441.43 g NULL  -13.718 39.600 nan -3.134 0x00
OBS: 59464.39 g NULL  -50.921 54.912 nan -1.171 0x01
OBS: 59469.29 g NULL  42.680 70.013 23.424 1.781 0x00
OBS: 59493.23 g NULL  56.348 53.053 23.123 1.022 0x00
OBS: 59498.43 g NULL  35.161 46.910 23.635 1.449 0x00
