SURVEY:  PS1MD
SNID:  2020uaq
otherID: 
IAUC:    UNKNOWN
RA:        233.7042920  deg
DECL:       10.9770390  deg
MWEBV:    0.031 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020uaq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.786 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 153
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58958.53 g NULL  -8.755 55.857 nan -6.927 0x00
OBS: 58962.52 g NULL  14.877 191.019 24.569 13.941 0x00
OBS: 58966.51 g NULL  0.538 49.759 28.173 100.418 0x00
OBS: 58982.52 g NULL  73.000 66.080 22.842 0.983 0x00
OBS: 58986.48 g NULL  -66.905 43.769 nan -0.710 0x01
OBS: 58994.43 g NULL  -75.421 51.343 nan -0.739 0x00
OBS: 58999.48 g NULL  58.376 41.530 23.084 0.772 0x00
OBS: 59000.50 g NULL  -33.627 42.743 nan -1.380 0x00
OBS: 59014.41 g NULL  18.475 63.855 24.334 3.753 0x00
OBS: 59017.28 g NULL  -14.822 48.849 nan -3.578 0x00
OBS: 59024.38 g NULL  79.189 34.874 22.753 0.478 0x00
OBS: 59027.28 g NULL  -12.418 47.651 nan -4.166 0x00
OBS: 59042.36 g NULL  94.442 40.258 22.562 0.463 0x00
OBS: 59048.30 g NULL  -8.152 41.036 nan -5.465 0x00
OBS: 59053.28 g NULL  23.220 42.749 24.085 1.999 0x00
OBS: 59071.27 g NULL  -1.371 67.434 nan -53.403 0x00
OBS: 59074.29 g NULL  5.414 81.269 25.666 16.298 0x09
OBS: 59078.27 g NULL  -10.643 39.799 nan -4.060 0x00
OBS: 59081.27 g NULL  -50.180 46.377 nan -1.003 0x00
OBS: 59102.24 g NULL  -24.947 56.801 nan -2.472 0x01
OBS: 59115.23 g NULL  3572.072 86.414 18.618 0.026 0x00
OBS: 59295.54 g NULL  417.908 54.304 20.947 0.141 0x00
OBS: 59316.42 g NULL  278.310 72.047 21.389 0.281 0x00
OBS: 59320.54 g NULL  402.577 64.744 20.988 0.175 0x00
OBS: 59323.43 g NULL  601.347 84.071 20.552 0.152 0x00
OBS: 59337.51 g NULL  266.508 71.436 21.436 0.291 0x00
OBS: 59343.38 g NULL  310.151 51.459 21.271 0.180 0x00
OBS: 59346.39 g NULL  372.557 51.671 21.072 0.151 0x00
OBS: 59354.37 g NULL  413.527 62.624 20.959 0.164 0x00
OBS: 59355.37 g NULL  275.462 63.668 21.400 0.251 0x00
OBS: 59371.45 g NULL  404.174 71.642 20.984 0.192 0x00
OBS: 59374.46 g NULL  232.313 86.518 21.585 0.404 0x00
