SURVEY:  PS1MD
SNID:  2020ufe
otherID: 
IAUC:    UNKNOWN
RA:        81.0188540  deg
DECL:       -23.0242010  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ufe.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.415 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 61
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59113.63 g NULL  991.886 160.369 20.009 0.176 0x00
OBS: 59141.59 g NULL  1167.142 64.400 19.832 0.060 0x00
OBS: 59161.56 g NULL  262.539 70.135 21.452 0.290 0x00
OBS: 59167.52 g NULL  194.683 305.325 21.777 1.703 0x00
OBS: 59172.52 g NULL  219.669 145.733 21.646 0.720 0x00
OBS: 59200.42 g NULL  211.205 83.253 21.688 0.428 0x00
OBS: 59206.41 g NULL  85.703 73.262 22.668 0.928 0x00
OBS: 59220.38 g NULL  80.293 53.142 22.738 0.719 0x00
OBS: 59229.39 g NULL  320.039 73.704 21.237 0.250 0x00
OBS: 59113.63 r NULL  1027.665 226.898 19.970 0.240 0x00
OBS: 59120.62 r NULL  2532.967 84.672 18.991 0.036 0x00
OBS: 59125.60 r NULL  3058.046 101.889 18.786 0.036 0x00
OBS: 59129.62 r NULL  3026.604 101.024 18.798 0.036 0x00
OBS: 59138.63 r NULL  1585.017 283.862 19.500 0.194 0x01
OBS: 59154.53 r NULL  1099.575 147.841 19.897 0.146 0x00
OBS: 59156.52 r NULL  1245.751 86.548 19.761 0.075 0x00
OBS: 59158.55 r NULL  876.709 87.982 20.143 0.109 0x00
OBS: 59167.53 r NULL  557.166 282.181 20.635 0.550 0x00
OBS: 59178.43 r NULL  438.486 153.442 20.895 0.380 0x00
OBS: 59182.50 r NULL  578.813 132.399 20.594 0.248 0x00
OBS: 59184.49 r NULL  385.639 105.094 21.035 0.296 0x00
OBS: 59187.43 r NULL  248.647 90.081 21.511 0.393 0x00
OBS: 59189.49 r NULL  326.112 61.634 21.217 0.205 0x00
OBS: 59200.42 r NULL  399.184 60.691 20.997 0.165 0x00
OBS: 59208.43 r NULL  363.908 59.893 21.098 0.179 0x00
OBS: 59210.38 r NULL  472.772 246.032 20.813 0.565 0x00
OBS: 59213.40 r NULL  1.899 122.419 26.804 69.992 0x00
OBS: 59216.38 r NULL  423.663 141.301 20.932 0.362 0x00
OBS: 59218.42 r NULL  256.669 58.131 21.477 0.246 0x00
OBS: 59225.39 r NULL  184.940 82.357 21.832 0.483 0x00
OBS: 59237.39 r NULL  -41.446 104.451 nan -2.736 0x00
OBS: 59242.36 r NULL  -22.807 304.358 nan -14.489 0x00
OBS: 59244.34 r NULL  195.812 87.809 21.770 0.487 0x00
OBS: 59246.34 r NULL  45.183 78.108 23.363 1.877 0x00
OBS: 59125.60 i NULL  2563.611 98.482 18.978 0.042 0x00
OBS: 59129.62 i NULL  2285.694 99.951 19.102 0.047 0x00
OBS: 59141.58 i NULL  1432.910 63.009 19.609 0.048 0x00
OBS: 59145.59 i NULL  1408.987 65.496 19.628 0.050 0x00
OBS: 59154.52 i NULL  1522.516 140.476 19.544 0.100 0x00
OBS: 59158.55 i NULL  1110.981 77.341 19.886 0.076 0x00
OBS: 59172.52 i NULL  434.478 113.559 20.905 0.284 0x00
OBS: 59182.50 i NULL  494.807 94.916 20.764 0.208 0x00
OBS: 59187.44 i NULL  240.525 101.491 21.547 0.458 0x00
OBS: 59189.49 i NULL  453.536 69.034 20.858 0.165 0x00
OBS: 59206.41 i NULL  210.254 62.779 21.693 0.324 0x00
OBS: 59208.43 i NULL  217.976 74.509 21.654 0.371 0x00
OBS: 59213.40 i NULL  223.275 113.525 21.628 0.552 0x00
OBS: 59216.38 i NULL  92.044 108.297 22.590 1.277 0x00
OBS: 59229.39 i NULL  93.338 81.063 22.575 0.943 0x00
OBS: 59237.39 i NULL  306.758 127.984 21.283 0.453 0x00
OBS: 59242.37 i NULL  324.803 248.121 21.221 0.829 0x00
OBS: 59120.62 z NULL  1553.110 112.073 19.522 0.078 0x00
OBS: 59133.63 z NULL  958.548 137.839 20.046 0.156 0x00
OBS: 59147.60 z NULL  968.156 78.878 20.035 0.088 0x00
OBS: 59156.53 z NULL  1127.237 117.332 19.870 0.113 0x00
OBS: 59161.57 z NULL  766.048 93.877 20.289 0.133 0x00
OBS: 59178.44 z NULL  996.843 315.522 20.003 0.344 0x00
OBS: 59184.49 z NULL  357.378 137.271 21.117 0.417 0x00
OBS: 59218.41 z NULL  -49.256 105.159 nan -2.318 0x00
OBS: 59220.39 z NULL  -53.049 82.349 nan -1.685 0x00
OBS: 59244.35 z NULL  132.349 152.677 22.196 1.252 0x00
OBS: 59246.35 z NULL  125.951 136.663 22.249 1.178 0x00
END:
