SURVEY:  PS1MD
SNID:  2020ulp
otherID: 
IAUC:    UNKNOWN
RA:        49.5192440  deg
DECL:       -0.9926600  deg
MWEBV:    0.055 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ulp.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.193 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 87
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58816.39 g NULL  -63.265 102.050 nan -1.751 0x00
OBS: 58837.34 g NULL  -142.604 65.066 nan -0.495 0x00
OBS: 58846.30 g NULL  -228.843 59.210 nan -0.281 0x00
OBS: 58866.32 g NULL  39.206 71.298 23.517 1.974 0x00
OBS: 58869.23 g NULL  47.207 65.145 23.315 1.498 0x00
OBS: 58876.31 g NULL  -185.790 61.442 nan -0.359 0x00
OBS: 59076.62 g NULL  276.932 78.633 21.394 0.308 0x00
OBS: 59080.61 g NULL  537.025 61.161 20.675 0.124 0x00
OBS: 59103.61 g NULL  1046.965 92.574 19.950 0.096 0x00
OBS: 59108.59 g NULL  1059.239 63.587 19.938 0.065 0x00
OBS: 59110.51 g NULL  1207.700 65.764 19.795 0.059 0x00
OBS: 59114.57 g NULL  880.291 74.957 20.138 0.092 0x00
OBS: 59132.55 g NULL  571.586 87.302 20.607 0.166 0x00
OBS: 59136.51 g NULL  612.702 51.686 20.532 0.092 0x00
OBS: 59138.45 g NULL  362.511 129.555 21.102 0.388 0x00
OBS: 59140.48 g NULL  376.955 68.260 21.059 0.197 0x01
OBS: 59144.50 g NULL  480.983 73.109 20.795 0.165 0x00
OBS: 59146.46 g NULL  452.472 51.392 20.861 0.123 0x00
OBS: 59167.45 g NULL  189.570 89.320 21.806 0.512 0x00
OBS: 59190.41 g NULL  51.068 54.908 23.230 1.167 0x00
OBS: 59192.37 g NULL  -47.257 66.562 nan -1.529 0x00
OBS: 59194.33 g NULL  92.741 66.147 22.582 0.774 0x00
OBS: 59198.36 g NULL  -36.418 133.320 nan -3.975 0x00
OBS: 59458.57 g NULL  33.426 270.005 23.690 8.770 0x00
OBS: 59465.61 g NULL  -147.035 66.033 nan -0.488 0x01
OBS: 59467.57 g NULL  65.297 62.853 22.963 1.045 0x00
OBS: 59470.61 g NULL  549.912 80.127 20.649 0.158 0x00
OBS: 59485.56 g NULL  -339.635 169.296 nan -0.541 0x09
OBS: 59488.60 g NULL  -195.373 78.041 nan -0.434 0x00
OBS: 59491.50 g NULL  -127.976 56.933 nan -0.483 0x00
OBS: 59500.50 g NULL  33.849 83.970 23.676 2.693 0x00
OBS: 59516.46 g NULL  -236.646 270.043 nan -1.239 0x01
OBS: 59519.56 g NULL  -80.661 52.149 nan -0.702 0x00
OBS: 59529.48 g NULL  -145.419 51.446 nan -0.384 0x00
OBS: 59076.62 r NULL  481.372 64.513 20.794 0.146 0x00
OBS: 59090.58 r NULL  959.762 68.645 20.045 0.078 0x00
OBS: 59095.59 r NULL  1004.515 91.941 19.995 0.099 0x00
OBS: 59108.59 r NULL  1005.401 60.862 19.994 0.066 0x00
OBS: 59114.57 r NULL  961.688 97.078 20.042 0.110 0x00
OBS: 59118.56 r NULL  1062.596 76.995 19.934 0.079 0x00
OBS: 59120.56 r NULL  946.702 68.473 20.059 0.079 0x00
OBS: 59123.57 r NULL  898.155 123.428 20.117 0.149 0x00
OBS: 59130.49 r NULL  978.907 84.079 20.023 0.093 0x01
OBS: 59138.46 r NULL  1184.808 384.712 19.816 0.353 0x00
OBS: 59148.42 r NULL  579.684 78.682 20.592 0.147 0x00
OBS: 59158.48 r NULL  439.131 70.997 20.894 0.176 0x00
OBS: 59172.39 r NULL  165.795 93.668 21.951 0.613 0x00
OBS: 59185.40 r NULL  321.060 116.463 21.234 0.394 0x00
OBS: 59188.34 r NULL  324.189 93.357 21.223 0.313 0x00
OBS: 59194.33 r NULL  209.352 55.083 21.698 0.286 0x00
OBS: 59467.57 r NULL  8.954 55.590 25.120 6.741 0x00
OBS: 59476.63 r NULL  144.113 107.327 22.103 0.809 0x00
OBS: 59488.60 r NULL  51.262 56.403 23.226 1.195 0x00
OBS: 59505.62 r NULL  67.244 67.458 22.931 1.089 0x00
OBS: 59513.61 r NULL  139.118 125.067 22.142 0.976 0x00
OBS: 58816.39 i NULL  -8.764 84.487 nan -10.467 0x00
OBS: 58846.30 i NULL  13.711 72.466 24.657 5.738 0x00
OBS: 58866.33 i NULL  -131.972 81.713 nan -0.672 0x00
OBS: 58869.22 i NULL  -53.842 63.343 nan -1.277 0x00
OBS: 58876.32 i NULL  10.916 57.802 24.905 5.749 0x00
OBS: 59080.60 i NULL  743.683 70.109 20.322 0.102 0x00
OBS: 59095.59 i NULL  991.206 84.529 20.010 0.093 0x00
OBS: 59110.51 i NULL  960.217 73.780 20.044 0.083 0x00
OBS: 59120.57 i NULL  1007.225 67.292 19.992 0.073 0x00
OBS: 59136.51 i NULL  698.227 57.344 20.390 0.089 0x00
OBS: 59140.48 i NULL  622.359 71.569 20.515 0.125 0x00
OBS: 59144.50 i NULL  655.845 75.931 20.458 0.126 0x00
OBS: 59158.48 i NULL  525.777 69.208 20.698 0.143 0x00
OBS: 59167.45 i NULL  429.320 115.436 20.918 0.292 0x01
OBS: 59185.40 i NULL  213.216 97.302 21.678 0.495 0x00
OBS: 59190.41 i NULL  222.601 67.040 21.631 0.327 0x00
OBS: 59198.37 i NULL  195.962 149.838 21.770 0.830 0x00
OBS: 59465.62 i NULL  -108.716 72.785 nan -0.727 0x01
OBS: 59485.55 i NULL  159.271 73.430 21.995 0.501 0x00
OBS: 59491.50 i NULL  86.082 68.883 22.663 0.869 0x00
OBS: 59500.50 i NULL  93.830 97.695 22.569 1.130 0x00
OBS: 59505.62 i NULL  80.923 97.240 22.730 1.305 0x00
OBS: 59519.57 i NULL  75.277 64.052 22.808 0.924 0x00
OBS: 59529.47 i NULL  22.890 45.832 24.101 2.174 0x00
OBS: 58837.34 z NULL  81.066 106.262 22.728 1.423 0x00
OBS: 59090.59 z NULL  902.012 93.053 20.112 0.112 0x00
