SURVEY:  PS1MD
SNID:  2020usc
otherID: 
IAUC:    UNKNOWN
RA:        10.2787710  deg
DECL:       2.6181680  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020usc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.424 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 79
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.57 g NULL  1.747 43.387 26.894 26.964 0x00
OBS: 59075.53 g NULL  -49.627 39.943 nan -0.874 0x00
OBS: 59084.49 g NULL  -36.245 41.651 nan -1.248 0x00
OBS: 59101.44 g NULL  44.757 65.712 23.373 1.594 0x01
OBS: 59107.54 g NULL  33.017 30.079 23.703 0.989 0x00
OBS: 59109.60 g NULL  79.279 66.789 22.752 0.915 0x00
OBS: 59114.47 g NULL  567.554 48.376 20.615 0.093 0x00
OBS: 59132.42 g NULL  1007.966 59.121 19.991 0.064 0x00
OBS: 59137.44 g NULL  787.385 52.618 20.260 0.073 0x01
OBS: 59143.32 g NULL  444.843 95.042 20.879 0.232 0x01
OBS: 59146.44 g NULL  369.766 47.421 21.080 0.139 0x00
OBS: 59169.23 g NULL  95.996 63.003 22.544 0.713 0x00
OBS: 59191.23 g NULL  72.362 44.826 22.851 0.673 0x00
OBS: 59199.21 g NULL  51.653 82.705 23.217 1.738 0x00
OBS: 59219.22 g NULL  43.593 36.038 23.401 0.898 0x00
OBS: 59221.23 g NULL  -49.639 54.738 nan -1.197 0x00
OBS: 59227.23 g NULL  -36.990 36.409 nan -1.069 0x00
OBS: 59229.23 g NULL  42.931 45.794 23.418 1.158 0x00
OBS: 59230.22 g NULL  6.985 53.722 25.390 8.350 0x00
OBS: 59254.23 g NULL  129.009 117.847 22.223 0.992 0x00
OBS: 59429.58 g NULL  34.094 68.412 23.668 2.179 0x00
OBS: 59434.50 g NULL  24.278 45.421 24.037 2.031 0x00
OBS: 59457.42 g NULL  -3.869 92.037 nan -25.828 0x00
OBS: 59464.54 g NULL  21.482 40.489 24.170 2.046 0x00
OBS: 59485.52 g NULL  -10.718 73.028 nan -7.398 0x00
OBS: 59492.49 g NULL  38.792 90.738 23.528 2.540 0x01
OBS: 59498.42 g NULL  -8.774 40.725 nan -5.040 0x00
OBS: 59501.36 g NULL  -41.583 62.665 nan -1.636 0x00
OBS: 59516.41 g NULL  305.815 100.734 21.286 0.358 0x00
OBS: 59525.38 g NULL  -8.092 39.400 nan -5.286 0x00
OBS: 59064.56 r NULL  43.344 80.848 23.408 2.025 0x00
OBS: 59093.47 r NULL  -181.024 112.384 nan -0.674 0x00
OBS: 59109.60 r NULL  -9.969 111.257 nan -12.117 0x09
OBS: 59118.44 r NULL  847.947 70.996 20.179 0.091 0x00
OBS: 59128.46 r NULL  1337.114 92.024 19.685 0.075 0x00
OBS: 59158.30 r NULL  408.395 45.993 20.972 0.122 0x01
OBS: 59169.23 r NULL  156.703 60.379 22.012 0.418 0x00
OBS: 59182.29 r NULL  79.589 111.802 22.748 1.525 0x00
OBS: 59186.26 r NULL  177.041 49.522 21.880 0.304 0x00
OBS: 59199.21 r NULL  -26.174 87.365 nan -3.624 0x01
OBS: 59211.22 r NULL  264.232 111.433 21.445 0.458 0x00
OBS: 59213.21 r NULL  -0.508 101.747 nan -217.461 0x01
OBS: 59217.22 r NULL  163.830 42.482 21.964 0.282 0x00
OBS: 59229.23 r NULL  68.362 48.194 22.913 0.765 0x00
OBS: 59230.22 r NULL  95.538 59.990 22.550 0.682 0x00
OBS: 59243.24 r NULL  184.490 178.825 21.835 1.052 0x00
OBS: 59245.23 r NULL  66.323 70.692 22.946 1.157 0x01
OBS: 59429.57 r NULL  -19.441 50.031 nan -2.794 0x00
OBS: 59434.50 r NULL  43.762 40.621 23.397 1.008 0x00
OBS: 59445.53 r NULL  33.814 51.771 23.677 1.662 0x00
OBS: 59464.54 r NULL  26.515 58.583 23.941 2.399 0x00
OBS: 59483.39 r NULL  -17.954 96.853 nan -5.857 0x00
OBS: 59511.34 r NULL  109.998 132.779 22.397 1.311 0x00
OBS: 59514.41 r NULL  51.212 37.452 23.227 0.794 0x00
OBS: 59525.38 r NULL  35.670 44.683 23.619 1.360 0x00
OBS: 59058.56 i NULL  -55.404 54.537 nan -1.069 0x00
OBS: 59064.56 i NULL  -3.612 61.426 nan -18.464 0x00
OBS: 59075.53 i NULL  26.226 38.546 23.953 1.596 0x00
OBS: 59084.49 i NULL  -6.985 52.546 nan -8.168 0x00
OBS: 59093.47 i NULL  181.551 103.326 21.853 0.618 0x00
OBS: 59107.54 i NULL  33.170 49.630 23.698 1.625 0x00
OBS: 59114.47 i NULL  405.071 58.235 20.981 0.156 0x00
OBS: 59143.32 i NULL  332.121 91.708 21.197 0.300 0x00
OBS: 59146.44 i NULL  332.623 72.265 21.195 0.236 0x00
OBS: 59182.29 i NULL  426.499 127.016 20.925 0.323 0x00
OBS: 59188.32 i NULL  81.816 55.691 22.718 0.739 0x00
OBS: 59213.22 i NULL  180.072 140.156 21.861 0.845 0x00
OBS: 59216.21 i NULL  150.507 118.695 22.056 0.856 0x01
OBS: 59227.23 i NULL  68.089 45.848 22.917 0.731 0x00
OBS: 59243.24 i NULL  386.594 236.988 21.032 0.666 0x00
OBS: 59254.23 i NULL  -236.779 107.876 nan -0.495 0x00
OBS: 59483.39 i NULL  -121.912 107.788 nan -0.960 0x00
OBS: 59485.52 i NULL  142.168 76.827 22.118 0.587 0x00
OBS: 59498.42 i NULL  -48.011 48.075 nan -1.087 0x00
OBS: 59514.40 i NULL  5.110 40.037 25.729 8.507 0x00
OBS: 59101.44 z NULL  4.871 70.764 25.781 15.773 0x00
OBS: 59128.46 z NULL  496.963 136.365 20.759 0.298 0x00
OBS: 59132.42 z NULL  549.423 81.976 20.650 0.162 0x00
OBS: 59158.30 z NULL  296.963 104.028 21.318 0.380 0x00
OBS: 59186.26 z NULL  206.858 84.731 21.711 0.445 0x00
OBS: 59191.23 z NULL  28.385 86.275 23.867 3.300 0x00
OBS: 59211.22 z NULL  389.855 137.415 21.023 0.383 0x00
OBS: 59217.21 z NULL  136.574 87.724 22.162 0.697 0x00
OBS: 59221.22 z NULL  127.758 123.295 22.234 1.048 0x00
OBS: 59245.23 z NULL  254.927 134.488 21.484 0.573 0x00
OBS: 59457.42 z NULL  -40.764 118.511 nan -3.157 0x00
OBS: 59501.36 z NULL  99.067 101.398 22.510 1.111 0x00
OBS: 59511.33 z NULL  -37.317 138.220 nan -4.022 0x00
OBS: 59516.41 z NULL  129.746 654.254 22.217 5.475 0x00
END:
