SURVEY:  PS1MD
SNID:  2020usm
otherID: 
IAUC:    UNKNOWN
RA:        359.6716360  deg
DECL:       29.0086570  deg
MWEBV:    0.046 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020usm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.364 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 107
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59046.54 g NULL  -270.603 171.549 nan -0.688 0x00
OBS: 59049.58 g NULL  -19.810 134.442 nan -7.368 0x00
OBS: 59050.55 g NULL  51.115 46.620 23.229 0.990 0x00
OBS: 59055.54 g NULL  17.269 35.936 24.407 2.259 0x00
OBS: 59072.62 g NULL  11.596 55.495 24.839 5.196 0x01
OBS: 59074.49 g NULL  41.281 47.220 23.461 1.242 0x00
OBS: 59078.47 g NULL  -43.083 52.218 nan -1.316 0x00
OBS: 59082.43 g NULL  -18.482 40.640 nan -2.387 0x00
OBS: 59083.61 g NULL  -37.752 99.411 nan -2.859 0x00
OBS: 59103.39 g NULL  -4.111 40.409 nan -10.672 0x00
OBS: 59107.53 g NULL  59.502 45.321 23.064 0.827 0x00
OBS: 59109.35 g NULL  14.571 132.537 24.591 9.876 0x00
OBS: 59113.48 g NULL  358.510 67.739 21.114 0.205 0x01
OBS: 59117.37 g NULL  458.782 78.456 20.846 0.186 0x00
OBS: 59131.44 g NULL  1075.478 58.206 19.921 0.059 0x00
OBS: 59133.48 g NULL  1036.355 93.088 19.961 0.098 0x00
