SURVEY:  PS1MD
SNID:  2020vfy
otherID: 
IAUC:    UNKNOWN
RA:        335.7116130  deg
DECL:       5.3325560  deg
MWEBV:    0.113 +- 0.006 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020vfy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0123
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.491 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 73
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59019.59 g NULL  147.781 216.881 22.076 1.593 0x00
OBS: 59027.57 g NULL  -55.292 53.560 nan -1.052 0x00
OBS: 59046.52 g NULL  -76.334 239.015 nan -3.400 0x00
OBS: 59049.49 g NULL  -45.053 126.191 nan -3.041 0x00
OBS: 59050.49 g NULL  -67.220 59.849 nan -0.967 0x00
OBS: 59053.48 g NULL  -35.358 57.888 nan -1.778 0x01
OBS: 59058.56 g NULL  -17.433 56.086 nan -3.493 0x00
OBS: 59079.43 g NULL  -37.583 48.222 nan -1.393 0x00
OBS: 59101.37 g NULL  42.526 72.992 23.428 1.864 0x00
OBS: 59103.38 g NULL  -63.887 41.587 nan -0.707 0x00
OBS: 59109.34 g NULL  -27.042 101.193 nan -4.063 0x00
OBS: 59111.35 g NULL  27.389 397.967 23.906 15.776 0x00
OBS: 59140.22 g NULL  462.710 88.600 20.837 0.208 0x00
OBS: 59144.23 g NULL  299.597 79.947 21.309 0.290 0x01
OBS: 59346.60 g NULL  34.907 96.770 23.643 3.010 0x00
OBS: 59382.57 g NULL  -36.765 44.175 nan -1.305 0x01
OBS: 59383.57 g NULL  -36.914 52.189 nan -1.535 0x00
OBS: 59406.57 g NULL  -75.784 127.460 nan -1.826 0x00
OBS: 59413.45 g NULL  4.197 58.726 25.943 15.192 0x00
OBS: 59427.39 g NULL  131.892 120.638 22.199 0.993 0x01
OBS: 59434.52 g NULL  54.156 40.446 23.166 0.811 0x00
OBS: 59439.40 g NULL  -161.212 66.288 nan -0.446 0x00
OBS: 59443.43 g NULL  -208.396 116.417 nan -0.607 0x01
OBS: 59457.42 g NULL  6.981 57.902 25.390 9.005 0x00
OBS: 59464.39 g NULL  40.610 65.761 23.478 1.758 0x00
OBS: 59467.34 g NULL  29.319 58.830 23.832 2.179 0x01
OBS: 59485.28 g NULL  22.195 76.142 24.134 3.725 0x00
OBS: 59487.34 g NULL  -27.727 74.414 nan -2.914 0x00
OBS: 59515.22 g NULL  12.358 56.424 24.770 4.957 0x00
OBS: 59517.21 g NULL  37.207 77.253 23.573 2.254 0x00
OBS: 59527.21 g NULL  -87.758 83.840 nan -1.037 0x00
OBS: 59031.53 r NULL  -187.422 81.701 nan -0.473 0x00
OBS: 59049.49 r NULL  -85.372 82.980 nan -1.055 0x00
OBS: 59053.48 r NULL  -54.727 37.383 nan -0.742 0x00
OBS: 59070.54 r NULL  -66.595 82.839 nan -1.351 0x01
OBS: 59079.43 r NULL  -40.207 36.776 nan -0.993 0x00
OBS: 59090.41 r NULL  -161.398 113.541 nan -0.764 0x01
OBS: 59099.43 r NULL  -53.082 117.778 nan -2.409 0x09
OBS: 59111.35 r NULL  290.534 411.016 21.342 1.536 0x00
OBS: 59126.36 r NULL  696.025 108.755 20.393 0.170 0x01
OBS: 59127.29 r NULL  632.609 110.090 20.497 0.189 0x00
OBS: 59140.23 r NULL  532.068 82.905 20.685 0.169 0x00
OBS: 59155.21 r NULL  196.005 87.539 21.769 0.485 0x00
OBS: 59157.36 r NULL  233.554 88.524 21.579 0.412 0x00
OBS: 59181.26 r NULL  45.686 109.947 23.351 2.613 0x00
OBS: 59346.60 r NULL  109.210 40.444 22.404 0.402 0x00
OBS: 59389.55 r NULL  5.996 104.022 25.555 18.836 0x00
OBS: 59467.34 r NULL  -98.249 37.881 nan -0.419 0x01
OBS: 59481.45 r NULL  29.738 169.555 23.817 6.190 0x00
OBS: 59483.40 r NULL  14.714 76.598 24.581 5.652 0x00
OBS: 59507.29 r NULL  -2.608 78.618 nan -32.729 0x00
OBS: 59509.26 r NULL  -4.800 148.698 nan -33.635 0x00
OBS: 59511.26 r NULL  -39.406 84.055 nan -2.316 0x01
OBS: 59019.59 i NULL  -54.322 158.640 nan -3.171 0x00
OBS: 59031.52 i NULL  42.461 91.461 23.430 2.339 0x00
OBS: 59046.52 i NULL  -114.051 124.720 nan -1.187 0x00
OBS: 59050.50 i NULL  127.227 82.865 22.239 0.707 0x00
OBS: 59058.56 i NULL  23.374 47.644 24.078 2.213 0x00
OBS: 59103.38 i NULL  80.261 57.463 22.739 0.777 0x00
OBS: 59109.34 i NULL  51.416 128.287 23.222 2.709 0x00
OBS: 59126.36 i NULL  754.380 86.150 20.306 0.124 0x01
OBS: 59155.22 i NULL  415.277 115.718 20.954 0.303 0x00
OBS: 59157.36 i NULL  272.618 74.644 21.411 0.297 0x00
OBS: 59382.57 i NULL  25.807 56.987 23.971 2.398 0x00
OBS: 59389.55 i NULL  78.666 85.035 22.761 1.174 0x00
OBS: 59406.57 i NULL  2079.115 1041.986 19.205 0.544 0x00
OBS: 59413.45 i NULL  12.102 81.616 24.793 7.322 0x01
OBS: 59427.39 i NULL  8.172 74.507 25.219 9.899 0x00
OBS: 59434.52 i NULL  -27.967 51.900 nan -2.015 0x00
OBS: 59439.40 i NULL  141.540 85.139 22.123 0.653 0x00
OBS: 59443.43 i NULL  225.217 114.875 21.618 0.554 0x01
OBS: 59457.41 i NULL  38.605 50.191 23.533 1.412 0x00
OBS: 59464.39 i NULL  -7.373 60.584 nan -8.922 0x00
OBS: 59481.44 i NULL  -211.317 179.825 nan -0.924 0x00
OBS: 59485.28 i NULL  -23.944 90.764 nan -4.116 0x00
OBS: 59507.30 i NULL  -63.754 103.222 nan -1.758 0x00
OBS: 59509.26 i NULL  -214.985 140.572 nan -0.710 0x00
OBS: 59515.22 i NULL  -40.026 66.103 nan -1.793 0x00
OBS: 59527.21 i NULL  154.228 77.594 22.030 0.546 0x00
OBS: 59027.57 z NULL  169.181 89.920 21.929 0.577 0x00
OBS: 59090.41 z NULL  46.787 107.764 23.325 2.501 0x00
OBS: 59099.43 z NULL  109.451 161.937 22.402 1.606 0x00
OBS: 59101.36 z NULL  -53.140 106.520 nan -2.176 0x00
OBS: 59127.30 z NULL  570.091 148.493 20.610 0.283 0x00
OBS: 59181.25 z NULL  -39.736 152.677 nan -4.172 0x00
OBS: 59383.57 z NULL  810.656 1085.596 20.228 1.454 0x00
OBS: 59483.40 z NULL  4.474 163.481 25.873 39.673 0x00
OBS: 59517.21 z NULL  153.042 139.752 22.038 0.991 0x00
END:
