SURVEY:  PS1MD
SNID:  2020vgc
otherID: 
IAUC:    UNKNOWN
RA:        244.6199420  deg
DECL:       26.5122170  deg
MWEBV:    0.042 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020vgc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0074
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.507 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 34
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.52 g NULL  23.560 58.789 24.070 2.709 0x00
OBS: 58941.54 g NULL  -124.197 128.253 nan -1.121 0x00
OBS: 58955.48 g NULL  -11.830 55.861 nan -5.127 0x01
OBS: 58971.41 g NULL  41.026 95.913 23.467 2.538 0x00
OBS: 58993.38 g NULL  -101.687 63.231 nan -0.675 0x01
OBS: 59026.30 g NULL  -41.766 72.503 nan -1.885 0x00
OBS: 59117.23 g NULL  1569.683 166.227 19.510 0.115 0x00
OBS: 59292.50 g NULL  91.801 90.399 22.593 1.069 0x01
OBS: 59318.50 g NULL  -50.103 55.771 nan -1.209 0x00
OBS: 59321.48 g NULL  -110.241 79.389 nan -0.782 0x01
OBS: 58918.61 r NULL  -78.152 102.555 nan -1.425 0x00
OBS: 58931.52 r NULL  143.714 72.701 22.106 0.549 0x01
OBS: 58945.51 r NULL  -111.199 145.748 nan -1.423 0x01
OBS: 58973.46 r NULL  -110.997 81.643 nan -0.799 0x00
OBS: 58976.43 r NULL  533.317 405.346 20.683 0.825 0x09
OBS: 58981.39 r NULL  41.295 54.168 23.460 1.424 0x00
OBS: 58993.38 r NULL  -66.592 62.814 nan -1.024 0x01
OBS: 59007.31 r NULL  -104.261 77.527 nan -0.807 0x00
OBS: 59009.35 r NULL  -67.144 119.775 nan -1.937 0x09
OBS: 59098.31 r NULL  37.242 84.986 23.572 2.478 0x00
OBS: 59119.24 r NULL  1055.814 91.181 19.941 0.094 0x01
OBS: 59122.23 r NULL  988.514 125.734 20.013 0.138 0x00
OBS: 59128.23 r NULL  949.209 115.800 20.057 0.132 0x00
OBS: 59136.22 r NULL  645.076 73.838 20.476 0.124 0x01
OBS: 59270.60 r NULL  -485.864 177.822 nan -0.397 0x00
OBS: 59299.55 r NULL  151.081 89.842 22.052 0.646 0x00
OBS: 59300.51 r NULL  -195.398 634.532 nan -3.526 0x01
OBS: 59303.52 r NULL  202.050 124.322 21.736 0.668 0x01
OBS: 59321.47 r NULL  61.125 53.289 23.034 0.947 0x01
OBS: 59334.45 r NULL  97.524 87.383 22.527 0.973 0x00
OBS: 59439.26 r NULL  -155.580 114.791 nan -0.801 0x01
OBS: 58918.61 i NULL  -112.391 129.091 nan -1.247 0x00
OBS: 58973.45 i NULL  -21.210 69.796 nan -3.573 0x00
OBS: 58981.40 i NULL  19.420 57.945 24.279 3.240 0x00
OBS: 59007.30 i NULL  -29.148 68.264 nan -2.543 0x00
OBS: 59026.29 i NULL  80.241 99.171 22.739 1.342 0x01
OBS: 59098.31 i NULL  114.687 103.881 22.351 0.983 0x00
OBS: 59117.23 i NULL  930.333 118.388 20.078 0.138 0x00
OBS: 59122.23 i NULL  918.551 134.843 20.092 0.159 0x00
OBS: 59128.23 i NULL  904.077 167.362 20.109 0.201 0x01
OBS: 59139.21 i NULL  875.814 111.114 20.144 0.138 0x00
OBS: 59144.21 i NULL  891.387 241.894 20.125 0.295 0x01
OBS: 59292.50 i NULL  123.709 89.400 22.269 0.785 0x00
OBS: 59299.54 i NULL  92.976 96.981 22.579 1.133 0x00
OBS: 59318.49 i NULL  3.201 53.849 26.237 18.265 0x00
OBS: 59437.26 i NULL  -6.962 90.576 nan -14.125 0x00
OBS: 58941.54 z NULL  137.442 128.250 22.155 1.013 0x00
OBS: 58945.51 z NULL  54.071 215.456 23.168 4.326 0x01
OBS: 58955.48 z NULL  52.616 123.833 23.197 2.555 0x01
OBS: 58971.41 z NULL  116.825 113.471 22.331 1.055 0x00
OBS: 58976.44 z NULL  -288.709 504.158 nan -1.896 0x09
OBS: 58985.39 z NULL  -49.016 118.249 nan -2.619 0x00
OBS: 59009.34 z NULL  24.298 181.201 24.036 8.097 0x09
OBS: 59119.24 z NULL  838.326 141.573 20.191 0.183 0x00
OBS: 59131.23 z NULL  609.869 147.349 20.537 0.262 0x00
OBS: 59270.60 z NULL  -150.186 209.304 nan -1.513 0x00
OBS: 59300.51 z NULL  1198.591 1139.791 19.803 1.032 0x01
OBS: 59334.45 z NULL  274.525 182.462 21.404 0.722 0x01
END:
