SURVEY:  PS1MD
SNID:  2020vyu
otherID: 
IAUC:    UNKNOWN
RA:        241.7934120  deg
DECL:       24.1191500  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020vyu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0053
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.611 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 209
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.52 g NULL  114.264 61.533 22.355 0.585 0x00
OBS: 58937.62 g NULL  0.946 86.974 27.560 99.821 0x00
OBS: 58941.54 g NULL  15.751 78.619 24.507 5.419 0x00
OBS: 58955.48 g NULL  5.153 50.469 25.720 10.634 0x00
OBS: 58958.58 g NULL  -36.351 57.186 nan -1.708 0x09
OBS: 58960.47 g NULL  57.138 41.969 23.108 0.797 0x01
OBS: 58962.47 g NULL  -1.631 115.415 nan -76.830 0x00
OBS: 58966.57 g NULL  46.136 72.394 23.340 1.704 0x00
OBS: 58968.55 g NULL  18.488 39.463 24.333 2.318 0x00
OBS: 58971.41 g NULL  -21.704 91.243 nan -4.564 0x00
OBS: 58983.52 g NULL  31.032 59.586 23.770 2.085 0x00
OBS: 58985.39 g NULL  -27.006 37.470 nan -1.506 0x00
OBS: 58989.51 g NULL  -41.664 49.672 nan -1.294 0x00
OBS: 58993.37 g NULL  2.042 70.478 26.725 37.473 0x00
OBS: 58995.47 g NULL  31.529 36.688 23.753 1.263 0x00
OBS: 58999.49 g NULL  75.604 51.728 22.804 0.743 0x00
OBS: 59013.46 g NULL  87.258 100.419 22.648 1.249 0x01
OBS: 59016.44 g NULL  80.925 92.701 22.730 1.244 0x00
OBS: 59019.48 g NULL  -48.133 124.298 nan -2.804 0x00
OBS: 59026.29 g NULL  18.638 78.874 24.324 4.595 0x00
OBS: 59028.29 g NULL  99.499 49.030 22.505 0.535 0x00
OBS: 59043.36 g NULL  153.088 57.037 22.038 0.405 0x00
OBS: 59048.35 g NULL  256.311 54.745 21.478 0.232 0x01
OBS: 59052.40 g NULL  383.447 108.110 21.041 0.306 0x00
