SURVEY:  PS1MD
SNID:  2020wfo
otherID: 
IAUC:    UNKNOWN
RA:        13.3754870  deg
DECL:       -20.2404100  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020wfo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0273
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.954 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 79
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59083.55 g NULL  89.479 72.297 22.621 0.877 0x00
OBS: 59084.59 g NULL  136.748 50.825 22.160 0.404 0x00
OBS: 59102.54 g NULL  250.759 70.244 21.502 0.304 0x00
OBS: 59105.50 g NULL  254.639 45.776 21.485 0.195 0x00
OBS: 59107.45 g NULL  193.892 47.944 21.781 0.268 0x00
OBS: 59110.45 g NULL  136.986 50.089 22.158 0.397 0x00
OBS: 59114.48 g NULL  82.232 46.587 22.712 0.615 0x00
OBS: 59132.42 g NULL  27.886 40.788 23.887 1.588 0x00
OBS: 59137.44 g NULL  51.906 47.560 23.212 0.995 0x00
OBS: 59143.38 g NULL  -148.529 121.417 nan -0.888 0x00
OBS: 59146.47 g NULL  -4.343 49.721 nan -12.430 0x00
OBS: 59166.40 g NULL  8.844 54.662 25.133 6.711 0x00
OBS: 59170.32 g NULL  47.963 57.500 23.298 1.302 0x00
OBS: 59191.23 g NULL  58.226 55.549 23.087 1.036 0x00
OBS: 59428.58 g NULL  1.770 67.214 26.880 41.230 0x00
OBS: 59433.59 g NULL  -18.887 79.015 nan -4.542 0x00
OBS: 59436.59 g NULL  14.401 42.562 24.604 3.209 0x00
OBS: 59440.56 g NULL  -13.354 52.480 nan -4.267 0x00
OBS: 59442.56 g NULL  -32.920 45.645 nan -1.505 0x00
OBS: 59455.60 g NULL  -223.851 86.105 nan -0.418 0x00
OBS: 59458.51 g NULL  168.044 152.551 21.936 0.986 0x00
OBS: 59464.57 g NULL  -66.420 107.044 nan -1.750 0x00
OBS: 59466.55 g NULL  -23.593 45.139 nan -2.077 0x00
OBS: 59468.57 g NULL  137.027 69.680 22.158 0.552 0x00
OBS: 59487.49 g NULL  -34.659 54.466 nan -1.706 0x00
OBS: 59493.48 g NULL  27.776 45.472 23.891 1.777 0x00
OBS: 59500.45 g NULL  6.896 104.041 25.404 16.381 0x00
OBS: 59518.42 g NULL  -7.379 64.928 nan -9.553 0x00
OBS: 59083.56 r NULL  160.747 73.382 21.985 0.496 0x00
OBS: 59084.59 r NULL  240.013 53.577 21.549 0.242 0x00
OBS: 59093.48 r NULL  377.565 145.168 21.058 0.417 0x00
OBS: 59107.45 r NULL  268.931 53.132 21.426 0.215 0x01
OBS: 59114.48 r NULL  210.951 50.535 21.690 0.260 0x00
OBS: 59127.46 r NULL  -72.052 243.354 nan -3.667 0x01
OBS: 59130.49 r NULL  53.252 79.118 23.184 1.613 0x00
OBS: 59143.38 r NULL  -33.514 119.752 nan -3.880 0x00
OBS: 59156.34 r NULL  15.158 54.797 24.548 3.925 0x00
OBS: 59160.37 r NULL  313.841 152.228 21.258 0.527 0x00
OBS: 59170.33 r NULL  -51.783 58.346 nan -1.223 0x00
OBS: 59182.29 r NULL  -27.960 110.681 nan -4.298 0x00
OBS: 59186.27 r NULL  37.526 54.448 23.564 1.575 0x00
OBS: 59433.59 r NULL  2.721 67.130 26.413 26.786 0x00
OBS: 59436.58 r NULL  -57.618 60.059 nan -1.132 0x09
OBS: 59440.55 r NULL  63.265 49.153 22.997 0.844 0x00
OBS: 59445.56 r NULL  32.134 46.854 23.733 1.583 0x00
OBS: 59447.56 r NULL  7.789 98.189 25.271 13.687 0x00
OBS: 59464.57 r NULL  -86.551 108.976 nan -1.367 0x00
OBS: 59468.57 r NULL  81.431 66.017 22.723 0.880 0x00
OBS: 59482.48 r NULL  85.074 65.888 22.676 0.841 0x00
OBS: 59484.47 r NULL  55.032 71.691 23.148 1.414 0x00
OBS: 59493.48 r NULL  67.052 56.559 22.934 0.916 0x00
OBS: 59510.44 r NULL  169.586 163.273 21.927 1.045 0x00
OBS: 59513.50 r NULL  73.173 95.788 22.839 1.421 0x00
OBS: 59093.49 i NULL  114.526 118.822 22.353 1.126 0x00
OBS: 59102.53 i NULL  274.988 79.232 21.402 0.313 0x00
OBS: 59105.49 i NULL  210.876 56.827 21.690 0.293 0x00
OBS: 59110.45 i NULL  124.268 59.071 22.264 0.516 0x00
