SURVEY:  PS1MD
SNID:  2020wif
otherID: 
IAUC:    UNKNOWN
RA:        58.6209870  deg
DECL:       -25.2283470  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020wif.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.572 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 84
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59077.61 g NULL  551.214 67.612 20.647 0.133 0x00
OBS: 59080.61 g NULL  670.312 63.789 20.434 0.103 0x00
OBS: 59101.62 g NULL  662.318 63.711 20.447 0.104 0x00
OBS: 59105.61 g NULL  842.527 73.353 20.186 0.095 0x01
OBS: 59109.61 g NULL  887.579 61.663 20.129 0.075 0x00
OBS: 59114.62 g NULL  828.277 62.616 20.205 0.082 0x00
OBS: 59132.56 g NULL  745.724 76.167 20.319 0.111 0x00
OBS: 59134.55 g NULL  956.094 106.588 20.049 0.121 0x00
OBS: 59138.52 g NULL  699.957 98.879 20.387 0.153 0x00
OBS: 59142.54 g NULL  893.259 60.893 20.123 0.074 0x00
OBS: 59145.53 g NULL  811.210 65.410 20.227 0.088 0x00
OBS: 59147.49 g NULL  856.523 68.979 20.168 0.087 0x00
OBS: 59161.45 g NULL  809.302 88.133 20.230 0.118 0x00
OBS: 59167.46 g NULL  754.664 109.501 20.306 0.158 0x01
OBS: 59172.45 g NULL  832.847 94.728 20.199 0.123 0x09
OBS: 59191.41 g NULL  741.394 55.559 20.325 0.081 0x00
OBS: 59198.37 g NULL  65.185 1096.567 22.965 18.265 0x00
OBS: 59486.60 g NULL  309.126 96.199 21.275 0.338 0x00
OBS: 59492.56 g NULL  483.872 89.476 20.788 0.201 0x00
OBS: 59500.59 g NULL  315.527 75.691 21.252 0.260 0x00
OBS: 59518.51 g NULL  237.864 61.589 21.559 0.281 0x00
OBS: 59524.48 g NULL  326.799 81.724 21.214 0.272 0x00
OBS: 59527.50 g NULL  390.036 72.517 21.022 0.202 0x00
OBS: 59531.46 g NULL  -1409.898 801.467 nan -0.617 0x00
OBS: 59077.60 r NULL  242.765 68.305 21.537 0.305 0x00
OBS: 59091.62 r NULL  437.266 79.825 20.898 0.198 0x00
OBS: 59095.60 r NULL  268.578 107.116 21.427 0.433 0x00
OBS: 59097.62 r NULL  244.314 89.443 21.530 0.397 0x00
OBS: 59099.62 r NULL  490.546 105.721 20.773 0.234 0x00
OBS: 59109.62 r NULL  169.262 72.982 21.929 0.468 0x00
OBS: 59121.61 r NULL  291.242 74.247 21.339 0.277 0x00
OBS: 59125.54 r NULL  634.633 136.049 20.494 0.233 0x00
OBS: 59129.63 r NULL  171.947 128.108 21.912 0.809 0x00
OBS: 59134.55 r NULL  502.405 81.546 20.747 0.176 0x00
OBS: 59142.54 r NULL  392.603 70.627 21.015 0.195 0x00
OBS: 59153.44 r NULL  364.413 126.708 21.096 0.378 0x00
OBS: 59156.47 r NULL  417.119 89.474 20.949 0.233 0x00
OBS: 59167.46 r NULL  336.633 105.863 21.182 0.341 0x01
OBS: 59180.46 r NULL  386.888 126.806 21.031 0.356 0x00
OBS: 59182.41 r NULL  725.272 170.285 20.349 0.255 0x00
OBS: 59187.43 r NULL  445.857 98.178 20.877 0.239 0x01
OBS: 59189.37 r NULL  212.009 82.488 21.684 0.422 0x01
OBS: 59198.37 r NULL  122.977 177.317 22.275 1.565 0x00
OBS: 59476.62 r NULL  282.619 162.536 21.372 0.624 0x00
OBS: 59479.60 r NULL  106.585 100.993 22.431 1.029 0x00
OBS: 59480.59 r NULL  15.484 99.222 24.525 6.957 0x00
OBS: 59481.57 r NULL  258.756 214.143 21.468 0.899 0x00
OBS: 59483.60 r NULL  237.943 98.924 21.559 0.451 0x00
OBS: 59505.53 r NULL  83.367 148.001 22.698 1.928 0x00
OBS: 59506.53 r NULL  -57.112 121.149 nan -2.303 0x00
OBS: 59507.54 r NULL  243.280 127.436 21.535 0.569 0x00
OBS: 59508.49 r NULL  39.387 182.336 23.512 5.026 0x00
OBS: 59509.53 r NULL  275.814 223.133 21.398 0.878 0x00
OBS: 59511.54 r NULL  1084.987 443.560 19.911 0.444 0x00
OBS: 59518.51 r NULL  -31.725 57.793 nan -1.978 0x00
OBS: 59524.49 r NULL  -60.147 82.500 nan -1.489 0x00
OBS: 59080.61 i NULL  450.901 76.970 20.865 0.185 0x00
OBS: 59095.60 i NULL  581.123 81.024 20.589 0.151 0x00
OBS: 59099.61 i NULL  437.648 164.387 20.897 0.408 0x00
OBS: 59105.61 i NULL  345.282 76.981 21.155 0.242 0x00
OBS: 59114.62 i NULL  282.613 78.208 21.372 0.300 0x00
OBS: 59121.60 i NULL  304.909 112.830 21.290 0.402 0x00
OBS: 59138.53 i NULL  394.159 129.668 21.011 0.357 0x00
OBS: 59147.49 i NULL  586.206 83.380 20.580 0.154 0x00
OBS: 59156.47 i NULL  674.767 78.378 20.427 0.126 0x00
OBS: 59172.45 i NULL  221.998 170.029 21.634 0.832 0x09
OBS: 59182.41 i NULL  531.482 122.540 20.686 0.250 0x00
OBS: 59187.43 i NULL  263.882 129.151 21.446 0.531 0x01
OBS: 59191.40 i NULL  691.726 75.655 20.400 0.119 0x01
OBS: 59476.62 i NULL  151.766 128.313 22.047 0.918 0x00
OBS: 59479.60 i NULL  430.404 96.676 20.915 0.244 0x00
OBS: 59481.57 i NULL  327.461 134.796 21.212 0.447 0x00
OBS: 59492.56 i NULL  129.443 122.053 22.220 1.024 0x00
OBS: 59500.58 i NULL  -58.993 107.869 nan -1.985 0x00
OBS: 59506.53 i NULL  96.124 94.406 22.543 1.066 0x00
OBS: 59508.48 i NULL  99.157 122.708 22.509 1.344 0x00
OBS: 59511.54 i NULL  1415.178 542.598 19.623 0.416 0x00
OBS: 59527.50 i NULL  99.548 93.071 22.505 1.015 0x00
OBS: 59531.45 i NULL  126.242 251.945 22.247 2.167 0x00
OBS: 59091.62 z NULL  275.355 168.790 21.400 0.666 0x00
OBS: 59097.63 z NULL  566.066 123.831 20.618 0.238 0x00
OBS: 59101.63 z NULL  991.344 103.523 20.009 0.113 0x00
OBS: 59118.56 z NULL  468.358 157.606 20.824 0.365 0x01
OBS: 59125.55 z NULL  436.383 144.657 20.900 0.360 0x00
OBS: 59129.63 z NULL  373.312 211.576 21.070 0.615 0x00
OBS: 59145.53 z NULL  542.038 127.876 20.665 0.256 0x00
OBS: 59153.44 z NULL  710.470 140.300 20.371 0.214 0x00
OBS: 59161.45 z NULL  412.280 132.018 20.962 0.348 0x00
OBS: 59180.46 z NULL  482.621 145.925 20.791 0.328 0x00
OBS: 59189.37 z NULL  856.866 112.693 20.168 0.143 0x00
OBS: 59480.58 z NULL  583.761 131.416 20.584 0.244 0x00
OBS: 59483.60 z NULL  188.102 123.950 21.814 0.715 0x00
OBS: 59505.53 z NULL  389.769 164.306 21.023 0.458 0x00
OBS: 59507.54 z NULL  308.120 125.693 21.278 0.443 0x00
END:
