SURVEY:  PS1MD
SNID:  2020wlj
otherID: 
IAUC:    UNKNOWN
RA:        317.7053920  deg
DECL:       -5.6106890  deg
MWEBV:    0.095 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020wlj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0489
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.512 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 68
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59021.54 g NULL  17.955 81.198 24.365 4.910 0x01
OBS: 59022.53 g NULL  -88.413 55.325 nan -0.679 0x00
OBS: 59046.52 g NULL  23.600 205.959 24.068 9.475 0x00
OBS: 59050.49 g NULL  94.596 99.213 22.560 1.139 0x00
OBS: 59055.44 g NULL  -114.206 81.230 nan -0.772 0x00
OBS: 59082.42 g NULL  13.001 69.690 24.715 5.820 0x00
OBS: 59083.40 g NULL  52.433 65.852 23.201 1.364 0x00
OBS: 59110.30 g NULL  319.104 66.557 21.240 0.226 0x00
OBS: 59114.31 g NULL  302.364 47.646 21.299 0.171 0x00
OBS: 59137.23 g NULL  74.881 56.986 22.814 0.826 0x00
OBS: 59139.23 g NULL  160.946 59.145 21.983 0.399 0x00
OBS: 59143.26 g NULL  143.899 81.176 22.105 0.612 0x00
OBS: 59369.54 g NULL  -13.785 139.265 nan -10.969 0x00
OBS: 59373.59 g NULL  11.036 45.587 24.893 4.485 0x00
OBS: 59376.54 g NULL  128.098 80.833 22.231 0.685 0x00
OBS: 59379.50 g NULL  45.209 57.731 23.362 1.386 0x01
OBS: 59381.58 g NULL  37.506 70.212 23.565 2.033 0x00
OBS: 59409.44 g NULL  -121.440 69.665 nan -0.623 0x00
OBS: 59432.45 g NULL  -75.728 91.318 nan -1.309 0x00
OBS: 59441.43 g NULL  -106.057 70.780 nan -0.725 0x00
OBS: 59443.44 g NULL  -100.178 67.435 nan -0.731 0x00
OBS: 59456.47 g NULL  76.743 63.898 22.787 0.904 0x00
OBS: 59469.28 g NULL  -46.117 66.500 nan -1.566 0x00
OBS: 59022.53 r NULL  -3.197 61.557 nan -20.905 0x00
OBS: 59046.53 r NULL  254.808 144.224 21.484 0.615 0x00
OBS: 59050.49 r NULL  -51.556 78.809 nan -1.660 0x00
OBS: 59055.45 r NULL  -35.514 62.133 nan -1.900 0x00
OBS: 59082.43 r NULL  52.816 46.002 23.193 0.946 0x00
OBS: 59100.33 r NULL  275.600 49.585 21.399 0.195 0x00
OBS: 59114.31 r NULL  108.029 97.343 22.416 0.978 0x00
OBS: 59139.23 r NULL  235.798 66.383 21.569 0.306 0x00
OBS: 59155.21 r NULL  220.596 119.351 21.641 0.587 0x01
OBS: 59376.54 r NULL  62.827 63.638 23.005 1.100 0x00
OBS: 59381.57 r NULL  -10.809 56.496 nan -5.675 0x00
OBS: 59385.51 r NULL  -36.955 42.129 nan -1.238 0x00
OBS: 59386.54 r NULL  -21.688 52.983 nan -2.652 0x00
OBS: 59388.58 r NULL  -25.476 83.626 nan -3.564 0x00
OBS: 59415.42 r NULL  21.185 69.124 24.185 3.543 0x00
OBS: 59423.49 r NULL  -103.757 113.707 nan -1.190 0x00
OBS: 59436.33 r NULL  -59.259 45.769 nan -0.839 0x01
OBS: 59451.32 r NULL  -125.130 112.034 nan -0.972 0x00
OBS: 59453.42 r NULL  78.564 70.194 22.762 0.970 0x00
OBS: 59481.40 r NULL  -105.508 214.943 nan -2.212 0x00
OBS: 59483.39 r NULL  117.523 107.317 22.325 0.991 0x00
OBS: 59510.26 r NULL  112.773 71.989 22.369 0.693 0x00
OBS: 59511.27 r NULL  52.532 68.991 23.199 1.426 0x00
OBS: 59083.40 i NULL  159.733 55.232 21.992 0.375 0x00
OBS: 59110.30 i NULL  474.329 82.780 20.810 0.189 0x00
OBS: 59137.23 i NULL  182.230 63.397 21.848 0.378 0x00
OBS: 59143.26 i NULL  221.827 111.194 21.635 0.544 0x00
OBS: 59373.59 i NULL  -38.929 77.482 nan -2.161 0x00
OBS: 59379.50 i NULL  43.778 74.158 23.397 1.839 0x00
OBS: 59386.54 i NULL  43.317 70.754 23.408 1.773 0x00
OBS: 59409.44 i NULL  29.498 121.703 23.826 4.480 0x00
OBS: 59413.44 i NULL  254.165 153.827 21.487 0.657 0x01
OBS: 59415.42 i NULL  -105.184 76.321 nan -0.788 0x00
OBS: 59423.49 i NULL  -44.949 161.350 nan -3.897 0x00
OBS: 59432.44 i NULL  -22.317 53.006 nan -2.579 0x00
OBS: 59441.43 i NULL  -4.970 91.479 nan -19.984 0x00
OBS: 59451.32 i NULL  66.192 117.629 22.948 1.929 0x00
OBS: 59469.28 i NULL  44.028 66.748 23.391 1.646 0x00
OBS: 59483.39 i NULL  55.159 96.138 23.146 1.892 0x00
OBS: 59510.25 i NULL  116.952 65.788 22.330 0.611 0x00
OBS: 59100.34 z NULL  167.603 126.628 21.939 0.820 0x00
OBS: 59155.21 z NULL  -102.513 206.985 nan -2.192 0x00
OBS: 59163.25 z NULL  132.099 168.583 22.198 1.386 0x00
OBS: 59369.53 z NULL  -391.785 238.662 nan -0.661 0x00
OBS: 59385.51 z NULL  -138.229 97.903 nan -0.769 0x00
OBS: 59388.59 z NULL  -75.558 101.262 nan -1.455 0x00
OBS: 59443.44 z NULL  167.609 102.571 21.939 0.664 0x00
OBS: 59453.42 z NULL  15.930 95.882 24.494 6.535 0x00
OBS: 59456.47 z NULL  56.820 86.907 23.114 1.661 0x00
OBS: 59481.40 z NULL  276.241 252.797 21.397 0.994 0x00
OBS: 59511.27 z NULL  15.645 103.009 24.514 7.149 0x01
END:
