SURVEY:  PS1MD
SNID:  2020woh
otherID: 
IAUC:    UNKNOWN
RA:        48.3712290  deg
DECL:       -3.7945340  deg
MWEBV:    0.065 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020woh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0012
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.065 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 80
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58816.39 g NULL  -29.269 56.868 nan -2.110 0x00
OBS: 58837.34 g NULL  -12.865 50.101 nan -4.228 0x00
OBS: 58846.30 g NULL  -92.935 45.783 nan -0.535 0x00
OBS: 58849.29 g NULL  10.987 53.418 24.898 5.279 0x00
OBS: 58872.28 g NULL  67.534 48.531 22.926 0.780 0x00
OBS: 58876.31 g NULL  59.770 44.179 23.059 0.803 0x00
OBS: 59080.61 g NULL  28.638 59.972 23.858 2.274 0x00
OBS: 59108.59 g NULL  65.844 45.520 22.954 0.751 0x00
OBS: 59114.57 g NULL  11.349 68.460 24.863 6.549 0x00
OBS: 59132.55 g NULL  522.531 65.508 20.705 0.136 0x00
OBS: 59136.51 g NULL  768.718 52.717 20.286 0.074 0x00
OBS: 59138.45 g NULL  832.197 146.149 20.199 0.191 0x00
OBS: 59140.48 g NULL  839.353 69.518 20.190 0.090 0x01
OBS: 59146.46 g NULL  739.844 54.249 20.327 0.080 0x00
OBS: 59161.44 g NULL  184.945 55.944 21.832 0.328 0x00
OBS: 59167.45 g NULL  108.876 73.790 22.408 0.736 0x00
OBS: 59172.39 g NULL  116.213 114.646 22.337 1.071 0x00
OBS: 59190.41 g NULL  67.660 50.043 22.924 0.803 0x00
OBS: 59194.33 g NULL  69.293 56.410 22.898 0.884 0x00
OBS: 59198.36 g NULL  28.122 102.981 23.877 3.976 0x00
OBS: 59465.61 g NULL  38.162 45.778 23.546 1.302 0x00
OBS: 59467.57 g NULL  30.843 58.627 23.777 2.064 0x00
OBS: 59470.61 g NULL  -17.006 45.839 nan -2.927 0x00
OBS: 59485.56 g NULL  39.545 78.094 23.507 2.144 0x01
OBS: 59494.62 g NULL  -92.057 134.787 nan -1.590 0x00
OBS: 59500.50 g NULL  -54.050 55.055 nan -1.106 0x00
OBS: 59516.46 g NULL  -482.100 236.885 nan -0.533 0x00
OBS: 59525.46 g NULL  155.946 63.631 22.018 0.443 0x00
OBS: 59529.47 g NULL  -53.608 41.869 nan -0.848 0x00
OBS: 58849.29 r NULL  15.166 44.935 24.548 3.217 0x00
OBS: 58872.29 r NULL  48.158 40.015 23.293 0.902 0x00
OBS: 59076.62 r NULL  -73.932 93.989 nan -1.380 0x09
OBS: 59090.58 r NULL  61.449 58.243 23.029 1.029 0x00
OBS: 59095.59 r NULL  61.707 106.582 23.024 1.875 0x00
OBS: 59108.59 r NULL  8.150 46.415 25.222 6.183 0x00
OBS: 59114.57 r NULL  81.562 67.506 22.721 0.899 0x00
OBS: 59118.56 r NULL  36.373 49.109 23.598 1.466 0x00
OBS: 59120.56 r NULL  -64.584 50.981 nan -0.857 0x00
OBS: 59123.57 r NULL  45.271 88.429 23.360 2.121 0x00
OBS: 59130.49 r NULL  367.589 58.453 21.087 0.173 0x00
OBS: 59138.46 r NULL  1593.681 431.230 19.494 0.294 0x00
OBS: 59148.42 r NULL  614.176 78.831 20.529 0.139 0x00
OBS: 59158.48 r NULL  499.878 65.746 20.753 0.143 0x00
OBS: 59172.39 r NULL  395.887 81.305 21.006 0.223 0x00
OBS: 59185.40 r NULL  186.863 103.624 21.821 0.602 0x00
OBS: 59188.34 r NULL  -11.503 80.928 nan -7.639 0x00
OBS: 59194.33 r NULL  139.398 44.553 22.139 0.347 0x00
OBS: 59467.57 r NULL  183.919 57.983 21.838 0.342 0x01
OBS: 59476.63 r NULL  36.452 100.002 23.596 2.979 0x00
