SURVEY:  PS1MD
SNID:  2020woq
otherID: 
IAUC:    UNKNOWN
RA:        334.8411040  deg
DECL:       35.5372980  deg
MWEBV:    0.105 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020woq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0050
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.769 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 43
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59053.48 g NULL  133.044 69.332 22.190 0.566 0x00
OBS: 59073.49 g NULL  27.096 53.819 23.918 2.157 0x00
OBS: 59080.41 g NULL  131.127 57.150 22.206 0.473 0x00
OBS: 59106.26 g NULL  191.986 45.290 21.792 0.256 0x00
OBS: 59113.42 g NULL  129.361 140.106 22.220 1.176 0x00
OBS: 59115.34 g NULL  103.573 52.696 22.462 0.552 0x00
OBS: 59131.37 g NULL  426.684 64.144 20.925 0.163 0x00
OBS: 59136.29 g NULL  136.131 785.493 22.165 6.265 0x00
OBS: 59139.23 g NULL  452.824 75.096 20.860 0.180 0x00
OBS: 59166.21 g NULL  464.949 108.291 20.831 0.253 0x00
OBS: 59170.21 g NULL  515.713 77.559 20.719 0.163 0x00
OBS: 59059.45 r NULL  157.210 71.597 22.009 0.494 0x00
OBS: 59064.51 r NULL  316.479 169.534 21.249 0.582 0x00
OBS: 59066.51 r NULL  242.304 128.204 21.539 0.574 0x01
OBS: 59070.54 r NULL  95.675 81.379 22.548 0.924 0x00
OBS: 59090.41 r NULL  118.141 93.638 22.319 0.861 0x00
OBS: 59094.44 r NULL  -16.952 106.349 nan -6.811 0x00
OBS: 59097.47 r NULL  -4.689 102.663 nan -23.772 0x00
OBS: 59099.44 r NULL  326.282 132.357 21.216 0.440 0x00
OBS: 59123.28 r NULL  234.434 126.842 21.575 0.587 0x00
OBS: 59136.29 r NULL  756.762 77.807 20.303 0.112 0x00
OBS: 59166.21 r NULL  295.429 140.463 21.324 0.516 0x00
OBS: 59183.31 r NULL  605.384 229.287 20.545 0.411 0x01
OBS: 59185.23 r NULL  327.318 75.328 21.213 0.250 0x00
OBS: 59187.21 r NULL  470.430 71.485 20.819 0.165 0x00
OBS: 59189.22 r NULL  528.157 62.437 20.693 0.128 0x00
OBS: 59053.49 i NULL  164.178 68.075 21.962 0.450 0x00
OBS: 59064.51 i NULL  408.259 259.716 20.973 0.691 0x00
OBS: 59070.54 i NULL  120.223 102.534 22.300 0.926 0x00
OBS: 59090.41 i NULL  73.903 92.441 22.828 1.358 0x00
OBS: 59097.47 i NULL  -81.658 153.438 nan -2.040 0x00
OBS: 59106.26 i NULL  33.031 73.129 23.703 2.404 0x00
OBS: 59113.42 i NULL  391.216 134.284 21.019 0.373 0x00
OBS: 59131.37 i NULL  421.279 83.689 20.939 0.216 0x00
OBS: 59139.24 i NULL  838.544 99.097 20.191 0.128 0x00
OBS: 59170.21 i NULL  755.813 115.254 20.304 0.166 0x00
OBS: 59183.32 i NULL  331.133 204.324 21.200 0.670 0x01
OBS: 59187.21 i NULL  452.461 68.530 20.861 0.164 0x00
OBS: 59059.45 z NULL  -120.357 95.216 nan -0.859 0x00
OBS: 59066.51 z NULL  31.631 157.577 23.750 5.409 0x00
OBS: 59094.43 z NULL  34.537 119.800 23.654 3.766 0x00
OBS: 59099.43 z NULL  -3.652 173.707 nan -51.643 0x00
OBS: 59115.34 z NULL  176.060 103.168 21.886 0.636 0x00
OBS: 59123.28 z NULL  359.437 128.948 21.111 0.390 0x00
OBS: 59185.23 z NULL  598.158 152.225 20.558 0.276 0x00
OBS: 59189.22 z NULL  602.674 111.817 20.550 0.201 0x00
END:
