SURVEY:  PS1MD
SNID:  2020wpn
otherID: 
IAUC:    UNKNOWN
RA:        0.9677290  deg
DECL:       23.6235970  deg
MWEBV:    0.092 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020wpn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0057
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.427 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 60
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59046.54 g NULL  183.735 458.815 21.840 2.711 0x01
OBS: 59050.55 g NULL  -5.640 53.728 nan -10.343 0x00
OBS: 59055.54 g NULL  6.933 42.518 25.398 6.658 0x00
OBS: 59072.62 g NULL  -16.867 57.877 nan -3.726 0x00
OBS: 59074.49 g NULL  40.168 42.335 23.490 1.144 0x00
OBS: 59078.47 g NULL  22.674 50.424 24.111 2.415 0x00
OBS: 59082.43 g NULL  102.181 54.099 22.477 0.575 0x00
OBS: 59083.61 g NULL  24.816 55.449 24.013 2.426 0x00
OBS: 59084.60 g NULL  78.842 71.599 22.758 0.986 0x00
OBS: 59103.39 g NULL  -13.891 41.170 nan -3.218 0x01
OBS: 59107.53 g NULL  131.900 53.356 22.199 0.439 0x00
OBS: 59109.35 g NULL  230.670 280.173 21.593 1.319 0x00
OBS: 59113.48 g NULL  467.219 60.204 20.826 0.140 0x00
OBS: 59117.37 g NULL  660.120 82.084 20.451 0.135 0x00
OBS: 59131.44 g NULL  277.497 145.102 21.392 0.568 0x09
OBS: 59137.46 g NULL  234.734 36.285 21.574 0.168 0x00
OBS: 59142.27 g NULL  20.923 83.001 24.198 4.307 0x00
OBS: 59163.36 g NULL  54.020 55.918 23.169 1.124 0x00
OBS: 59169.23 g NULL  36.478 67.793 23.595 2.018 0x00
OBS: 59194.32 g NULL  -20.684 59.529 nan -3.125 0x00
OBS: 59031.56 r NULL  10.753 55.657 24.921 5.620 0x00
OBS: 59046.54 r NULL  115.489 445.399 22.344 4.187 0x00
OBS: 59060.50 r NULL  -53.803 60.392 nan -1.219 0x00
OBS: 59064.51 r NULL  143.792 119.521 22.106 0.902 0x00
OBS: 59078.46 r NULL  -89.404 48.638 nan -0.591 0x00
OBS: 59082.43 r NULL  15.342 59.556 24.535 4.215 0x00
OBS: 59084.61 r NULL  38.206 56.842 23.545 1.615 0x00
OBS: 59093.41 r NULL  -190.480 98.208 nan -0.560 0x00
OBS: 59100.42 r NULL  75.382 92.189 22.807 1.328 0x00
OBS: 59107.53 r NULL  142.684 78.337 22.114 0.596 0x00
OBS: 59113.48 r NULL  363.233 67.148 21.100 0.201 0x00
OBS: 59119.36 r NULL  568.423 55.171 20.613 0.105 0x00
OBS: 59128.47 r NULL  503.939 98.536 20.744 0.212 0x00
OBS: 59156.37 r NULL  89.327 68.616 22.623 0.834 0x00
OBS: 59158.39 r NULL  68.469 54.217 22.911 0.860 0x00
OBS: 59169.23 r NULL  97.812 55.914 22.524 0.621 0x00
OBS: 59182.35 r NULL  -72.405 110.066 nan -1.650 0x00
OBS: 59184.30 r NULL  -19.802 70.554 nan -3.868 0x00
OBS: 59188.32 r NULL  -607.355 209.940 nan -0.375 0x00
OBS: 59194.32 r NULL  45.437 39.881 23.356 0.953 0x00
OBS: 59031.56 i NULL  30.695 83.445 23.782 2.952 0x00
OBS: 59050.55 i NULL  64.105 56.447 22.983 0.956 0x00
OBS: 59055.54 i NULL  -68.919 61.763 nan -0.973 0x00
OBS: 59060.50 i NULL  -155.597 56.274 nan -0.393 0x00
OBS: 59064.51 i NULL  94.300 108.606 22.564 1.250 0x00
OBS: 59074.50 i NULL  61.456 45.538 23.029 0.805 0x00
OBS: 59083.60 i NULL  6.907 62.011 25.402 9.748 0x00
OBS: 59093.41 i NULL  89.801 84.454 22.617 1.021 0x00
OBS: 59109.36 i NULL  199.702 56.727 21.749 0.308 0x00
OBS: 59117.37 i NULL  541.572 75.815 20.666 0.152 0x00
OBS: 59119.36 i NULL  480.852 59.966 20.795 0.135 0x00
OBS: 59128.47 i NULL  371.932 94.802 21.074 0.277 0x00
OBS: 59137.46 i NULL  280.300 52.962 21.381 0.205 0x00
OBS: 59142.26 i NULL  373.744 113.606 21.069 0.330 0x00
OBS: 59158.39 i NULL  230.112 58.459 21.595 0.276 0x00
OBS: 59184.30 i NULL  -11.585 87.095 nan -8.162 0x00
OBS: 59188.32 i NULL  -354.759 320.804 nan -0.982 0x00
OBS: 59072.62 z NULL  -176.068 112.096 nan -0.691 0x00
OBS: 59100.42 z NULL  86.744 149.316 22.654 1.869 0x00
OBS: 59103.39 z NULL  -105.045 84.340 nan -0.872 0x01
OBS: 59131.44 z NULL  -4.065 101.411 nan -27.086 0x01
OBS: 59156.37 z NULL  123.972 98.947 22.267 0.867 0x00
OBS: 59163.36 z NULL  29.687 89.360 23.819 3.268 0x00
OBS: 59182.35 z NULL  481.128 205.499 20.794 0.464 0x00
OBS: 59186.34 z NULL  144.872 105.676 22.098 0.792 0x00
END:
