SURVEY:  PS1MD
SNID:  2020wzd
otherID: 
IAUC:    UNKNOWN
RA:        7.1629210  deg
DECL:       17.8784600  deg
MWEBV:    0.075 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020wzd.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.799 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 116
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59028.57 g NULL  3.825 44.661 26.043 12.677 0x00
OBS: 59029.61 g NULL  -44.167 36.045 nan -0.886 0x00
OBS: 59049.58 g NULL  54.935 98.135 23.150 1.940 0x00
OBS: 59051.56 g NULL  0.196 48.687 29.269 269.700 0x00
OBS: 59055.54 g NULL  -28.635 61.126 nan -2.318 0x01
OBS: 59077.47 g NULL  45.083 33.590 23.365 0.809 0x00
OBS: 59084.60 g NULL  107.473 58.195 22.422 0.588 0x00
OBS: 59103.40 g NULL  41.173 37.426 23.463 0.987 0x01
OBS: 59107.53 g NULL  -131.064 44.148 nan -0.366 0x00
OBS: 59111.51 g NULL  -37.563 144.440 nan -4.175 0x00
OBS: 59117.37 g NULL  93.529 69.072 22.573 0.802 0x00
OBS: 59132.45 g NULL  -18.121 51.200 nan -3.068 0x00
OBS: 59137.46 g NULL  461.454 58.703 20.840 0.138 0x09
OBS: 59145.29 g NULL  1462.057 60.171 19.588 0.045 0x00
OBS: 59147.42 g NULL  1625.854 92.414 19.472 0.062 0x00
OBS: 59163.36 g NULL  903.830 58.230 20.110 0.070 0x00
OBS: 59169.22 g NULL  468.179 49.562 20.824 0.115 0x00
OBS: 59173.38 g NULL  460.263 68.536 20.842 0.162 0x00
OBS: 59192.31 g NULL  39.857 66.646 23.499 1.815 0x01
OBS: 59381.58 g NULL  -48.921 60.368 nan -1.340 0x01
OBS: 59400.57 g NULL  37.540 43.160 23.564 1.248 0x00
OBS: 59401.56 g NULL  44.222 54.368 23.386 1.335 0x00
OBS: 59406.58 g NULL  29.449 63.934 23.827 2.357 0x00
OBS: 59410.57 g NULL  164.421 62.866 21.960 0.415 0x00
OBS: 59412.51 g NULL  5.158 36.591 25.719 7.702 0x00
OBS: 59428.53 g NULL  62.262 41.163 23.014 0.718 0x00
OBS: 59431.48 g NULL  9.714 46.220 25.032 5.166 0x01
OBS: 59435.46 g NULL  9.944 34.970 25.006 3.818 0x00
OBS: 59438.62 g NULL  11.494 50.933 24.849 4.811 0x00
OBS: 59443.62 g NULL  -20.663 45.944 nan -2.414 0x00
OBS: 59458.58 g NULL  -58.587 118.617 nan -2.198 0x00
OBS: 59464.39 g NULL  169.136 78.380 21.929 0.503 0x00
OBS: 59470.39 g NULL  26.715 46.429 23.933 1.887 0x00
OBS: 59485.52 g NULL  90.523 83.665 22.608 1.003 0x00
OBS: 59488.34 g NULL  -132.503 90.299 nan -0.740 0x00
OBS: 59491.50 g NULL  13.731 48.107 24.656 3.804 0x00
OBS: 59500.44 g NULL  79.889 74.575 22.744 1.014 0x00
OBS: 59517.28 g NULL  76.498 64.571 22.791 0.916 0x00
OBS: 59519.28 g NULL  -2.119 52.048 nan -26.668 0x00
OBS: 59525.38 g NULL  -6.253 46.974 nan -8.156 0x00
OBS: 59530.37 g NULL  37.972 84.778 23.551 2.424 0x00
OBS: 59032.55 r NULL  -87.322 67.473 nan -0.839 0x00
OBS: 59036.59 r NULL  33.822 64.731 23.677 2.078 0x00
OBS: 59046.54 r NULL  195.110 160.908 21.774 0.895 0x00
OBS: 59051.56 r NULL  90.176 41.435 22.612 0.499 0x00
OBS: 59055.54 r NULL  8.019 35.789 25.240 4.846 0x00
OBS: 59060.50 r NULL  10.345 54.388 24.963 5.708 0x00
OBS: 59064.52 r NULL  15.483 75.904 24.525 5.323 0x00
OBS: 59093.41 r NULL  8.628 139.645 25.160 17.573 0x00
OBS: 59100.43 r NULL  154.802 77.708 22.026 0.545 0x00
OBS: 59111.51 r NULL  67.481 120.088 22.927 1.932 0x00
OBS: 59120.38 r NULL  -45.735 401.150 nan -9.523 0x00
OBS: 59127.36 r NULL  200.411 182.090 21.745 0.986 0x01
OBS: 59130.48 r NULL  25.522 80.937 23.983 3.443 0x01
OBS: 59137.45 r NULL  549.783 46.472 20.650 0.092 0x00
OBS: 59154.41 r NULL  1539.753 148.965 19.531 0.105 0x00
OBS: 59158.39 r NULL  1553.921 210.928 19.521 0.147 0x00
OBS: 59173.38 r NULL  766.640 64.719 20.289 0.092 0x00
OBS: 59182.36 r NULL  459.741 108.740 20.844 0.257 0x00
OBS: 59186.34 r NULL  500.546 77.741 20.751 0.169 0x00
OBS: 59381.58 r NULL  -35.905 70.170 nan -2.122 0x00
OBS: 59385.60 r NULL  -46.570 37.177 nan -0.867 0x00
OBS: 59387.59 r NULL  44.268 51.716 23.385 1.268 0x00
OBS: 59393.60 r NULL  69.235 56.537 22.899 0.887 0x00
OBS: 59400.57 r NULL  8.836 38.281 25.134 4.704 0x00
