SURVEY:  PS1MD
SNID:  2020wzp
otherID: 
IAUC:    UNKNOWN
RA:        21.9148540  deg
DECL:       -15.2448730  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020wzp.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0017
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.246 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 71
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59083.56 g NULL  -100.159 81.191 nan -0.880 0x00
OBS: 59084.59 g NULL  7.510 57.667 25.311 8.337 0x00
OBS: 59107.45 g NULL  -43.191 73.066 nan -1.837 0x00
OBS: 59110.45 g NULL  -137.229 54.852 nan -0.434 0x00
OBS: 59132.42 g NULL  722.891 52.396 20.352 0.079 0x00
OBS: 59137.44 g NULL  1061.880 67.824 19.935 0.069 0x00
OBS: 59143.38 g NULL  1005.851 138.374 19.994 0.149 0x01
OBS: 59146.47 g NULL  929.357 66.798 20.080 0.078 0x00
OBS: 59166.40 g NULL  320.591 81.332 21.235 0.275 0x00
OBS: 59170.32 g NULL  148.958 68.169 22.067 0.497 0x00
OBS: 59191.24 g NULL  -8.522 53.707 nan -6.842 0x00
OBS: 59428.58 g NULL  8.136 100.194 25.224 13.371 0x00
OBS: 59430.61 g NULL  -17.026 57.878 nan -3.691 0x01
OBS: 59434.59 g NULL  37.005 44.000 23.579 1.291 0x00
OBS: 59436.59 g NULL  -48.104 61.680 nan -1.392 0x00
OBS: 59442.56 g NULL  -69.937 49.823 nan -0.773 0x00
OBS: 59455.60 g NULL  -12.610 110.857 nan -9.545 0x00
OBS: 59458.52 g NULL  59.135 162.464 23.070 2.983 0x00
OBS: 59464.57 g NULL  61.845 106.278 23.022 1.866 0x00
OBS: 59466.55 g NULL  -44.376 58.395 nan -1.429 0x00
OBS: 59468.57 g NULL  -70.725 67.448 nan -1.035 0x00
OBS: 59470.40 g NULL  37.419 62.769 23.567 1.821 0x00
OBS: 59487.50 g NULL  -86.522 65.412 nan -0.821 0x00
OBS: 59493.48 g NULL  -61.998 61.114 nan -1.070 0x00
OBS: 59500.45 g NULL  99.109 108.473 22.510 1.188 0x01
OBS: 59515.37 g NULL  -75.682 59.148 nan -0.849 0x00
OBS: 59524.38 g NULL  205.415 60.976 21.718 0.322 0x00
OBS: 59529.35 g NULL  -101.789 56.461 nan -0.602 0x00
OBS: 59083.56 r NULL  80.133 65.911 22.740 0.893 0x00
OBS: 59084.59 r NULL  129.319 61.370 22.221 0.515 0x00
OBS: 59093.49 r NULL  -85.444 106.761 nan -1.357 0x00
OBS: 59100.57 r NULL  109.480 70.286 22.402 0.697 0x00
OBS: 59107.46 r NULL  46.592 48.997 23.329 1.142 0x00
