SURVEY:  PS1MD
SNID:  2020xgz
otherID: 
IAUC:    UNKNOWN
RA:        22.2307830  deg
DECL:       -18.1001280  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020xgz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0083
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.577 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 30
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59083.56 g NULL  -73.493 94.137 nan -1.391 0x00
OBS: 59084.59 g NULL  19.474 64.743 24.276 3.610 0x00
OBS: 59105.50 g NULL  -24.465 77.616 nan -3.445 0x00
OBS: 59114.48 g NULL  -98.323 86.712 nan -0.958 0x00
OBS: 59132.42 g NULL  517.412 64.789 20.715 0.136 0x00
OBS: 59137.44 g NULL  508.074 65.961 20.735 0.141 0x00
OBS: 59143.38 g NULL  332.413 147.105 21.196 0.480 0x00
OBS: 59191.24 g NULL  36.790 40.274 23.586 1.189 0x00
OBS: 59458.52 g NULL  -28.598 135.273 nan -5.136 0x00
OBS: 59083.56 r NULL  23.619 67.925 24.067 3.122 0x00
OBS: 59084.59 r NULL  -38.469 69.712 nan -1.968 0x00
OBS: 59114.48 r NULL  -53.579 55.541 nan -1.125 0x00
OBS: 59118.51 r NULL  254.087 63.071 21.488 0.270 0x00
OBS: 59143.38 r NULL  417.754 190.170 20.948 0.494 0x00
OBS: 59156.34 r NULL  598.591 82.939 20.557 0.150 0x01
OBS: 59160.37 r NULL  179.715 154.829 21.864 0.935 0x00
OBS: 59182.29 r NULL  257.278 190.651 21.474 0.805 0x00
OBS: 59186.27 r NULL  252.829 104.327 21.493 0.448 0x00
OBS: 59440.55 r NULL  -33.462 69.573 nan -2.257 0x00
OBS: 59445.56 r NULL  -392.585 54.598 nan -0.151 0x00
OBS: 59102.53 i NULL  -146.563 77.568 nan -0.575 0x00
OBS: 59105.49 i NULL  39.395 66.190 23.511 1.824 0x00
OBS: 59118.51 i NULL  109.247 61.413 22.404 0.610 0x00
OBS: 59137.44 i NULL  534.067 88.422 20.681 0.180 0x00
OBS: 59156.34 i NULL  652.656 84.701 20.463 0.141 0x01
OBS: 59160.37 i NULL  206.986 227.558 21.710 1.194 0x00
OBS: 59182.28 i NULL  633.179 144.918 20.496 0.248 0x00
OBS: 59191.24 i NULL  337.184 87.399 21.180 0.281 0x00
OBS: 59513.50 i NULL  -286.617 115.095 nan -0.436 0x01
OBS: 59127.46 z NULL  843.162 271.143 20.185 0.349 0x00
OBS: 59132.42 z NULL  414.710 111.905 20.956 0.293 0x00
OBS: 59186.27 z NULL  360.706 130.262 21.107 0.392 0x00
OBS: 59445.56 z NULL  -160.050 116.931 nan -0.793 0x00
END:
