SURVEY:  PS1MD
SNID:  2020xku
otherID: 
IAUC:    UNKNOWN
RA:        16.8199710  deg
DECL:       -15.7502630  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020xku.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0006
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.623 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 78
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59083.55 g NULL  85.906 54.485 22.665 0.689 0x01
OBS: 59105.50 g NULL  12.052 46.620 24.797 4.200 0x00
OBS: 59107.45 g NULL  131.242 71.307 22.205 0.590 0x00
OBS: 59110.45 g NULL  -20.363 54.931 nan -2.929 0x00
OBS: 59114.48 g NULL  54.891 43.695 23.151 0.864 0x00
OBS: 59132.42 g NULL  31.463 36.463 23.755 1.258 0x00
OBS: 59137.44 g NULL  351.669 42.578 21.135 0.131 0x00
OBS: 59143.38 g NULL  964.458 119.169 20.039 0.134 0x00
OBS: 59146.47 g NULL  910.587 63.719 20.102 0.076 0x00
OBS: 59170.32 g NULL  193.942 58.902 21.781 0.330 0x00
OBS: 59191.23 g NULL  159.799 50.026 21.991 0.340 0x00
OBS: 59430.61 g NULL  -29.607 65.060 nan -2.386 0x00
OBS: 59433.59 g NULL  43.251 104.420 23.410 2.621 0x00
OBS: 59434.59 g NULL  19.594 44.134 24.270 2.446 0x00
OBS: 59436.59 g NULL  30.167 47.740 23.801 1.718 0x00
OBS: 59438.62 g NULL  27.962 59.060 23.884 2.293 0x00
OBS: 59440.56 g NULL  -20.634 68.334 nan -3.596 0x00
OBS: 59442.56 g NULL  -36.203 49.818 nan -1.494 0x00
OBS: 59455.60 g NULL  85.003 103.048 22.676 1.316 0x00
