SURVEY:  PS1MD
SNID:  2020yja
otherID: 
IAUC:    UNKNOWN
RA:        58.9048040  deg
DECL:       -26.0619530  deg
MWEBV:    0.015 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020yja.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0104
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.376 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 46
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59077.61 g NULL  734.918 103.099 20.334 0.152 0x00
OBS: 59101.62 g NULL  83.470 66.162 22.696 0.861 0x00
OBS: 59105.61 g NULL  39.869 93.789 23.498 2.554 0x00
OBS: 59109.61 g NULL  -29.710 45.013 nan -1.645 0x00
OBS: 59138.52 g NULL  -120.667 112.104 nan -1.009 0x01
OBS: 59147.49 g NULL  61.546 66.192 23.027 1.168 0x00
OBS: 59161.45 g NULL  91.322 83.634 22.599 0.994 0x00
OBS: 59167.46 g NULL  -6.737 73.744 nan -11.885 0x00
OBS: 59492.56 g NULL  -87.583 115.137 nan -1.427 0x00
OBS: 59515.54 g NULL  73.015 71.719 22.841 1.066 0x00
OBS: 59518.51 g NULL  -79.254 80.766 nan -1.106 0x00
OBS: 59527.50 g NULL  91.248 82.939 22.599 0.987 0x01
OBS: 59077.60 r NULL  740.467 82.575 20.326 0.121 0x00
OBS: 59091.62 r NULL  239.133 79.963 21.553 0.363 0x00
OBS: 59097.62 r NULL  278.425 81.824 21.388 0.319 0x00
OBS: 59099.62 r NULL  217.480 107.646 21.656 0.537 0x00
OBS: 59109.62 r NULL  209.942 47.424 21.695 0.245 0x00
OBS: 59118.56 r NULL  224.606 79.568 21.621 0.385 0x00
OBS: 59125.54 r NULL  209.289 127.459 21.698 0.661 0x01
OBS: 59153.44 r NULL  126.943 115.954 22.241 0.992 0x00
OBS: 59156.47 r NULL  95.924 71.669 22.545 0.811 0x00
OBS: 59167.46 r NULL  31.969 78.154 23.738 2.654 0x00
OBS: 59182.41 r NULL  -365.000 215.457 nan -0.641 0x09
OBS: 59189.37 r NULL  245.309 114.616 21.526 0.507 0x01
OBS: 59479.60 r NULL  29.050 97.327 23.842 3.638 0x00
OBS: 59480.59 r NULL  132.440 94.179 22.195 0.772 0x01
OBS: 59481.57 r NULL  -105.979 186.131 nan -1.907 0x00
OBS: 59504.49 r NULL  -460.656 296.190 nan -0.698 0x00
OBS: 59505.53 r NULL  50.044 145.220 23.252 3.151 0x00
OBS: 59506.53 r NULL  -110.492 94.921 nan -0.933 0x00
OBS: 59508.49 r NULL  -3.844 188.998 nan -53.382 0x00
OBS: 59511.54 r NULL  144.220 351.996 22.102 2.650 0x01
OBS: 59518.51 r NULL  12.827 61.991 24.730 5.247 0x00
OBS: 59105.61 i NULL  387.704 67.604 21.029 0.189 0x00
OBS: 59138.53 i NULL  35.082 139.836 23.637 4.328 0x01
OBS: 59147.49 i NULL  -53.122 60.271 nan -1.232 0x00
OBS: 59156.47 i NULL  158.999 90.703 21.997 0.619 0x09
OBS: 59479.60 i NULL  73.806 88.665 22.830 1.304 0x00
OBS: 59481.57 i NULL  -66.552 113.366 nan -1.849 0x00
OBS: 59492.56 i NULL  -144.560 109.737 nan -0.824 0x00
OBS: 59504.48 i NULL  190.361 317.596 21.801 1.811 0x00
OBS: 59506.53 i NULL  -23.245 84.469 nan -3.945 0x00
OBS: 59508.48 i NULL  -27.347 95.243 nan -3.781 0x00
OBS: 59511.54 i NULL  -342.928 545.149 nan -1.726 0x00
OBS: 59527.50 i NULL  -39.004 72.756 nan -2.025 0x00
OBS: 59091.62 z NULL  259.000 155.547 21.467 0.652 0x00
OBS: 59097.63 z NULL  354.615 108.496 21.126 0.332 0x00
OBS: 59101.63 z NULL  329.779 84.606 21.204 0.279 0x00
OBS: 59118.56 z NULL  376.488 142.412 21.061 0.411 0x00
OBS: 59125.55 z NULL  367.491 123.354 21.087 0.364 0x00
OBS: 59153.44 z NULL  143.952 119.696 22.104 0.903 0x00
OBS: 59161.45 z NULL  140.336 116.698 22.132 0.903 0x00
OBS: 59189.37 z NULL  25.215 94.983 23.996 4.090 0x00
OBS: 59480.58 z NULL  31.571 101.006 23.752 3.474 0x00
OBS: 59505.53 z NULL  24.193 144.288 24.041 6.475 0x00
OBS: 59515.54 z NULL  -26.419 165.802 nan -6.814 0x01
END:
