SURVEY:  PS1MD
SNID:  2020ytg
otherID: 
IAUC:    UNKNOWN
RA:        312.0416500  deg
DECL:       -1.2111440  deg
MWEBV:    0.061 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ytg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0020
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.307 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 177
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.56 g NULL  -31.320 71.001 nan -2.461 0x00
OBS: 59017.51 g NULL  -32.646 42.549 nan -1.415 0x00
OBS: 59021.54 g NULL  33.177 63.844 23.698 2.089 0x01
OBS: 59022.53 g NULL  19.582 44.213 24.270 2.451 0x00
OBS: 59027.51 g NULL  0.612 74.817 28.033 132.731 0x01
OBS: 59029.45 g NULL  -43.965 63.792 nan -1.575 0x01
OBS: 59046.52 g NULL  3.104 236.480 26.270 82.717 0x00
OBS: 59049.47 g NULL  -5.876 115.032 nan -21.255 0x00
OBS: 59050.49 g NULL  -33.442 69.753 nan -2.265 0x00
OBS: 59055.44 g NULL  54.403 56.046 23.161 1.119 0x00
OBS: 59072.28 g NULL  147.238 78.403 22.080 0.578 0x00
OBS: 59075.36 g NULL  -2.555 33.385 nan -14.187 0x00
OBS: 59078.40 g NULL  94.808 47.835 22.558 0.548 0x00
OBS: 59082.42 g NULL  167.569 108.225 21.940 0.701 0x09
OBS: 59083.40 g NULL  12.659 59.927 24.744 5.140 0x00
OBS: 59104.29 g NULL  92.604 54.195 22.583 0.635 0x00
OBS: 59108.25 g NULL  -18.202 82.197 nan -4.903 0x00
OBS: 59110.30 g NULL  40.575 69.753 23.479 1.867 0x00
OBS: 59114.31 g NULL  62.474 64.088 23.011 1.114 0x00
OBS: 59137.23 g NULL  69.589 54.640 22.894 0.853 0x00
OBS: 59139.23 g NULL  7.285 58.999 25.344 8.793 0x00
OBS: 59143.26 g NULL  -48.824 106.354 nan -2.365 0x00
OBS: 59163.25 g NULL  2366.636 109.880 19.065 0.050 0x00
OBS: 59167.21 g NULL  2615.999 113.410 18.956 0.047 0x00
OBS: 59319.62 g NULL  171.289 79.441 21.916 0.504 0x01
OBS: 59323.60 g NULL  31.322 81.235 23.760 2.816 0x01
OBS: 59342.60 g NULL  14.529 47.329 24.594 3.537 0x00
OBS: 59348.60 g NULL  25.178 95.213 23.997 4.106 0x00
OBS: 59351.59 g NULL  0.931 89.921 27.578 104.866 0x00
OBS: 59369.54 g NULL  358.978 153.109 21.112 0.463 0x00
OBS: 59370.57 g NULL  -128.440 82.160 nan -0.695 0x00
OBS: 59373.59 g NULL  27.184 43.506 23.914 1.738 0x00
OBS: 59376.54 g NULL  58.644 45.440 23.079 0.841 0x00
OBS: 59379.50 g NULL  37.797 61.338 23.556 1.762 0x00
OBS: 59381.57 g NULL  -1.023 52.672 nan -55.902 0x00
OBS: 59396.61 g NULL  -137.894 119.178 nan -0.938 0x00
OBS: 59402.46 g NULL  -41.401 39.862 nan -1.045 0x00
OBS: 59403.46 g NULL  55.849 61.042 23.132 1.187 0x00
OBS: 59404.51 g NULL  -19.700 61.742 nan -3.403 0x01
OBS: 59405.46 g NULL  -28.648 61.903 nan -2.346 0x00
OBS: 59409.44 g NULL  -57.089 123.197 nan -2.343 0x00
OBS: 59411.54 g NULL  40.705 51.808 23.476 1.382 0x00
OBS: 59413.44 g NULL  163.459 94.798 21.966 0.630 0x00
OBS: 59426.39 g NULL  132.390 59.069 22.195 0.484 0x00
OBS: 59429.41 g NULL  -50.331 74.809 nan -1.614 0x00
OBS: 59432.44 g NULL  -3.824 62.534 nan -17.755 0x00
OBS: 59436.33 g NULL  -91.910 67.768 nan -0.801 0x00
OBS: 59439.41 g NULL  85.343 100.066 22.672 1.273 0x00
OBS: 59441.43 g NULL  13.145 71.782 24.703 5.929 0x00
OBS: 59443.44 g NULL  -3.181 84.325 nan -28.782 0x00
OBS: 59456.47 g NULL  142.923 69.732 22.112 0.530 0x00
OBS: 59466.33 g NULL  -35.079 49.869 nan -1.544 0x00
OBS: 59468.29 g NULL  -141.604 61.240 nan -0.470 0x00
OBS: 59469.28 g NULL  40.945 99.826 23.469 2.647 0x00
OBS: 59485.28 g NULL  47.666 74.408 23.304 1.695 0x00
OBS: 59494.22 g NULL  -56.224 121.390 nan -2.344 0x00
OBS: 59516.21 g NULL  6.006 63.796 25.554 11.533 0x00
OBS: 59524.35 g NULL  11.909 129.339 24.810 11.792 0x00
OBS: 59005.55 r NULL  17.458 88.884 24.395 5.528 0x00
OBS: 59017.51 r NULL  0.635 40.088 27.993 68.543 0x00
OBS: 59022.53 r NULL  -22.352 40.908 nan -1.987 0x00
OBS: 59030.49 r NULL  34.259 45.483 23.663 1.441 0x00
OBS: 59033.53 r NULL  -4.087 96.587 nan -25.659 0x00
OBS: 59041.55 r NULL  13.190 46.193 24.699 3.802 0x00
OBS: 59046.52 r NULL  -3.963 275.863 nan -75.578 0x00
OBS: 59050.48 r NULL  3.705 64.867 26.078 19.009 0x00
OBS: 59055.44 r NULL  -4.696 35.381 nan -8.180 0x00
OBS: 59060.49 r NULL  -42.026 75.287 nan -1.945 0x00
OBS: 59068.40 r NULL  -2.151 65.655 nan -33.140 0x00
OBS: 59082.43 r NULL  59.906 88.867 23.056 1.611 0x01
OBS: 59095.42 r NULL  -1.174 99.581 nan -92.094 0x00
OBS: 59097.41 r NULL  -70.331 71.233 nan -1.100 0x00
OBS: 59099.42 r NULL  5.489 81.631 25.651 16.147 0x00
OBS: 59100.33 r NULL  -57.967 65.549 nan -1.228 0x00
OBS: 59108.26 r NULL  43.923 68.001 23.393 1.681 0x00
OBS: 59114.31 r NULL  106.379 127.244 22.433 1.299 0x00
