SURVEY:  PS1MD
SNID:  2020yyc
otherID: 
IAUC:    UNKNOWN
RA:        58.8405030  deg
DECL:       -9.1315340  deg
MWEBV:    0.050 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020yyc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0099
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.433 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 48
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59105.61 g NULL  28.428 71.390 23.866 2.727 0x09
OBS: 59110.60 g NULL  21.773 58.053 24.155 2.895 0x00
OBS: 59142.55 g NULL  412.209 47.705 20.962 0.126 0x00
OBS: 59146.53 g NULL  322.785 230.520 21.228 0.775 0x00
OBS: 59167.47 g NULL  53.756 70.567 23.174 1.425 0x00
OBS: 59172.45 g NULL  123.785 58.903 22.268 0.517 0x00
OBS: 59190.41 g NULL  -93.829 55.529 nan -0.643 0x00
OBS: 59192.42 g NULL  23.956 42.379 24.051 1.921 0x00
OBS: 59220.32 g NULL  12.501 42.842 24.758 3.721 0x00
OBS: 59225.33 g NULL  144.341 62.578 22.102 0.471 0x00
OBS: 59229.29 g NULL  54.486 73.376 23.159 1.462 0x00
OBS: 59254.24 g NULL  20.592 67.658 24.216 3.567 0x00
OBS: 59486.60 g NULL  77.947 94.001 22.771 1.309 0x00
OBS: 59518.56 g NULL  -127.153 56.367 nan -0.481 0x00
OBS: 59105.61 r NULL  -7.884 55.824 nan -7.688 0x00
OBS: 59110.60 r NULL  -17.487 59.835 nan -3.715 0x01
OBS: 59119.61 r NULL  -67.874 78.812 nan -1.261 0x00
OBS: 59123.57 r NULL  -181.017 91.849 nan -0.551 0x00
OBS: 59130.55 r NULL  78.290 60.515 22.766 0.839 0x00
OBS: 59142.54 r NULL  334.699 53.343 21.188 0.173 0x00
OBS: 59158.49 r NULL  398.613 68.615 20.999 0.187 0x00
OBS: 59167.46 r NULL  175.165 77.084 21.891 0.478 0x00
OBS: 59185.40 r NULL  176.688 85.677 21.882 0.526 0x00
OBS: 59213.28 r NULL  -300.110 139.527 nan -0.505 0x00
OBS: 59217.32 r NULL  25.427 54.994 23.987 2.348 0x00
OBS: 59229.29 r NULL  -31.377 61.158 nan -2.116 0x00
OBS: 59245.26 r NULL  11.049 50.421 24.892 4.955 0x00
OBS: 59254.24 r NULL  -88.079 67.867 nan -0.837 0x00
OBS: 59269.27 r NULL  151.033 141.131 22.052 1.015 0x00
OBS: 59504.60 r NULL  -101.068 87.742 nan -0.943 0x00
OBS: 59505.52 r NULL  7.138 125.038 25.366 19.019 0x00
OBS: 59513.48 r NULL  113.839 68.542 22.359 0.654 0x00
OBS: 59524.49 r NULL  68.973 177.836 22.903 2.799 0x09
OBS: 59119.61 i NULL  57.688 84.255 23.097 1.586 0x00
OBS: 59123.58 i NULL  -174.004 92.821 nan -0.579 0x00
OBS: 59172.46 i NULL  192.812 63.682 21.787 0.359 0x00
OBS: 59190.42 i NULL  18.140 52.787 24.353 3.159 0x00
OBS: 59217.33 i NULL  38.120 52.122 23.547 1.485 0x00
OBS: 59220.33 i NULL  -20.774 52.036 nan -2.720 0x00
OBS: 59225.33 i NULL  -79.500 75.468 nan -1.031 0x00
OBS: 59245.26 i NULL  0.716 56.731 27.863 86.026 0x00
OBS: 59504.59 i NULL  -205.110 113.383 nan -0.600 0x01
OBS: 59518.56 i NULL  -77.958 56.257 nan -0.784 0x00
OBS: 59130.55 z NULL  49.625 91.705 23.261 2.006 0x00
OBS: 59146.53 z NULL  -187.905 342.028 nan -1.976 0x00
OBS: 59158.49 z NULL  302.074 117.420 21.300 0.422 0x00
OBS: 59185.41 z NULL  101.871 109.296 22.480 1.165 0x00
OBS: 59192.42 z NULL  116.203 91.172 22.337 0.852 0x00
OBS: 59213.29 z NULL  -376.240 165.936 nan -0.479 0x00
OBS: 59269.27 z NULL  -37.964 188.812 nan -5.400 0x00
OBS: 59486.60 z NULL  -24.124 128.060 nan -5.764 0x00
OBS: 59505.52 z NULL  70.289 137.465 22.883 2.123 0x00
OBS: 59513.48 z NULL  -221.398 100.815 nan -0.494 0x01
END:
