SURVEY:  PS1MD
SNID:  2020yza
otherID: 
IAUC:    UNKNOWN
RA:        160.3965400  deg
DECL:       -3.4415000  deg
MWEBV:    0.051 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020yza.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0037
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.296 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 76
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.62 g NULL  37.645 61.343 23.561 1.769 0x00
OBS: 58847.55 g NULL  -91.841 76.384 nan -0.903 0x01
OBS: 58850.55 g NULL  79.271 55.756 22.752 0.764 0x00
OBS: 58865.49 g NULL  72.422 82.613 22.850 1.239 0x00
OBS: 58869.48 g NULL  234.939 47.768 21.573 0.221 0x00
OBS: 58871.58 g NULL  49.678 57.307 23.260 1.252 0x00
OBS: 58878.49 g NULL  -449.013 193.605 nan -0.468 0x00
OBS: 58932.35 g NULL  175.634 78.161 21.888 0.483 0x00
OBS: 58937.41 g NULL  112.526 138.392 22.372 1.335 0x01
OBS: 58957.38 g NULL  94.598 199.526 22.560 2.290 0x00
OBS: 58961.26 g NULL  59.206 46.048 23.069 0.844 0x00
OBS: 58965.27 g NULL  54.124 93.370 23.167 1.873 0x00
OBS: 58984.27 g NULL  189.870 56.392 21.804 0.322 0x00
OBS: 58987.27 g NULL  97.120 85.875 22.532 0.960 0x00
OBS: 59205.58 g NULL  381.139 64.490 21.047 0.184 0x01
OBS: 59226.56 g NULL  330.232 49.402 21.203 0.162 0x00
OBS: 59230.61 g NULL  504.586 102.197 20.743 0.220 0x00
OBS: 59235.53 g NULL  93.000 130.717 22.579 1.526 0x00
OBS: 59253.51 g NULL  200.641 81.516 21.744 0.441 0x00
OBS: 59255.52 g NULL  400.495 85.213 20.994 0.231 0x00
OBS: 59278.47 g NULL  319.941 134.784 21.237 0.457 0x00
OBS: 59291.36 g NULL  250.089 124.869 21.505 0.542 0x00
OBS: 59314.30 g NULL  316.288 102.798 21.250 0.353 0x00
OBS: 59317.32 g NULL  160.884 100.747 21.984 0.680 0x00
OBS: 59322.25 g NULL  156.900 70.424 22.011 0.487 0x00
OBS: 59342.28 g NULL  9.490 66.993 25.057 7.665 0x00
OBS: 59345.28 g NULL  135.617 78.823 22.169 0.631 0x00
OBS: 58869.48 r NULL  600.235 63.928 20.554 0.116 0x00
OBS: 58932.35 r NULL  1.771 72.595 26.879 44.505 0x00
OBS: 58937.41 r NULL  80.884 123.452 22.730 1.657 0x00
OBS: 58947.33 r NULL  1.846 221.655 26.834 130.368 0x00
OBS: 58961.26 r NULL  110.804 47.252 22.389 0.463 0x00
OBS: 58981.27 r NULL  224.359 80.167 21.623 0.388 0x00
OBS: 58987.27 r NULL  -16.095 63.572 nan -4.288 0x00
OBS: 59004.28 r NULL  -72.361 149.620 nan -2.245 0x00
OBS: 59008.27 r NULL  128.490 69.024 22.228 0.583 0x00
OBS: 59010.28 r NULL  -96.950 74.021 nan -0.829 0x00
OBS: 59208.55 r NULL  798.281 64.408 20.245 0.088 0x00
OBS: 59214.62 r NULL  671.117 141.898 20.433 0.230 0x00
OBS: 59230.61 r NULL  409.017 94.442 20.971 0.251 0x00
OBS: 59242.53 r NULL  512.360 227.774 20.726 0.483 0x01
OBS: 59255.52 r NULL  244.366 81.373 21.530 0.362 0x00
OBS: 59267.46 r NULL  152.581 110.324 22.041 0.785 0x00
OBS: 59291.36 r NULL  128.178 110.018 22.230 0.932 0x00
OBS: 59303.36 r NULL  -145.486 175.120 nan -1.307 0x00
OBS: 59304.30 r NULL  16.930 109.367 24.428 7.014 0x00
OBS: 59313.36 r NULL  50.380 62.711 23.244 1.351 0x00
OBS: 59317.32 r NULL  463.302 101.966 20.835 0.239 0x00
OBS: 59322.26 r NULL  94.532 80.694 22.561 0.927 0x00
OBS: 59331.29 r NULL  -270.371 267.316 nan -1.073 0x00
OBS: 59332.28 r NULL  756.285 1219.168 20.303 1.750 0x00
OBS: 59335.28 r NULL  -151.422 77.059 nan -0.553 0x00
OBS: 59345.28 r NULL  226.932 89.694 21.610 0.429 0x00
OBS: 58841.62 i NULL  110.295 78.014 22.394 0.768 0x00
OBS: 58850.56 i NULL  147.612 78.999 22.077 0.581 0x00
OBS: 58871.57 i NULL  -35.864 80.992 nan -2.452 0x00
OBS: 58878.48 i NULL  -120.374 218.291 nan -1.969 0x00
OBS: 58947.33 i NULL  32.008 241.738 23.737 8.200 0x00
OBS: 58957.38 i NULL  68.449 190.946 22.912 3.029 0x00
OBS: 58965.27 i NULL  -92.680 207.106 nan -2.426 0x00
OBS: 58981.27 i NULL  120.770 93.281 22.295 0.839 0x00
OBS: 58984.27 i NULL  124.077 72.758 22.266 0.637 0x00
OBS: 59010.28 i NULL  31.194 106.971 23.765 3.723 0x00
OBS: 59226.56 i NULL  621.330 64.262 20.517 0.112 0x00
OBS: 59235.53 i NULL  383.798 132.152 21.040 0.374 0x00
OBS: 59253.51 i NULL  303.746 124.132 21.294 0.444 0x00
OBS: 59294.36 i NULL  -172.541 189.027 nan -1.189 0x00
OBS: 59304.30 i NULL  -293.857 113.437 nan -0.419 0x00
OBS: 59314.30 i NULL  170.937 200.430 21.918 1.273 0x00
OBS: 59333.25 i NULL  245.656 104.373 21.524 0.461 0x01
OBS: 59342.27 i NULL  219.383 95.555 21.647 0.473 0x00
OBS: 58865.49 z NULL  -26.456 112.737 nan -4.627 0x00
OBS: 59004.29 z NULL  174.612 192.737 21.895 1.198 0x00
