SURVEY:  PS1MD
SNID:  2020zaj
otherID: 
IAUC:    UNKNOWN
RA:        309.6757750  deg
DECL:       -1.2174580  deg
MWEBV:    0.095 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zaj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0517
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.471 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 76
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59017.51 g NULL  30.855 48.903 23.777 1.721 0x00
OBS: 59027.51 g NULL  105.643 74.905 22.440 0.770 0x00
OBS: 59049.47 g NULL  -73.915 86.519 nan -1.271 0x00
OBS: 59055.44 g NULL  -96.818 71.282 nan -0.799 0x01
OBS: 59078.40 g NULL  93.960 55.808 22.568 0.645 0x01
OBS: 59108.25 g NULL  -40.975 75.445 nan -1.999 0x00
OBS: 59114.31 g NULL  -115.604 79.968 nan -0.751 0x00
OBS: 59132.23 g NULL  32.151 110.405 23.732 3.728 0x00
OBS: 59345.60 g NULL  -6.933 61.903 nan -9.694 0x00
OBS: 59348.60 g NULL  -26.729 116.008 nan -4.712 0x00
OBS: 59351.59 g NULL  8.919 60.583 25.124 7.375 0x00
OBS: 59369.54 g NULL  -241.603 269.090 nan -1.209 0x01
OBS: 59370.57 g NULL  -11.165 71.397 nan -6.943 0x00
OBS: 59379.50 g NULL  32.735 71.961 23.712 2.387 0x00
OBS: 59396.61 g NULL  -55.737 119.592 nan -2.330 0x00
OBS: 59402.46 g NULL  53.045 56.718 23.188 1.161 0x00
OBS: 59403.46 g NULL  -41.354 115.465 nan -3.031 0x09
OBS: 59404.51 g NULL  -115.525 52.895 nan -0.497 0x00
OBS: 59405.46 g NULL  -20.844 52.565 nan -2.738 0x00
OBS: 59413.44 g NULL  -62.506 84.574 nan -1.469 0x00
OBS: 59426.39 g NULL  94.554 47.010 22.561 0.540 0x00
OBS: 59429.41 g NULL  11.638 81.929 24.835 7.643 0x00
OBS: 59432.44 g NULL  47.595 95.411 23.306 2.177 0x00
OBS: 59436.33 g NULL  -13.975 62.497 nan -4.855 0x00
OBS: 59017.51 r NULL  -109.610 42.402 nan -0.420 0x00
OBS: 59022.53 r NULL  -119.339 58.302 nan -0.530 0x01
OBS: 59030.49 r NULL  26.745 55.286 23.932 2.244 0x00
OBS: 59033.53 r NULL  -49.638 86.860 nan -1.900 0x00
OBS: 59055.44 r NULL  17.310 56.770 24.404 3.561 0x01
OBS: 59068.40 r NULL  104.330 89.209 22.454 0.928 0x00
OBS: 59069.36 r NULL  41.821 52.960 23.447 1.375 0x00
OBS: 59078.39 r NULL  11.180 54.933 24.879 5.335 0x01
OBS: 59100.33 r NULL  45.293 65.210 23.360 1.563 0x00
OBS: 59108.26 r NULL  91.803 72.172 22.593 0.854 0x00
OBS: 59114.31 r NULL  -32.979 92.375 nan -3.041 0x00
OBS: 59127.23 r NULL  28.519 109.467 23.862 4.167 0x00
OBS: 59155.21 r NULL  1074.425 167.762 19.922 0.170 0x00
OBS: 59327.57 r NULL  -47.545 101.078 nan -2.308 0x00
OBS: 59348.61 r NULL  -67.170 105.968 nan -1.713 0x00
OBS: 59357.58 r NULL  43.670 47.322 23.400 1.177 0x00
OBS: 59385.51 r NULL  26.906 79.907 23.925 3.224 0x00
OBS: 59403.46 r NULL  136.357 65.798 22.163 0.524 0x00
OBS: 59405.46 r NULL  70.146 57.418 22.885 0.889 0x00
OBS: 59415.42 r NULL  14.819 79.533 24.573 5.827 0x00
OBS: 59429.41 r NULL  80.904 119.275 22.730 1.601 0x09
OBS: 59436.33 r NULL  115.807 68.235 22.341 0.640 0x00
OBS: 59451.32 r NULL  55.432 107.529 23.141 2.106 0x00
OBS: 59480.37 r NULL  -171.466 83.822 nan -0.531 0x00
OBS: 59483.38 r NULL  -6.443 96.787 nan -16.310 0x00
OBS: 59507.28 r NULL  49.995 83.380 23.253 1.811 0x00
OBS: 59510.25 r NULL  72.399 77.535 22.851 1.163 0x00
OBS: 59511.27 r NULL  -18.467 78.182 nan -4.597 0x00
OBS: 59033.53 i NULL  66.045 116.314 22.950 1.912 0x00
OBS: 59049.48 i NULL  142.287 96.345 22.117 0.735 0x00
OBS: 59129.23 i NULL  -112.920 109.610 nan -1.054 0x00
OBS: 59327.57 i NULL  -33.840 98.669 nan -3.166 0x00
OBS: 59345.61 i NULL  125.610 68.433 22.252 0.592 0x00
OBS: 59351.59 i NULL  117.423 74.726 22.326 0.691 0x00
OBS: 59358.59 i NULL  71.252 110.188 22.868 1.679 0x01
OBS: 59379.50 i NULL  24.466 70.090 24.029 3.110 0x00
OBS: 59396.60 i NULL  62.480 95.055 23.011 1.652 0x00
OBS: 59402.46 i NULL  49.939 70.065 23.254 1.523 0x00
OBS: 59404.50 i NULL  143.537 68.998 22.108 0.522 0x00
OBS: 59409.43 i NULL  448.552 196.963 20.870 0.477 0x00
OBS: 59413.44 i NULL  -119.753 96.072 nan -0.871 0x00
OBS: 59415.42 i NULL  -22.389 95.953 nan -4.653 0x00
OBS: 59432.44 i NULL  -21.746 64.381 nan -3.214 0x00
OBS: 59451.31 i NULL  51.393 108.930 23.223 2.301 0x00
OBS: 59480.36 i NULL  -19.876 89.120 nan -4.868 0x00
OBS: 59483.39 i NULL  -146.021 119.923 nan -0.892 0x00
OBS: 59510.25 i NULL  -62.319 101.254 nan -1.764 0x00
OBS: 59027.52 z NULL  -54.642 100.958 nan -2.006 0x00
OBS: 59030.49 z NULL  -208.355 98.942 nan -0.516 0x00
OBS: 59068.41 z NULL  -139.977 90.526 nan -0.702 0x00
OBS: 59069.36 z NULL  -34.608 120.798 nan -3.790 0x00
OBS: 59100.34 z NULL  -83.922 158.161 nan -2.046 0x01
OBS: 59127.23 z NULL  -17.039 194.962 nan -12.423 0x00
OBS: 59132.23 z NULL  -47.861 172.954 nan -3.923 0x00
OBS: 59155.21 z NULL  795.115 153.781 20.249 0.210 0x00
OBS: 59357.59 z NULL  -174.665 105.570 nan -0.656 0x00
OBS: 59369.53 z NULL  -467.828 300.170 nan -0.697 0x01
OBS: 59370.56 z NULL  -116.321 96.988 nan -0.905 0x00
OBS: 59385.50 z NULL  -113.640 116.744 nan -1.115 0x00
OBS: 59426.39 z NULL  -13.953 106.430 nan -8.282 0x00
OBS: 59481.40 z NULL  596.405 288.168 20.561 0.525 0x00
OBS: 59507.28 z NULL  -163.985 123.996 nan -0.821 0x00
OBS: 59511.27 z NULL  -13.476 139.902 nan -11.272 0x00
END:
