SURVEY:  PS1MD
SNID:  2020zjo
otherID: 
IAUC:    UNKNOWN
RA:        109.9734880  deg
DECL:       37.5580720  deg
MWEBV:    0.058 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zjo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.974 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 34
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59135.63 g NULL  -196.345 213.464 nan -1.180 0x00
OBS: 59139.63 g NULL  1535.981 1940.975 19.534 1.372 0x00
OBS: 59141.59 g NULL  42.665 46.771 23.425 1.190 0x01
OBS: 59145.60 g NULL  -8.531 43.011 nan -5.474 0x00
OBS: 59175.59 g NULL  2888.606 102.665 18.848 0.039 0x00
OBS: 59193.64 g NULL  1222.652 58.551 19.782 0.052 0x00
OBS: 59220.44 g NULL  237.767 35.281 21.560 0.161 0x00
OBS: 59226.45 g NULL  160.165 52.906 21.989 0.359 0x00
OBS: 59252.36 g NULL  188.356 56.634 21.813 0.326 0x00
OBS: 59257.45 g NULL  128.869 52.689 22.225 0.444 0x00
OBS: 59262.34 g NULL  143.113 54.624 22.111 0.414 0x00
OBS: 59526.62 g NULL  28.995 38.979 23.844 1.460 0x00
OBS: 59531.56 g NULL  379.892 287.090 21.051 0.821 0x01
OBS: 59135.63 r NULL  -558.001 292.477 nan -0.569 0x00
OBS: 59141.59 r NULL  65.570 49.780 22.958 0.824 0x01
OBS: 59154.60 r NULL  -19.533 112.700 nan -6.264 0x00
OBS: 59181.64 r NULL  2430.996 265.675 19.036 0.119 0x00
OBS: 59193.64 r NULL  1629.797 59.060 19.470 0.039 0x00
OBS: 59208.53 r NULL  940.306 60.288 20.067 0.070 0x00
OBS: 59217.49 r NULL  457.160 101.997 20.850 0.242 0x00
OBS: 59226.45 r NULL  499.465 72.680 20.754 0.158 0x01
OBS: 59237.40 r NULL  292.190 86.115 21.336 0.320 0x09
OBS: 59244.50 r NULL  -293.196 311.829 nan -1.155 0x01
OBS: 59245.53 r NULL  237.538 122.107 21.561 0.558 0x00
OBS: 59262.34 r NULL  146.060 49.529 22.089 0.368 0x00
OBS: 59526.61 r NULL  -103.394 46.488 nan -0.488 0x00
OBS: 59139.62 i NULL  769.024 2002.369 20.285 2.827 0x00
OBS: 59147.62 i NULL  -63.803 54.621 nan -0.929 0x01
OBS: 59175.59 i NULL  1974.462 83.935 19.261 0.046 0x00
OBS: 59206.48 i NULL  1086.887 64.055 19.910 0.064 0x00
OBS: 59217.49 i NULL  689.967 96.309 20.403 0.152 0x00
OBS: 59220.44 i NULL  516.211 50.255 20.718 0.106 0x00
OBS: 59245.52 i NULL  -148.110 115.316 nan -0.845 0x00
OBS: 59257.45 i NULL  189.092 44.722 21.808 0.257 0x00
OBS: 59531.57 i NULL  -385.192 153.790 nan -0.433 0x00
OBS: 59145.61 z NULL  -51.617 64.906 nan -1.365 0x00
OBS: 59154.60 z NULL  -232.166 136.213 nan -0.637 0x00
OBS: 59181.65 z NULL  1249.275 222.385 19.758 0.193 0x00
OBS: 59208.53 z NULL  870.065 115.602 20.151 0.144 0x00
OBS: 59219.42 z NULL  451.231 83.477 20.864 0.201 0x01
OBS: 59244.49 z NULL  -105.862 281.326 nan -2.885 0x00
OBS: 59246.35 z NULL  265.805 127.119 21.439 0.519 0x00
END:
