SURVEY:  PS1MD
SNID:  2020zmi
otherID: 
IAUC:    UNKNOWN
RA:        315.0458750  deg
DECL:       -4.0670110  deg
MWEBV:    0.075 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zmi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.996 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 152
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.56 g NULL  -25.340 69.977 nan -2.998 0x00
OBS: 59017.51 g NULL  -82.168 57.293 nan -0.757 0x09
OBS: 59027.51 g NULL  -39.296 43.171 nan -1.193 0x00
OBS: 59029.45 g NULL  34.218 47.658 23.664 1.512 0x00
OBS: 59046.52 g NULL  110.587 187.402 22.391 1.840 0x00
OBS: 59050.49 g NULL  0.141 72.286 29.627 556.621 0x00
OBS: 59072.28 g NULL  45.433 72.806 23.357 1.740 0x00
OBS: 59075.36 g NULL  -1.081 28.020 nan -28.143 0x00
OBS: 59078.40 g NULL  51.692 52.814 23.216 1.109 0x00
OBS: 59083.40 g NULL  21.730 58.970 24.157 2.946 0x00
OBS: 59104.30 g NULL  -20.678 48.737 nan -2.559 0x00
OBS: 59108.25 g NULL  31.646 56.163 23.749 1.927 0x00
OBS: 59110.30 g NULL  64.733 67.178 22.972 1.127 0x00
OBS: 59114.31 g NULL  -152.876 74.737 nan -0.531 0x00
OBS: 59132.23 g NULL  -39.440 57.423 nan -1.581 0x00
OBS: 59137.23 g NULL  -50.123 35.017 nan -0.759 0x00
OBS: 59143.26 g NULL  180.981 102.867 21.856 0.617 0x00
OBS: 59167.21 g NULL  7340.104 140.915 17.836 0.021 0x00
OBS: 59319.62 g NULL  1658.646 82.513 19.451 0.054 0x00
OBS: 59323.60 g NULL  1552.383 72.650 19.523 0.051 0x00
OBS: 59342.60 g NULL  1213.686 57.350 19.790 0.051 0x00
OBS: 59345.60 g NULL  1236.389 69.720 19.770 0.061 0x00
OBS: 59351.59 g NULL  1174.108 95.335 19.826 0.088 0x00
OBS: 59369.54 g NULL  895.681 111.870 20.120 0.136 0x00
OBS: 59370.57 g NULL  994.565 59.051 20.006 0.064 0x01
OBS: 59373.59 g NULL  779.781 37.698 20.270 0.052 0x00
OBS: 59376.54 g NULL  891.059 54.386 20.125 0.066 0x00
OBS: 59381.57 g NULL  815.866 49.460 20.221 0.066 0x00
OBS: 59409.44 g NULL  745.749 100.035 20.319 0.146 0x00
OBS: 59411.54 g NULL  543.253 40.374 20.662 0.081 0x00
OBS: 59429.41 g NULL  577.566 62.148 20.596 0.117 0x00
OBS: 59432.45 g NULL  362.865 81.220 21.101 0.243 0x01
OBS: 59443.44 g NULL  365.090 91.188 21.094 0.271 0x00
OBS: 59456.47 g NULL  314.587 74.518 21.256 0.257 0x00
OBS: 59466.33 g NULL  381.995 64.641 21.045 0.184 0x09
OBS: 59468.29 g NULL  204.804 76.296 21.722 0.404 0x00
OBS: 59469.28 g NULL  229.842 79.135 21.596 0.374 0x01
OBS: 59485.28 g NULL  240.645 43.650 21.547 0.197 0x00
OBS: 59488.27 g NULL  252.191 64.885 21.496 0.279 0x00
OBS: 59494.22 g NULL  356.893 82.960 21.119 0.252 0x00
OBS: 59516.21 g NULL  90.624 52.794 22.607 0.633 0x00
OBS: 59518.21 g NULL  90.692 44.186 22.606 0.529 0x00
OBS: 59524.35 g NULL  94.375 116.897 22.563 1.345 0x00
OBS: 59005.55 r NULL  -26.751 88.082 nan -3.575 0x00
OBS: 59017.51 r NULL  28.567 43.991 23.860 1.672 0x00
OBS: 59022.53 r NULL  134.123 44.974 22.181 0.364 0x01
OBS: 59030.49 r NULL  4.508 43.992 25.865 10.595 0x00
OBS: 59033.53 r NULL  -92.059 82.294 nan -0.971 0x00
OBS: 59041.55 r NULL  -19.801 47.601 nan -2.610 0x01
OBS: 59046.52 r NULL  363.536 281.718 21.099 0.841 0x00
OBS: 59050.49 r NULL  0.203 60.234 29.231 322.159 0x00
OBS: 59060.49 r NULL  -38.315 53.648 nan -1.520 0x01
OBS: 59068.40 r NULL  -42.876 91.771 nan -2.324 0x00
OBS: 59078.40 r NULL  -35.765 30.587 nan -0.929 0x00
OBS: 59097.41 r NULL  -66.883 70.623 nan -1.146 0x00
OBS: 59099.42 r NULL  -187.171 79.733 nan -0.463 0x00
OBS: 59100.33 r NULL  25.269 45.547 23.994 1.957 0x00
OBS: 59108.26 r NULL  12.466 62.852 24.761 5.474 0x00
OBS: 59114.31 r NULL  1.507 81.075 27.055 58.411 0x01
OBS: 59123.21 r NULL  -82.631 138.788 nan -1.824 0x00
OBS: 59126.35 r NULL  22.166 90.891 24.136 4.452 0x00
OBS: 59129.23 r NULL  7.065 28.543 25.377 4.386 0x00
OBS: 59155.21 r NULL  39.362 90.760 23.512 2.503 0x00
OBS: 59159.24 r NULL  267.940 160.250 21.430 0.649 0x00
OBS: 59181.24 r NULL  57186.866 254.962 15.607 0.005 0x00
OBS: 59184.20 r NULL  61166.221 302.772 15.534 0.005 0x00
OBS: 59319.62 r NULL  1362.503 87.393 19.664 0.070 0x00
OBS: 59327.57 r NULL  1170.691 79.516 19.829 0.074 0x00
OBS: 59328.59 r NULL  1012.228 94.637 19.987 0.102 0x00
OBS: 59329.61 r NULL  858.501 169.834 20.166 0.215 0x00
OBS: 59334.60 r NULL  838.791 106.083 20.191 0.137 0x00
OBS: 59342.60 r NULL  844.792 45.029 20.183 0.058 0x00
OBS: 59356.57 r NULL  455.051 67.942 20.855 0.162 0x01
OBS: 59357.58 r NULL  454.077 43.818 20.857 0.105 0x00
OBS: 59358.58 r NULL  542.199 87.181 20.665 0.175 0x00
OBS: 59359.56 r NULL  355.473 94.399 21.123 0.288 0x00
OBS: 59376.54 r NULL  372.684 47.208 21.072 0.138 0x00
OBS: 59381.57 r NULL  323.583 34.227 21.225 0.115 0x00
OBS: 59385.51 r NULL  276.435 47.056 21.396 0.185 0x00
OBS: 59386.54 r NULL  263.310 34.794 21.449 0.143 0x00
OBS: 59388.58 r NULL  235.771 69.349 21.569 0.319 0x00
OBS: 59415.42 r NULL  69.306 76.429 22.898 1.197 0x00
OBS: 59423.48 r NULL  162.265 68.275 21.974 0.457 0x00
OBS: 59429.41 r NULL  102.327 89.368 22.475 0.948 0x00
OBS: 59453.41 r NULL  102.128 51.834 22.477 0.551 0x00
OBS: 59461.34 r NULL  177.291 113.267 21.878 0.694 0x00
OBS: 59468.29 r NULL  81.651 60.526 22.720 0.805 0x00
OBS: 59480.37 r NULL  9.525 77.561 25.053 8.841 0x00
OBS: 59483.38 r NULL  172.715 74.445 21.907 0.468 0x00
OBS: 59488.28 r NULL  89.895 57.099 22.616 0.690 0x00
OBS: 59492.23 r NULL  51.670 96.047 23.217 2.018 0x00
OBS: 59505.33 r NULL  -265.382 175.269 nan -0.717 0x00
OBS: 59506.29 r NULL  52.425 91.890 23.201 1.903 0x00
OBS: 59507.28 r NULL  89.297 125.487 22.623 1.526 0x09
OBS: 59508.29 r NULL  214.096 101.808 21.673 0.516 0x00
OBS: 59509.26 r NULL  -180.527 171.385 nan -1.031 0x00
OBS: 59510.26 r NULL  78.553 89.525 22.762 1.237 0x01
OBS: 59511.27 r NULL  -88.605 49.005 nan -0.600 0x01
OBS: 59513.21 r NULL  57.834 45.207 23.095 0.849 0x00
OBS: 59518.21 r NULL  6.385 44.649 25.487 7.592 0x00
OBS: 59524.35 r NULL  -21.291 114.191 nan -5.823 0x00
OBS: 59005.55 i NULL  99.233 105.735 22.508 1.157 0x00
OBS: 59013.56 i NULL  120.378 56.789 22.299 0.512 0x00
OBS: 59021.54 i NULL  54.557 71.904 23.158 1.431 0x01
OBS: 59029.45 i NULL  86.539 58.318 22.657 0.732 0x00
OBS: 59033.53 i NULL  -6.450 84.684 nan -14.255 0x00
OBS: 59060.49 i NULL  12.856 67.028 24.727 5.661 0x00
OBS: 59072.29 i NULL  -52.176 75.400 nan -1.569 0x00
OBS: 59075.36 i NULL  43.245 42.084 23.410 1.057 0x00
OBS: 59083.40 i NULL  17.076 59.132 24.419 3.760 0x00
OBS: 59095.42 i NULL  47.900 80.990 23.299 1.836 0x00
OBS: 59099.42 i NULL  17.654 64.252 24.383 3.952 0x00
OBS: 59104.30 i NULL  4.002 47.352 25.994 12.847 0x00
OBS: 59110.30 i NULL  49.688 86.994 23.259 1.901 0x00
OBS: 59126.35 i NULL  -92.050 71.093 nan -0.839 0x00
OBS: 59129.23 i NULL  42.489 72.021 23.429 1.840 0x00
OBS: 59137.23 i NULL  -34.527 58.613 nan -1.843 0x00
OBS: 59143.26 i NULL  129.049 87.059 22.223 0.732 0x00
OBS: 59159.23 i NULL  372.865 386.916 21.071 1.127 0x00
OBS: 59167.21 i NULL  5645.345 138.750 18.121 0.027 0x00
OBS: 59327.57 i NULL  932.484 132.356 20.076 0.154 0x00
OBS: 59329.61 i NULL  645.898 118.755 20.475 0.200 0x00
OBS: 59345.61 i NULL  602.160 92.037 20.551 0.166 0x00
OBS: 59351.59 i NULL  538.105 84.448 20.673 0.170 0x00
OBS: 59356.57 i NULL  424.380 51.806 20.931 0.133 0x00
OBS: 59358.59 i NULL  605.768 95.966 20.544 0.172 0x00
OBS: 59361.58 i NULL  350.006 105.410 21.140 0.327 0x01
OBS: 59373.59 i NULL  441.667 51.236 20.887 0.126 0x00
OBS: 59379.50 i NULL  246.474 114.327 21.521 0.504 0x09
OBS: 59386.54 i NULL  373.595 50.444 21.069 0.147 0x00
OBS: 59409.43 i NULL  208.566 122.106 21.702 0.636 0x00
OBS: 59415.42 i NULL  364.227 87.882 21.097 0.262 0x00
OBS: 59423.49 i NULL  254.589 51.133 21.485 0.218 0x00
OBS: 59432.44 i NULL  63.957 58.904 22.985 1.000 0x01
OBS: 59469.28 i NULL  194.000 72.690 21.780 0.407 0x00
OBS: 59483.39 i NULL  60.759 99.584 23.041 1.780 0x00
OBS: 59494.22 i NULL  144.379 93.946 22.101 0.706 0x00
OBS: 59506.29 i NULL  34.510 95.951 23.655 3.019 0x00
OBS: 59508.29 i NULL  -221.917 103.451 nan -0.506 0x00
OBS: 59510.25 i NULL  164.030 55.346 21.963 0.366 0x00
OBS: 59516.21 i NULL  54.111 80.423 23.167 1.614 0x00
OBS: 59027.52 z NULL  -107.645 109.875 nan -1.108 0x00
OBS: 59030.49 z NULL  -24.475 92.599 nan -4.108 0x00
OBS: 59041.55 z NULL  14.377 113.926 24.606 8.604 0x00
OBS: 59068.41 z NULL  -88.198 129.022 nan -1.588 0x00
OBS: 59097.41 z NULL  151.282 120.575 22.051 0.865 0x01
OBS: 59100.34 z NULL  -82.570 106.561 nan -1.401 0x00
OBS: 59123.21 z NULL  -242.147 171.286 nan -0.768 0x00
OBS: 59132.23 z NULL  178.405 130.797 21.871 0.796 0x00
OBS: 59155.21 z NULL  362.202 166.632 21.103 0.499 0x00
OBS: 59181.24 z NULL  35656.756 303.638 16.120 0.009 0x00
OBS: 59184.20 z NULL  35418.921 249.419 16.127 0.008 0x00
OBS: 59323.61 z NULL  355.224 176.108 21.124 0.538 0x00
OBS: 59328.60 z NULL  579.089 170.709 20.593 0.320 0x01
OBS: 59334.60 z NULL  206.563 274.997 21.712 1.445 0x00
OBS: 59357.59 z NULL  189.335 88.401 21.807 0.507 0x00
OBS: 59359.56 z NULL  409.158 155.785 20.970 0.413 0x00
OBS: 59369.53 z NULL  198.005 323.789 21.758 1.775 0x00
OBS: 59370.56 z NULL  318.150 101.221 21.243 0.345 0x00
OBS: 59385.51 z NULL  190.805 106.869 21.799 0.608 0x00
OBS: 59388.59 z NULL  183.084 84.235 21.843 0.500 0x00
OBS: 59411.54 z NULL  127.983 57.398 22.232 0.487 0x00
OBS: 59443.44 z NULL  4.287 110.703 25.920 28.037 0x00
OBS: 59453.42 z NULL  172.250 78.213 21.910 0.493 0x00
OBS: 59456.47 z NULL  152.417 101.833 22.042 0.725 0x00
OBS: 59481.40 z NULL  512.683 278.880 20.725 0.591 0x00
OBS: 59485.29 z NULL  111.373 71.634 22.383 0.698 0x00
OBS: 59505.33 z NULL  96.624 219.840 22.537 2.470 0x00
OBS: 59507.28 z NULL  124.861 105.279 22.259 0.915 0x00
OBS: 59509.27 z NULL  -241.280 249.358 nan -1.122 0x00
OBS: 59511.27 z NULL  36.657 150.176 23.590 4.448 0x01
OBS: 59513.21 z NULL  134.214 88.822 22.181 0.719 0x00
END:
