SURVEY:  PS1MD
SNID:  2020znv
otherID: 
IAUC:    UNKNOWN
RA:        108.0786610  deg
DECL:       38.4395270  deg
MWEBV:    0.045 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020znv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.239 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 36
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59135.63 g NULL  95.445 146.057 22.551 1.661 0x00
OBS: 59147.61 g NULL  -73.833 49.590 nan -0.729 0x01
OBS: 59165.64 g NULL  8233.079 119.514 17.711 0.016 0x00
OBS: 59170.59 g NULL  5075.267 126.236 18.236 0.027 0x00
OBS: 59175.59 g NULL  3389.301 94.767 18.675 0.030 0x00
OBS: 59193.64 g NULL  103.033 65.782 22.468 0.693 0x00
OBS: 59200.52 g NULL  53.850 47.600 23.172 0.960 0x00
OBS: 59219.42 g NULL  52.782 49.263 23.194 1.013 0x00
OBS: 59230.47 g NULL  109.954 68.679 22.397 0.678 0x00
OBS: 59252.36 g NULL  27.280 51.379 23.910 2.045 0x00
OBS: 59262.34 g NULL  30.077 52.364 23.804 1.890 0x00
OBS: 59526.62 g NULL  -26.389 67.203 nan -2.765 0x00
OBS: 59531.56 g NULL  177.883 205.230 21.875 1.253 0x00
OBS: 59135.63 r NULL  295.044 771.321 21.325 2.838 0x00
OBS: 59154.60 r NULL  84.400 147.989 22.684 1.904 0x00
OBS: 59165.64 r NULL  6761.380 119.940 17.925 0.019 0x00
OBS: 59183.56 r NULL  2004.233 140.045 19.245 0.076 0x00
OBS: 59193.64 r NULL  100.692 57.654 22.493 0.622 0x00
OBS: 59200.51 r NULL  10.249 54.204 24.973 5.742 0x00
OBS: 59208.53 r NULL  81.754 54.643 22.719 0.726 0x00
OBS: 59217.49 r NULL  -105.058 88.065 nan -0.910 0x00
OBS: 59218.52 r NULL  -32.547 55.371 nan -1.847 0x01
OBS: 59237.40 r NULL  -166.802 60.774 nan -0.396 0x00
OBS: 59246.35 r NULL  -67.715 76.105 nan -1.220 0x01
OBS: 59252.36 r NULL  8.818 38.942 25.137 4.795 0x00
OBS: 59262.34 r NULL  62.588 42.298 23.009 0.734 0x00
OBS: 59139.62 i NULL  3375.682 2330.097 18.679 0.749 0x00
OBS: 59147.62 i NULL  4.786 45.577 25.800 10.339 0x00
OBS: 59170.59 i NULL  3559.891 129.528 18.621 0.040 0x00
OBS: 59175.59 i NULL  2547.881 78.530 18.985 0.033 0x00
OBS: 59183.55 i NULL  1540.359 131.623 19.531 0.093 0x00
OBS: 59217.49 i NULL  124.959 93.295 22.258 0.811 0x00
OBS: 59230.48 i NULL  52.889 75.984 23.192 1.560 0x00
OBS: 59237.40 i NULL  61.581 74.376 23.026 1.311 0x00
OBS: 59531.57 i NULL  324.951 240.005 21.220 0.802 0x00
OBS: 59154.60 z NULL  288.595 132.027 21.349 0.497 0x00
OBS: 59208.53 z NULL  -82.756 93.705 nan -1.229 0x00
OBS: 59219.42 z NULL  25.759 72.251 23.973 3.045 0x00
OBS: 59244.49 z NULL  728.781 378.446 20.344 0.564 0x01
OBS: 59246.35 z NULL  -156.545 97.485 nan -0.676 0x00
END:
