SURVEY:  PS1MD
SNID:  2020zpi
otherID: 
IAUC:    UNKNOWN
RA:        40.0851960  deg
DECL:       -1.4469250  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zpi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.457 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 72
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59047.61 g NULL  10.767 72.913 24.920 7.352 0x00
OBS: 59053.61 g NULL  56.622 62.269 23.118 1.194 0x00
OBS: 59058.61 g NULL  47.977 60.545 23.297 1.370 0x00
OBS: 59076.61 g NULL  91.305 88.758 22.599 1.055 0x00
OBS: 59078.59 g NULL  7.661 96.278 25.289 13.645 0x01
OBS: 59102.54 g NULL  2.797 70.399 26.383 27.327 0x00
OBS: 59109.61 g NULL  -9.924 55.740 nan -6.098 0x00
OBS: 59115.62 g NULL  76.705 54.979 22.788 0.778 0x00
OBS: 59131.50 g NULL  166.461 111.607 21.947 0.728 0x00
OBS: 59133.48 g NULL  -0.926 100.020 nan -117.274 0x01
OBS: 59138.45 g NULL  -30.531 76.108 nan -2.707 0x00
OBS: 59140.41 g NULL  -22.498 73.981 nan -3.570 0x01
OBS: 59142.38 g NULL  -104.978 57.838 nan -0.598 0x00
OBS: 59164.47 g NULL  283.049 124.505 21.370 0.478 0x01
OBS: 59191.24 g NULL  8564.071 135.515 17.668 0.017 0x00
OBS: 59193.26 g NULL  7321.276 119.262 17.839 0.018 0x00
OBS: 59199.35 g NULL  4598.785 123.124 18.343 0.029 0x00
OBS: 59462.59 g NULL  -2.351 75.548 nan -34.889 0x00
OBS: 59466.58 g NULL  -42.678 53.502 nan -1.361 0x00
OBS: 59487.50 g NULL  -67.498 88.372 nan -1.422 0x00
OBS: 59500.51 g NULL  15.940 73.173 24.494 4.984 0x00
OBS: 59516.46 g NULL  -118.000 418.441 nan -3.850 0x00
OBS: 59518.43 g NULL  37.758 56.437 23.557 1.623 0x00
OBS: 59524.43 g NULL  207.364 137.330 21.708 0.719 0x09
OBS: 59529.47 g NULL  -91.561 71.092 nan -0.843 0x00
OBS: 58811.36 r NULL  -187.067 75.118 nan -0.436 0x01
OBS: 59062.58 r NULL  14.544 45.560 24.593 3.401 0x00
OBS: 59066.59 r NULL  140.957 147.532 22.127 1.136 0x00
OBS: 59082.60 r NULL  -69.943 68.825 nan -1.068 0x01
OBS: 59090.58 r NULL  -91.110 56.679 nan -0.675 0x00
OBS: 59095.59 r NULL  -2.351 96.670 nan -44.644 0x00
OBS: 59121.52 r NULL  -217.567 98.325 nan -0.491 0x01
OBS: 59129.46 r NULL  84.153 60.740 22.687 0.784 0x00
OBS: 59140.41 r NULL  -8.133 59.969 nan -8.006 0x00
OBS: 59148.42 r NULL  -24.778 106.756 nan -4.678 0x00
OBS: 59157.47 r NULL  -88.848 70.012 nan -0.856 0x00
OBS: 59160.38 r NULL  16.187 92.277 24.477 6.189 0x00
OBS: 59184.31 r NULL  13310.555 143.867 17.190 0.012 0x00
OBS: 59188.34 r NULL  12044.755 119.839 17.298 0.011 0x00
OBS: 59193.26 r NULL  9321.911 90.640 17.576 0.011 0x00
OBS: 59446.60 r NULL  13.383 42.920 24.684 3.482 0x00
OBS: 59448.55 r NULL  53.300 70.869 23.183 1.444 0x00
OBS: 59462.58 r NULL  151.607 81.350 22.048 0.583 0x00
OBS: 59475.57 r NULL  -392.716 412.844 nan -1.141 0x00
OBS: 59484.57 r NULL  -25.414 80.619 nan -3.444 0x00
OBS: 59504.42 r NULL  68.983 95.905 22.903 1.509 0x00
OBS: 59513.48 r NULL  92.259 75.092 22.587 0.884 0x00
OBS: 59524.43 r NULL  34.299 71.343 23.662 2.258 0x01
OBS: 59047.61 i NULL  16.090 53.390 24.484 3.603 0x00
OBS: 59053.61 i NULL  -76.484 60.279 nan -0.856 0x00
OBS: 59062.58 i NULL  -11.433 43.518 nan -4.133 0x00
OBS: 59076.61 i NULL  -14.174 80.428 nan -6.161 0x00
OBS: 59090.58 i NULL  -56.084 56.441 nan -1.093 0x00
OBS: 59109.61 i NULL  19.664 59.281 24.266 3.273 0x01
