SURVEY:  PS1MD
SNID:  2020zqm
otherID: 
IAUC:    UNKNOWN
RA:        23.0617460  deg
DECL:       -15.1334360  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zqm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.885 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 74
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59083.56 g NULL  2.555 86.535 26.482 36.773 0x01
OBS: 59084.59 g NULL  70.711 48.543 22.876 0.745 0x00
OBS: 59102.54 g NULL  -40.791 68.967 nan -1.836 0x00
OBS: 59105.50 g NULL  43.896 50.835 23.394 1.257 0x00
OBS: 59107.45 g NULL  -94.982 52.514 nan -0.600 0x00
OBS: 59110.45 g NULL  -28.101 42.843 nan -1.655 0x00
OBS: 59114.48 g NULL  41.488 52.017 23.455 1.361 0x01
OBS: 59132.42 g NULL  21.108 36.411 24.189 1.873 0x00
OBS: 59143.38 g NULL  178.653 114.622 21.870 0.697 0x00
OBS: 59146.47 g NULL  228.840 49.893 21.601 0.237 0x00
OBS: 59166.40 g NULL  993.051 68.499 20.008 0.075 0x01
OBS: 59170.32 g NULL  1116.969 79.943 19.880 0.078 0x00
OBS: 59191.24 g NULL  336.526 54.232 21.182 0.175 0x00
OBS: 59428.58 g NULL  7.442 92.931 25.321 13.558 0x00
OBS: 59430.61 g NULL  -29.204 52.397 nan -1.948 0x00
OBS: 59434.59 g NULL  102.428 44.248 22.474 0.469 0x00
OBS: 59436.59 g NULL  -57.170 50.221 nan -0.954 0x00
OBS: 59438.62 g NULL  -52.828 52.807 nan -1.085 0x00
OBS: 59440.56 g NULL  -114.260 61.115 nan -0.581 0x00
OBS: 59442.56 g NULL  1.948 40.058 26.776 22.327 0x00
OBS: 59455.60 g NULL  -24.628 88.643 nan -3.908 0x00
OBS: 59458.52 g NULL  21.418 127.808 24.173 6.479 0x00
OBS: 59464.57 g NULL  89.645 81.477 22.619 0.987 0x00
OBS: 59466.55 g NULL  112.646 46.464 22.371 0.448 0x00
OBS: 59468.57 g NULL  122.140 58.012 22.283 0.516 0x01
OBS: 59470.40 g NULL  -70.073 61.415 nan -0.952 0x01
OBS: 59487.50 g NULL  -109.480 50.066 nan -0.497 0x00
OBS: 59493.48 g NULL  -39.834 56.309 nan -1.535 0x00
OBS: 59515.37 g NULL  14.755 54.632 24.578 4.020 0x00
OBS: 59524.38 g NULL  -3.561 56.972 nan -17.371 0x00
OBS: 59083.56 r NULL  27.315 92.793 23.909 3.688 0x09
OBS: 59084.59 r NULL  -126.261 46.460 nan -0.400 0x00
OBS: 59093.49 r NULL  6.628 97.872 25.447 16.032 0x00
OBS: 59107.46 r NULL  -54.306 36.314 nan -0.726 0x00
