SURVEY:  PS1MD
SNID:  2021aarr
otherID: 
IAUC:    UNKNOWN
RA:        3.4983500  deg
DECL:       -0.0742580  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021aarr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0242
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.383 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 32
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59429.58 g NULL  -14.321 62.469 nan -4.736 0x00
OBS: 59433.59 g NULL  -2.083 102.234 nan -53.288 0x00
OBS: 59434.50 g NULL  3.484 47.203 26.145 14.710 0x00
OBS: 59437.55 g NULL  -10.408 81.640 nan -8.516 0x00
OBS: 59440.48 g NULL  -37.354 54.072 nan -1.572 0x00
OBS: 59457.42 g NULL  -29.507 65.606 nan -2.414 0x00
OBS: 59464.54 g NULL  -173.549 63.951 nan -0.400 0x00
OBS: 59466.54 g NULL  45.458 44.399 23.356 1.060 0x00
OBS: 59468.45 g NULL  113.343 66.564 22.364 0.638 0x00
OBS: 59492.49 g NULL  416.112 62.828 20.952 0.164 0x00
OBS: 59498.42 g NULL  129.229 50.842 22.222 0.427 0x00
OBS: 59516.41 g NULL  -744.093 253.829 nan -0.370 0x00
OBS: 59525.38 g NULL  -33.111 43.707 nan -1.433 0x00
OBS: 59429.58 r NULL  -2.459 52.712 nan -23.274 0x01
OBS: 59434.51 r NULL  12.939 50.533 24.720 4.240 0x00
OBS: 59445.53 r NULL  12.892 69.792 24.724 5.878 0x00
OBS: 59464.54 r NULL  -94.691 67.478 nan -0.774 0x00
OBS: 59468.45 r NULL  160.326 52.152 21.987 0.353 0x00
OBS: 59483.39 r NULL  597.557 90.046 20.559 0.164 0x00
OBS: 59511.34 r NULL  203.443 85.761 21.729 0.458 0x00
OBS: 59514.41 r NULL  243.636 59.188 21.533 0.264 0x00
OBS: 59525.38 r NULL  7.456 54.209 25.319 7.894 0x00
OBS: 59433.58 i NULL  85.688 83.438 22.668 1.057 0x00
OBS: 59437.55 i NULL  42.480 106.816 23.430 2.730 0x00
OBS: 59440.48 i NULL  -78.009 69.920 nan -0.973 0x00
OBS: 59466.55 i NULL  28.554 53.318 23.861 2.027 0x00
OBS: 59483.39 i NULL  418.064 118.651 20.947 0.308 0x00
OBS: 59492.49 i NULL  469.697 85.035 20.820 0.197 0x00
OBS: 59498.42 i NULL  240.379 57.722 21.548 0.261 0x01
OBS: 59514.40 i NULL  281.478 60.781 21.376 0.234 0x00
OBS: 59445.53 z NULL  -15.937 115.009 nan -7.835 0x00
OBS: 59457.42 z NULL  -231.404 100.297 nan -0.471 0x00
OBS: 59511.33 z NULL  239.004 161.114 21.554 0.732 0x00
OBS: 59516.41 z NULL  309.511 460.876 21.273 1.617 0x00
END:
