SURVEY:  PS1MD
SNID:  2021aaum
otherID: 
IAUC:    UNKNOWN
RA:        64.1674920  deg
DECL:       -12.2883030  deg
MWEBV:    0.047 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021aaum.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0306
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.322 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 64
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59110.60 g NULL  71.481 64.845 22.865 0.985 0x00
OBS: 59115.63 g NULL  -181.220 63.210 nan -0.379 0x00
OBS: 59133.58 g NULL  39.461 64.569 23.510 1.777 0x00
OBS: 59142.55 g NULL  -56.376 43.482 nan -0.837 0x00
OBS: 59146.53 g NULL  -73.255 150.065 nan -2.224 0x00
OBS: 59167.47 g NULL  -203.847 84.119 nan -0.448 0x00
OBS: 59172.46 g NULL  -2.139 60.923 nan -30.924 0x00
OBS: 59190.41 g NULL  -53.328 59.396 nan -1.209 0x00
OBS: 59192.42 g NULL  -132.770 48.830 nan -0.399 0x00
OBS: 59220.32 g NULL  -102.525 66.422 nan -0.703 0x01
OBS: 59225.33 g NULL  -204.543 59.813 nan -0.317 0x00
OBS: 59229.29 g NULL  -26.933 67.233 nan -2.710 0x00
OBS: 59254.24 g NULL  4.910 60.232 25.772 13.319 0x00
OBS: 59258.24 g NULL  -75.850 55.249 nan -0.791 0x00
OBS: 59486.60 g NULL  -63.578 95.968 nan -1.639 0x00
OBS: 59492.56 g NULL  169.485 79.374 21.927 0.508 0x00
OBS: 59498.60 g NULL  -133.075 60.763 nan -0.496 0x01
OBS: 59501.56 g NULL  82.741 64.634 22.706 0.848 0x00
OBS: 59516.53 g NULL  -60.903 232.090 nan -4.138 0x01
OBS: 59524.49 g NULL  207.176 136.635 21.709 0.716 0x09
OBS: 59110.60 r NULL  30.699 66.980 23.782 2.369 0x00
OBS: 59119.61 r NULL  33.684 70.851 23.681 2.284 0x00
OBS: 59123.57 r NULL  122.232 99.471 22.282 0.884 0x00
OBS: 59130.55 r NULL  151.482 64.767 22.049 0.464 0x00
OBS: 59142.54 r NULL  24.069 50.010 24.046 2.256 0x00
OBS: 59148.54 r NULL  -81.874 56.349 nan -0.747 0x00
OBS: 59158.49 r NULL  22.361 65.925 24.126 3.201 0x00
OBS: 59167.46 r NULL  4.901 85.601 25.774 18.963 0x00
OBS: 59185.41 r NULL  61.824 121.021 23.022 2.125 0x01
OBS: 59188.44 r NULL  -108.812 80.146 nan -0.800 0x00
OBS: 59213.28 r NULL  -92.845 160.632 nan -1.878 0x00
OBS: 59218.36 r NULL  -33.174 72.309 nan -2.367 0x01
OBS: 59229.29 r NULL  12.673 66.781 24.743 5.721 0x00
OBS: 59244.34 r NULL  57.033 153.034 23.110 2.913 0x00
OBS: 59245.26 r NULL  -148.865 62.305 nan -0.454 0x00
OBS: 59254.25 r NULL  -35.276 74.721 nan -2.300 0x00
OBS: 59258.24 r NULL  -88.505 64.986 nan -0.797 0x00
