SURVEY:  PS1MD
SNID:  2021abgx
otherID: 
IAUC:    UNKNOWN
RA:        3.3476640  deg
DECL:       16.6038880  deg
MWEBV:    0.052 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021abgx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.806 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 90
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59021.59 g NULL  59.022 42.882 23.072 0.789 0x00
OBS: 59028.57 g NULL  -1.392 46.618 nan -36.361 0x00
OBS: 59046.54 g NULL  -894.196 388.871 nan -0.472 0x00
OBS: 59049.58 g NULL  -12.687 72.593 nan -6.212 0x00
OBS: 59051.56 g NULL  -20.896 50.945 nan -2.647 0x00
OBS: 59055.54 g NULL  52.744 48.438 23.195 0.997 0x01
OBS: 59077.47 g NULL  -106.616 37.853 nan -0.385 0x00
OBS: 59142.27 g NULL  -13.924 50.691 nan -3.953 0x00
OBS: 59143.27 g NULL  84.538 81.616 22.682 1.048 0x00
OBS: 59145.29 g NULL  -28.446 62.595 nan -2.389 0x01
OBS: 59381.58 g NULL  21.094 55.009 24.190 2.831 0x00
OBS: 59401.56 g NULL  -20.352 47.579 nan -2.538 0x00
OBS: 59406.57 g NULL  50.823 74.375 23.235 1.589 0x00
OBS: 59410.57 g NULL  64.547 68.038 22.975 1.144 0x00
OBS: 59412.51 g NULL  -1.770 50.330 nan -30.873 0x00
OBS: 59428.53 g NULL  -54.562 47.779 nan -0.951 0x00
OBS: 59431.48 g NULL  1.624 45.910 26.974 30.693 0x00
OBS: 59438.62 g NULL  4.801 36.674 25.797 8.294 0x00
OBS: 59441.59 g NULL  44.992 60.970 23.367 1.471 0x00
OBS: 59443.62 g NULL  -3.442 35.636 nan -11.241 0x00
OBS: 59455.60 g NULL  185.774 103.128 21.828 0.603 0x01
OBS: 59458.58 g NULL  -58.116 53.875 nan -1.007 0x00
OBS: 59464.39 g NULL  -92.469 70.338 nan -0.826 0x01
OBS: 59467.56 g NULL  -3.674 42.700 nan -12.619 0x00
OBS: 59470.39 g NULL  -38.508 38.748 nan -1.093 0x00
OBS: 59485.52 g NULL  216.007 88.530 21.664 0.445 0x00
OBS: 59488.34 g NULL  534.504 86.910 20.680 0.177 0x00
OBS: 59491.50 g NULL  1455.962 62.528 19.592 0.047 0x00
OBS: 59500.44 g NULL  3897.707 90.702 18.523 0.025 0x00
OBS: 59517.28 g NULL  1770.188 70.843 19.380 0.043 0x00
OBS: 59519.28 g NULL  1435.886 69.054 19.607 0.052 0x00
OBS: 59525.38 g NULL  856.346 48.368 20.168 0.061 0x00
OBS: 59032.55 r NULL  97.768 70.291 22.525 0.781 0x00
OBS: 59036.59 r NULL  -75.228 64.172 nan -0.926 0x00
OBS: 59046.54 r NULL  -60.166 397.282 nan -7.169 0x00
OBS: 59051.56 r NULL  62.326 45.173 23.013 0.787 0x00
OBS: 59055.54 r NULL  -58.437 58.818 nan -1.093 0x09
OBS: 59060.50 r NULL  -1.565 54.506 nan -37.814 0x00
OBS: 59093.41 r NULL  145.047 99.674 22.096 0.746 0x00
OBS: 59100.43 r NULL  128.671 94.924 22.226 0.801 0x00
OBS: 59120.38 r NULL  23.904 81.479 24.054 3.701 0x00
OBS: 59127.36 r NULL  -69.915 231.663 nan -3.598 0x00
OBS: 59142.27 r NULL  -7.308 41.286 nan -6.134 0x00
OBS: 59381.58 r NULL  112.251 66.534 22.375 0.644 0x00
OBS: 59385.60 r NULL  -4.532 42.931 nan -10.285 0x00
OBS: 59387.59 r NULL  -52.989 51.550 nan -1.056 0x00
OBS: 59393.60 r NULL  44.606 57.166 23.377 1.391 0x00
OBS: 59406.58 r NULL  16.730 40.534 24.441 2.631 0x00
OBS: 59410.56 r NULL  51.352 58.307 23.224 1.233 0x00
OBS: 59414.56 r NULL  80.235 69.161 22.739 0.936 0x00
OBS: 59420.56 r NULL  21.910 88.830 24.148 4.402 0x00
OBS: 59446.59 r NULL  -49.316 42.046 nan -0.926 0x00
OBS: 59448.59 r NULL  238.073 101.728 21.558 0.464 0x00
OBS: 59467.56 r NULL  -110.669 40.176 nan -0.394 0x00
OBS: 59475.51 r NULL  -78.903 301.678 nan -4.151 0x00
OBS: 59491.49 r NULL  1371.001 58.016 19.657 0.046 0x00
OBS: 59510.44 r NULL  3048.585 95.223 18.790 0.034 0x00
OBS: 59514.41 r NULL  2732.277 76.707 18.909 0.030 0x00
OBS: 59519.27 r NULL  2051.049 64.589 19.220 0.034 0x00
OBS: 59021.59 i NULL  104.077 92.119 22.457 0.961 0x00
OBS: 59028.58 i NULL  16.046 39.827 24.487 2.695 0x00
OBS: 59032.55 i NULL  24.172 69.557 24.042 3.124 0x00
OBS: 59049.59 i NULL  89.045 87.407 22.626 1.066 0x00
OBS: 59060.50 i NULL  -8.079 57.049 nan -7.667 0x00
OBS: 59064.52 i NULL  0.046 93.704 30.843 2211.692 0x00
OBS: 59120.37 i NULL  -235.520 2243.614 nan -10.343 0x00
