SURVEY:  PS1MD
SNID:  2021abhb
otherID: 
IAUC:    UNKNOWN
RA:        54.4324460  deg
DECL:       -27.5245560  deg
MWEBV:    0.010 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021abhb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0520
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.212 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 69
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59077.61 g NULL  -17.381 57.853 nan -3.614 0x00
OBS: 59080.61 g NULL  148.767 54.932 22.069 0.401 0x00
OBS: 59101.62 g NULL  61.186 70.792 23.033 1.256 0x00
OBS: 59105.61 g NULL  33.745 70.353 23.679 2.264 0x00
OBS: 59109.62 g NULL  -10.096 52.130 nan -5.606 0x00
OBS: 59114.62 g NULL  105.749 61.391 22.439 0.630 0x00
OBS: 59134.55 g NULL  -176.161 88.380 nan -0.545 0x00
OBS: 59138.53 g NULL  44.464 108.502 23.380 2.649 0x00
OBS: 59147.49 g NULL  -18.466 57.531 nan -3.383 0x00
OBS: 59161.45 g NULL  -3.473 76.599 nan -23.947 0x00
OBS: 59172.45 g NULL  267.477 67.081 21.432 0.272 0x00
OBS: 59193.42 g NULL  13.215 58.185 24.697 4.780 0x00
OBS: 59198.37 g NULL  -7.342 135.393 nan -20.022 0x00
OBS: 59492.56 g NULL  689.565 95.990 20.404 0.151 0x00
OBS: 59500.59 g NULL  296.480 77.995 21.320 0.286 0x00
OBS: 59518.51 g NULL  118.324 49.007 22.317 0.450 0x00
OBS: 59524.49 g NULL  -3.277 83.013 nan -27.504 0x00
OBS: 59527.50 g NULL  134.857 110.317 22.175 0.888 0x00
OBS: 59077.60 r NULL  18.427 63.253 24.336 3.727 0x00
OBS: 59091.62 r NULL  -132.781 75.549 nan -0.618 0x00
