SURVEY:  PS1MD
SNID:  2021abse
otherID: 
IAUC:    UNKNOWN
RA:        62.9932120  deg
DECL:       -10.7205140  deg
MWEBV:    0.046 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021abse.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0013
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.701 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 68
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59105.61 g NULL  -86.480 72.640 nan -0.912 0x00
OBS: 59107.55 g NULL  -68.310 99.978 nan -1.589 0x00
OBS: 59110.60 g NULL  -55.157 73.580 nan -1.448 0x00
OBS: 59115.63 g NULL  -96.807 74.345 nan -0.834 0x01
OBS: 59133.58 g NULL  -383.526 84.137 nan -0.238 0x00
OBS: 59138.52 g NULL  -418.855 84.799 nan -0.220 0x00
OBS: 59142.55 g NULL  -432.877 64.206 nan -0.161 0x00
OBS: 59146.53 g NULL  -32.856 142.464 nan -4.708 0x00
OBS: 59161.46 g NULL  -17.258 91.179 nan -5.736 0x00
OBS: 59167.47 g NULL  -81.648 85.989 nan -1.143 0x00
OBS: 59172.46 g NULL  -23.425 83.793 nan -3.884 0x00
OBS: 59190.41 g NULL  102.337 77.590 22.475 0.823 0x00
OBS: 59192.42 g NULL  305.219 63.537 21.288 0.226 0x00
OBS: 59198.38 g NULL  62.718 105.048 23.007 1.819 0x00
OBS: 59205.42 g NULL  252.372 77.919 21.495 0.335 0x00
OBS: 59220.32 g NULL  200.990 61.323 21.742 0.331 0x00
OBS: 59225.33 g NULL  133.515 79.824 22.186 0.649 0x00
OBS: 59229.29 g NULL  227.254 81.454 21.609 0.389 0x00
OBS: 59258.24 g NULL  94.743 79.268 22.559 0.908 0x01
OBS: 59486.60 g NULL  354.996 124.406 21.124 0.380 0x01
OBS: 59492.56 g NULL  615.388 98.573 20.527 0.174 0x00
OBS: 59498.60 g NULL  590.410 90.278 20.572 0.166 0x00
OBS: 59501.56 g NULL  704.085 73.243 20.381 0.113 0x00
OBS: 59516.53 g NULL  344.357 255.840 21.157 0.807 0x00
OBS: 59518.56 g NULL  855.996 81.440 20.169 0.103 0x00
OBS: 59105.61 r NULL  -102.131 93.170 nan -0.990 0x00
OBS: 59110.60 r NULL  -78.786 89.015 nan -1.227 0x01
OBS: 59119.61 r NULL  9.484 101.182 25.058 11.583 0x00
OBS: 59130.55 r NULL  -238.109 76.206 nan -0.347 0x00
OBS: 59142.54 r NULL  -37.982 79.511 nan -2.273 0x00
OBS: 59158.49 r NULL  -6.130 85.022 nan -15.059 0x00
OBS: 59167.46 r NULL  72.150 97.500 22.854 1.467 0x00
OBS: 59188.44 r NULL  140.204 94.676 22.133 0.733 0x00
OBS: 59198.38 r NULL  181.478 78.209 21.853 0.468 0x00
OBS: 59213.28 r NULL  -101.501 133.901 nan -1.432 0x00
OBS: 59217.32 r NULL  272.378 77.784 21.412 0.310 0x00
OBS: 59218.36 r NULL  164.584 102.354 21.959 0.675 0x00
OBS: 59229.29 r NULL  419.906 93.226 20.942 0.241 0x00
OBS: 59243.23 r NULL  -299.129 148.281 nan -0.538 0x00
OBS: 59244.34 r NULL  -534.219 135.410 nan -0.275 0x00
OBS: 59245.26 r NULL  401.756 82.581 20.990 0.223 0x00
OBS: 59267.24 r NULL  25.263 111.190 23.994 4.779 0x00
OBS: 59269.27 r NULL  -368.697 161.971 nan -0.477 0x00
OBS: 59492.55 r NULL  566.379 89.658 20.617 0.172 0x00
OBS: 59498.60 r NULL  681.764 80.315 20.416 0.128 0x00
OBS: 59504.60 r NULL  368.168 109.946 21.085 0.324 0x00
OBS: 59505.52 r NULL  423.150 183.646 20.934 0.471 0x01
OBS: 59506.48 r NULL  619.978 108.227 20.519 0.190 0x00
OBS: 59513.48 r NULL  577.771 96.247 20.596 0.181 0x01
OBS: 59107.55 i NULL  484.976 99.937 20.786 0.224 0x00
OBS: 59115.63 i NULL  283.013 122.570 21.370 0.470 0x01
OBS: 59119.61 i NULL  205.461 104.912 21.718 0.554 0x00
OBS: 59133.58 i NULL  58.188 84.993 23.088 1.586 0x00
OBS: 59138.52 i NULL  -233.448 78.552 nan -0.365 0x00
OBS: 59172.46 i NULL  96.153 109.874 22.543 1.241 0x00
OBS: 59188.45 i NULL  283.490 85.852 21.369 0.329 0x00
OBS: 59190.42 i NULL  440.235 78.822 20.891 0.194 0x00
OBS: 59217.33 i NULL  754.725 79.318 20.306 0.114 0x00
OBS: 59220.33 i NULL  624.015 86.029 20.512 0.150 0x00
OBS: 59225.33 i NULL  411.952 115.968 20.963 0.306 0x01
OBS: 59243.23 i NULL  214.903 130.393 21.669 0.659 0x00
OBS: 59245.26 i NULL  750.946 88.518 20.311 0.128 0x00
OBS: 59267.24 i NULL  444.964 112.831 20.879 0.275 0x00
OBS: 59501.56 i NULL  1078.827 86.086 19.918 0.087 0x00
OBS: 59504.59 i NULL  1368.677 126.448 19.659 0.100 0x00
OBS: 59506.49 i NULL  1241.969 112.059 19.765 0.098 0x00
OBS: 59130.55 z NULL  80.601 108.941 22.734 1.467 0x00
OBS: 59146.54 z NULL  138.295 354.731 22.148 2.785 0x01
OBS: 59161.46 z NULL  0.954 156.472 27.551 178.079 0x00
OBS: 59192.42 z NULL  462.470 117.722 20.837 0.276 0x00
OBS: 59205.42 z NULL  354.848 136.515 21.125 0.418 0x00
OBS: 59213.29 z NULL  279.611 157.388 21.384 0.611 0x00
OBS: 59218.36 z NULL  270.294 152.554 21.420 0.613 0x00
OBS: 59244.34 z NULL  355.295 155.958 21.124 0.477 0x00
OBS: 59269.27 z NULL  146.088 183.873 22.088 1.367 0x00
OBS: 59486.60 z NULL  421.490 227.225 20.938 0.585 0x09
OBS: 59505.52 z NULL  1001.093 154.218 19.999 0.167 0x01
OBS: 59513.48 z NULL  1128.006 135.219 19.869 0.130 0x00
OBS: 59516.53 z NULL  962.753 197.570 20.041 0.223 0x00
END:
