SURVEY:  PS1MD
SNID:  2021acgu
otherID: 
IAUC:    UNKNOWN
RA:        40.3044290  deg
DECL:       0.5482810  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021acgu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0010
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.302 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 68
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.61 g NULL  69.886 53.353 22.889 0.829 0x00
OBS: 59106.56 g NULL  123.818 58.601 22.268 0.514 0x00
OBS: 59112.56 g NULL  347.451 116.971 21.148 0.366 0x00
OBS: 59115.62 g NULL  13.585 59.689 24.667 4.770 0x00
OBS: 59131.50 g NULL  34.511 93.755 23.655 2.950 0x00
OBS: 59133.48 g NULL  -98.254 74.884 nan -0.827 0x00
OBS: 59138.45 g NULL  130.532 83.200 22.211 0.692 0x00
OBS: 59140.41 g NULL  150.402 63.111 22.057 0.456 0x00
OBS: 59146.45 g NULL  82.680 55.393 22.706 0.727 0x00
OBS: 59169.39 g NULL  22.165 66.964 24.136 3.280 0x00
OBS: 59173.39 g NULL  24.388 54.947 24.032 2.446 0x00
OBS: 59191.24 g NULL  98.088 50.557 22.521 0.560 0x00
OBS: 59193.26 g NULL  168.859 56.026 21.931 0.360 0x00
OBS: 59199.35 g NULL  -7.780 62.454 nan -8.716 0x00
OBS: 59457.58 g NULL  -92.763 66.832 nan -0.782 0x00
OBS: 59466.58 g NULL  106.378 54.707 22.433 0.558 0x00
OBS: 59468.51 g NULL  165.839 54.023 21.951 0.354 0x00
OBS: 59487.50 g NULL  155.856 62.176 22.018 0.433 0x00
OBS: 59500.51 g NULL  270.416 74.454 21.420 0.299 0x00
OBS: 59516.46 g NULL  1833.715 393.659 19.342 0.233 0x00
OBS: 59518.43 g NULL  1835.572 72.712 19.341 0.043 0x00
OBS: 59095.59 r NULL  170.474 68.010 21.921 0.433 0x00
OBS: 59106.56 r NULL  37.878 44.094 23.554 1.264 0x00
OBS: 59112.56 r NULL  336.620 137.328 21.182 0.443 0x00
OBS: 59119.61 r NULL  11.025 60.993 24.894 6.007 0x00
OBS: 59121.52 r NULL  127.663 108.801 22.235 0.925 0x00
OBS: 59140.41 r NULL  -63.472 57.855 nan -0.990 0x00
OBS: 59148.42 r NULL  159.616 112.628 21.992 0.766 0x00
OBS: 59157.47 r NULL  -11.752 73.481 nan -6.789 0x00
OBS: 59160.38 r NULL  46.134 116.838 23.340 2.750 0x00
OBS: 59184.31 r NULL  32.796 100.536 23.710 3.328 0x00
OBS: 59188.34 r NULL  71.021 64.837 22.872 0.991 0x00
OBS: 59193.26 r NULL  86.653 46.335 22.656 0.581 0x00
OBS: 59446.60 r NULL  98.408 53.565 22.517 0.591 0x00
OBS: 59448.55 r NULL  85.473 82.837 22.670 1.052 0x00
OBS: 59462.58 r NULL  96.989 117.071 22.533 1.311 0x09
OBS: 59468.50 r NULL  82.131 56.902 22.714 0.752 0x01
OBS: 59475.57 r NULL  350.937 320.923 21.137 0.993 0x00
OBS: 59484.57 r NULL  -23.952 81.076 nan -3.675 0x00
OBS: 59504.42 r NULL  564.499 82.904 20.621 0.159 0x00
OBS: 59513.48 r NULL  1581.945 64.178 19.502 0.044 0x00
OBS: 59115.62 i NULL  -16.048 63.033 nan -4.265 0x00
OBS: 59119.61 i NULL  196.245 155.142 21.768 0.858 0x00
OBS: 59133.48 i NULL  103.750 67.895 22.460 0.711 0x00
OBS: 59138.45 i NULL  -9.683 89.121 nan -9.993 0x00
OBS: 59157.47 i NULL  45.869 84.904 23.346 2.010 0x00
OBS: 59169.39 i NULL  28.475 74.984 23.864 2.859 0x00
OBS: 59173.39 i NULL  3.353 54.581 26.186 17.674 0x00
OBS: 59188.33 i NULL  55.626 75.723 23.137 1.478 0x00
OBS: 59199.35 i NULL  139.067 113.974 22.142 0.890 0x00
OBS: 59448.55 i NULL  53.026 75.382 23.189 1.543 0x00
OBS: 59457.58 i NULL  100.294 117.184 22.497 1.269 0x00
OBS: 59466.59 i NULL  -32.878 54.246 nan -1.791 0x00
OBS: 59504.42 i NULL  461.180 84.344 20.840 0.199 0x00
OBS: 59513.48 i NULL  1209.632 80.238 19.793 0.072 0x00
OBS: 59516.46 i NULL  962.092 206.739 20.042 0.233 0x00
OBS: 59518.43 i NULL  1122.711 65.774 19.874 0.064 0x00
OBS: 59058.61 z NULL  -4.907 86.346 nan -19.105 0x00
OBS: 59095.59 z NULL  20.953 102.874 24.197 5.331 0x00
OBS: 59121.52 z NULL  -159.466 150.238 nan -1.023 0x00
OBS: 59131.50 z NULL  129.725 115.086 22.217 0.963 0x00
OBS: 59146.45 z NULL  -66.486 80.048 nan -1.307 0x00
OBS: 59148.42 z NULL  301.519 173.024 21.302 0.623 0x00
OBS: 59160.38 z NULL  -471.480 389.553 nan -0.897 0x00
OBS: 59184.31 z NULL  68.353 122.762 22.913 1.950 0x01
OBS: 59191.24 z NULL  79.170 86.839 22.754 1.191 0x00
OBS: 59446.60 z NULL  -7.651 70.047 nan -9.940 0x00
OBS: 59475.57 z NULL  -13.817 510.274 nan -40.097 0x00
OBS: 59484.57 z NULL  -210.654 118.675 nan -0.612 0x00
OBS: 59487.50 z NULL  14.697 94.805 24.582 7.004 0x00
OBS: 59500.51 z NULL  350.298 140.326 21.139 0.435 0x00
END:
