SURVEY:  PS1MD
SNID:  2021achf
otherID: 
IAUC:    UNKNOWN
RA:        7.4821800  deg
DECL:       20.5630250  deg
MWEBV:    0.056 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021achf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0017
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.930 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 139
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59021.59 g NULL  -85.415 63.040 nan -0.801 0x00
OBS: 59026.60 g NULL  38.440 76.077 23.538 2.149 0x00
OBS: 59028.58 g NULL  18.213 46.676 24.349 2.783 0x00
OBS: 59029.61 g NULL  20.692 42.073 24.210 2.208 0x00
OBS: 59046.54 g NULL  132.867 240.190 22.191 1.963 0x00
OBS: 59049.58 g NULL  70.559 77.419 22.879 1.191 0x00
OBS: 59051.56 g NULL  11.557 47.679 24.843 4.479 0x00
OBS: 59055.54 g NULL  -111.340 41.306 nan -0.403 0x00
OBS: 59073.60 g NULL  32.368 57.329 23.725 1.923 0x00
OBS: 59077.47 g NULL  -0.729 41.991 nan -62.539 0x00
OBS: 59079.49 g NULL  -31.655 38.984 nan -1.337 0x00
OBS: 59084.60 g NULL  -107.065 68.231 nan -0.692 0x00
OBS: 59103.40 g NULL  -44.248 31.014 nan -0.761 0x00
OBS: 59107.53 g NULL  33.053 49.633 23.702 1.630 0x00
OBS: 59111.51 g NULL  -142.822 157.391 nan -1.196 0x00
OBS: 59112.55 g NULL  13.566 100.927 24.669 8.078 0x00
OBS: 59117.37 g NULL  10.387 68.733 24.959 7.185 0x00
OBS: 59132.45 g NULL  30.031 44.691 23.806 1.616 0x00
OBS: 59137.46 g NULL  -71.505 39.725 nan -0.603 0x00
OBS: 59142.27 g NULL  -47.613 44.777 nan -1.021 0x00
OBS: 59143.27 g NULL  -9.124 70.477 nan -8.387 0x00
OBS: 59145.29 g NULL  -25.386 53.994 nan -2.309 0x00
OBS: 59147.42 g NULL  -21.058 76.121 nan -3.925 0x00
