SURVEY:  PS1MD
SNID:  2021acjn
otherID: 
IAUC:    UNKNOWN
RA:        67.2899670  deg
DECL:       -20.9283170  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021acjn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0047
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.036 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 82
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59077.61 g NULL  8.881 56.581 25.129 6.917 0x00
OBS: 59101.63 g NULL  -36.131 46.816 nan -1.407 0x00
OBS: 59105.61 g NULL  22.084 51.596 24.140 2.537 0x00
OBS: 59109.62 g NULL  54.419 34.973 23.161 0.698 0x00
OBS: 59114.62 g NULL  53.228 60.746 23.185 1.239 0x00
OBS: 59134.55 g NULL  -163.923 82.591 nan -0.547 0x01
OBS: 59142.54 g NULL  -10.945 46.090 nan -4.572 0x00
OBS: 59147.49 g NULL  70.409 45.220 22.881 0.697 0x00
OBS: 59161.45 g NULL  -126.523 73.957 nan -0.635 0x00
OBS: 59167.46 g NULL  53.729 80.091 23.174 1.618 0x00
OBS: 59172.45 g NULL  -88.278 61.308 nan -0.754 0x00
OBS: 59191.41 g NULL  19.147 41.398 24.295 2.347 0x00
OBS: 59198.37 g NULL  145.555 116.946 22.092 0.872 0x00
OBS: 59486.60 g NULL  -72.311 89.655 nan -1.346 0x01
OBS: 59492.56 g NULL  -69.122 63.693 nan -1.000 0x00
OBS: 59500.59 g NULL  165.759 118.523 21.951 0.776 0x00
OBS: 59515.54 g NULL  392.920 93.188 21.014 0.258 0x00
OBS: 59518.52 g NULL  410.252 41.087 20.967 0.109 0x00
OBS: 59524.49 g NULL  227.081 75.150 21.610 0.359 0x00
OBS: 59527.50 g NULL  221.216 57.411 21.638 0.282 0x00
OBS: 59077.61 r NULL  -39.964 59.242 nan -1.609 0x00
OBS: 59091.62 r NULL  -60.165 59.372 nan -1.071 0x00
OBS: 59097.62 r NULL  11.358 81.285 24.862 7.770 0x00
OBS: 59099.62 r NULL  58.547 90.449 23.081 1.677 0x00
OBS: 59109.62 r NULL  6.916 38.408 25.400 6.030 0x00
OBS: 59118.56 r NULL  50.128 62.625 23.250 1.356 0x00
