SURVEY:  PS1MD
SNID:  2021acnq
otherID: 
IAUC:    UNKNOWN
RA:        39.7408020  deg
DECL:       38.2552540  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59518.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021acnq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0036
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.269 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 77
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59105.50 g NULL  -34.357 39.218 nan -1.239 0x00
OBS: 59108.61 g NULL  -29.405 41.790 nan -1.543 0x00
OBS: 59111.51 g NULL  138.633 245.398 22.145 1.922 0x00
OBS: 59112.57 g NULL  33.687 73.086 23.681 2.356 0x00
OBS: 59117.63 g NULL  -328.359 72.290 nan -0.239 0x00
OBS: 59138.47 g NULL  18.574 68.074 24.328 3.979 0x00
OBS: 59145.42 g NULL  14.652 47.193 24.585 3.497 0x00
OBS: 59147.41 g NULL  22.865 59.125 24.102 2.808 0x00
OBS: 59161.38 g NULL  -28.067 55.663 nan -2.153 0x00
OBS: 59170.38 g NULL  137.745 104.511 22.152 0.824 0x00
OBS: 59191.40 g NULL  40.419 57.527 23.484 1.545 0x00
OBS: 59199.36 g NULL  20.790 248.971 24.205 13.002 0x00
OBS: 59206.30 g NULL  28.591 64.847 23.859 2.463 0x00
OBS: 59220.22 g NULL  -24.293 38.605 nan -1.725 0x00
OBS: 59227.22 g NULL  40.546 53.239 23.480 1.426 0x00
OBS: 59231.22 g NULL  -65.519 72.762 nan -1.206 0x00
OBS: 59432.61 g NULL  26.137 66.541 23.957 2.764 0x00
OBS: 59440.56 g NULL  181.145 73.819 21.855 0.442 0x01
OBS: 59460.62 g NULL  54.459 129.374 23.160 2.579 0x00
OBS: 59465.63 g NULL  -44.997 34.676 nan -0.837 0x00
OBS: 59467.58 g NULL  75.181 67.639 22.810 0.977 0x00
OBS: 59470.62 g NULL  29.031 59.277 23.843 2.217 0x00
OBS: 59501.47 g NULL  188.821 58.681 21.810 0.337 0x00
OBS: 59526.36 g NULL  493.952 64.988 20.766 0.143 0x00
OBS: 59105.50 r NULL  -5.184 38.727 nan -8.111 0x00
OBS: 59112.57 r NULL  -91.844 73.692 nan -0.871 0x00
OBS: 59120.56 r NULL  -97.109 52.226 nan -0.584 0x00
OBS: 59123.48 r NULL  -70.749 77.229 nan -1.185 0x00
OBS: 59130.47 r NULL  -14.638 109.306 nan -8.107 0x00
OBS: 59157.46 r NULL  -62.363 61.800 nan -1.076 0x00
OBS: 59179.41 r NULL  -144.024 87.850 nan -0.662 0x00
OBS: 59187.42 r NULL  102.862 46.816 22.469 0.494 0x00
OBS: 59189.38 r NULL  30.127 52.883 23.803 1.906 0x00
OBS: 59212.27 r NULL  -102.977 91.895 nan -0.969 0x00
OBS: 59218.22 r NULL  66.197 37.214 22.948 0.610 0x00
OBS: 59231.22 r NULL  -18.471 63.121 nan -3.710 0x00
OBS: 59432.61 r NULL  1.538 49.368 27.033 34.851 0x00
OBS: 59444.59 r NULL  11.963 40.614 24.805 3.686 0x00
OBS: 59447.55 r NULL  23.618 57.406 24.067 2.639 0x00
OBS: 59460.62 r NULL  -18.883 76.576 nan -4.403 0x00
OBS: 59467.57 r NULL  25.343 49.489 23.990 2.120 0x00
