SURVEY:  PS1MD
SNID:  2021acns
otherID: 
IAUC:    UNKNOWN
RA:        320.3679240  deg
DECL:       13.1096780  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59518.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021acns.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0017
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.478 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 128
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59000.52 g NULL  -80.510 36.648 nan -0.494 0x00
OBS: 59021.54 g NULL  40.562 61.391 23.480 1.643 0x00
OBS: 59022.54 g NULL  0.390 466.361 28.522 1298.321 0x00
OBS: 59027.51 g NULL  -51.106 58.602 nan -1.245 0x00
OBS: 59028.53 g NULL  32.325 45.850 23.726 1.540 0x00
OBS: 59049.48 g NULL  82.990 184.324 22.702 2.411 0x09
OBS: 59050.55 g NULL  16.864 54.762 24.433 3.526 0x00
OBS: 59053.52 g NULL  -11.711 47.426 nan -4.397 0x00
OBS: 59073.32 g NULL  39.128 77.188 23.519 2.142 0x00
OBS: 59075.36 g NULL  -41.108 44.834 nan -1.184 0x00
OBS: 59107.24 g NULL  -125.476 48.124 nan -0.416 0x00
OBS: 59111.30 g NULL  157.234 727.410 22.009 5.023 0x00
OBS: 59117.24 g NULL  -55.880 101.466 nan -1.971 0x00
OBS: 59161.24 g NULL  57.508 43.459 23.101 0.820 0x00
OBS: 59166.22 g NULL  -145.848 137.460 nan -1.023 0x00
OBS: 59170.22 g NULL  -91.000 90.310 nan -1.078 0x00
OBS: 59346.60 g NULL  -11.447 91.560 nan -8.684 0x01
OBS: 59350.60 g NULL  1.714 103.289 26.915 65.429 0x01
OBS: 59354.59 g NULL  9.690 56.381 25.034 6.317 0x00
OBS: 59369.59 g NULL  -18.496 172.664 nan -10.136 0x00
OBS: 59370.57 g NULL  74.229 67.459 22.824 0.987 0x00
OBS: 59373.59 g NULL  18.772 60.564 24.316 3.503 0x01
OBS: 59376.55 g NULL  -65.916 109.788 nan -1.808 0x00
OBS: 59379.51 g NULL  -9.430 48.634 nan -5.600 0x00
OBS: 59382.51 g NULL  41.897 48.407 23.445 1.254 0x01
OBS: 59398.51 g NULL  -56.839 97.948 nan -1.871 0x00
OBS: 59399.46 g NULL  -43.683 76.319 nan -1.897 0x01
OBS: 59406.47 g NULL  68.762 78.879 22.907 1.245 0x00
OBS: 59412.60 g NULL  58.815 47.221 23.076 0.872 0x01
OBS: 59427.38 g NULL  46.615 55.110 23.329 1.284 0x00
OBS: 59434.51 g NULL  -34.325 54.636 nan -1.728 0x00
OBS: 59437.48 g NULL  -34.292 67.391 nan -2.134 0x00
OBS: 59456.47 g NULL  11.999 73.163 24.802 6.620 0x00
OBS: 59466.42 g NULL  -5.118 83.004 nan -17.609 0x01
OBS: 59470.29 g NULL  -66.822 67.592 nan -1.098 0x00
OBS: 59488.27 g NULL  -24.324 66.794 nan -2.981 0x00
OBS: 59491.23 g NULL  -50.468 57.954 nan -1.247 0x00
OBS: 59515.27 g NULL  356.104 55.144 21.121 0.168 0x00
OBS: 59517.27 g NULL  502.886 55.230 20.746 0.119 0x00
OBS: 59519.28 g NULL  631.687 38.131 20.499 0.066 0x00
OBS: 59525.26 g NULL  700.424 63.384 20.387 0.098 0x00
OBS: 59001.54 r NULL  -2.631 53.894 nan -22.240 0x00
OBS: 59016.48 r NULL  29.232 54.572 23.835 2.027 0x01
OBS: 59022.54 r NULL  -26.672 333.437 nan -13.573 0x00
OBS: 59030.48 r NULL  31.487 48.185 23.755 1.662 0x00
OBS: 59041.55 r NULL  76.893 56.630 22.785 0.800 0x00
OBS: 59050.56 r NULL  -58.711 41.933 nan -0.775 0x00
OBS: 59059.44 r NULL  4.694 34.277 25.821 7.928 0x00
OBS: 59068.40 r NULL  21.016 65.654 24.194 3.392 0x00
OBS: 59075.35 r NULL  1.734 39.654 26.902 24.829 0x00
OBS: 59096.42 r NULL  39.410 59.047 23.511 1.627 0x00
OBS: 59098.43 r NULL  -30.840 77.058 nan -2.713 0x00
OBS: 59107.24 r NULL  118.139 49.864 22.319 0.458 0x00
OBS: 59123.22 r NULL  65.384 89.884 22.961 1.493 0x00
OBS: 59127.24 r NULL  -23.282 93.992 nan -4.383 0x00
OBS: 59129.37 r NULL  23.009 76.671 24.095 3.618 0x00
OBS: 59153.26 r NULL  108.280 77.553 22.414 0.778 0x00
OBS: 59166.22 r NULL  -163.217 88.149 nan -0.586 0x01
OBS: 59326.61 r NULL  -12.266 61.346 nan -5.430 0x00
OBS: 59328.59 r NULL  113.289 139.637 22.365 1.338 0x00
OBS: 59329.61 r NULL  69.626 155.191 22.893 2.420 0x00
OBS: 59332.62 r NULL  23.152 148.377 24.089 6.958 0x00
OBS: 59357.59 r NULL  73.949 45.629 22.828 0.670 0x00
OBS: 59358.59 r NULL  -27.854 61.461 nan -2.396 0x00
OBS: 59359.55 r NULL  228.215 115.126 21.604 0.548 0x00
OBS: 59373.58 r NULL  -21.916 65.516 nan -3.246 0x01
OBS: 59379.51 r NULL  20.081 41.889 24.243 2.265 0x00
OBS: 59385.50 r NULL  55.462 47.873 23.140 0.937 0x00
OBS: 59387.53 r NULL  28.886 68.757 23.848 2.584 0x00
OBS: 59390.49 r NULL  385.159 120.469 21.036 0.340 0x00
OBS: 59406.46 r NULL  -17.606 65.850 nan -4.061 0x00
OBS: 59414.56 r NULL  -4.094 58.062 nan -15.398 0x00
