SURVEY:  PS1MD
SNID:  2021acvn
otherID: 
IAUC:    UNKNOWN
RA:        21.7068600  deg
DECL:       -15.2534730  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59518.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021acvn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0027
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.391 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 74
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59084.59 g NULL  75.980 53.257 22.798 0.761 0x00
OBS: 59102.54 g NULL  -77.041 65.550 nan -0.924 0x00
OBS: 59105.50 g NULL  -90.495 45.936 nan -0.551 0x00
OBS: 59107.45 g NULL  17.526 60.424 24.391 3.743 0x00
OBS: 59110.45 g NULL  -14.549 45.675 nan -3.409 0x00
OBS: 59114.48 g NULL  25.621 50.775 23.979 2.152 0x00
OBS: 59132.42 g NULL  20.306 39.520 24.231 2.113 0x00
OBS: 59137.44 g NULL  -55.618 52.980 nan -1.034 0x01
OBS: 59143.38 g NULL  -99.700 115.728 nan -1.260 0x00
OBS: 59146.47 g NULL  48.657 48.458 23.282 1.081 0x00
OBS: 59166.40 g NULL  -93.412 73.005 nan -0.849 0x00
OBS: 59170.32 g NULL  -24.730 51.169 nan -2.247 0x01
OBS: 59428.58 g NULL  -34.618 88.675 nan -2.781 0x00
OBS: 59430.61 g NULL  68.837 56.103 22.905 0.885 0x00
OBS: 59433.59 g NULL  30.110 83.279 23.803 3.003 0x00
OBS: 59434.59 g NULL  68.806 50.044 22.906 0.790 0x00
OBS: 59436.59 g NULL  7.613 40.453 25.296 5.769 0x00
OBS: 59438.62 g NULL  75.353 50.453 22.807 0.727 0x01
OBS: 59440.56 g NULL  70.060 70.175 22.886 1.088 0x00
OBS: 59442.56 g NULL  -19.447 58.072 nan -3.242 0x00
OBS: 59470.40 g NULL  32.372 72.597 23.725 2.435 0x00
OBS: 59487.50 g NULL  154.591 72.369 22.027 0.508 0x00
OBS: 59493.48 g NULL  294.435 81.524 21.328 0.301 0x00
OBS: 59500.45 g NULL  398.660 90.354 20.998 0.246 0x00
OBS: 59515.37 g NULL  254.294 59.034 21.487 0.252 0x00
OBS: 59518.42 g NULL  488.597 54.211 20.778 0.120 0x00
OBS: 59524.38 g NULL  467.339 56.633 20.826 0.132 0x00
OBS: 59084.59 r NULL  6.074 57.166 25.541 10.219 0x01
OBS: 59093.49 r NULL  26.413 93.584 23.945 3.847 0x00
OBS: 59100.57 r NULL  -93.998 57.392 nan -0.663 0x00
