SURVEY:  PS1MD
SNID:  2021aff
otherID: 
IAUC:    UNKNOWN
RA:        151.6089370  deg
DECL:       6.9122120  deg
MWEBV:    0.018 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021aff.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0013
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.394 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 66
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58837.62 g NULL  45.155 94.960 23.363 2.283 0x00
OBS: 58849.61 g NULL  91.464 52.614 22.597 0.625 0x00
OBS: 58865.49 g NULL  74.711 90.364 22.817 1.313 0x01
OBS: 58871.58 g NULL  173.241 64.347 21.903 0.403 0x00
OBS: 58875.47 g NULL  41.912 65.275 23.444 1.691 0x00
OBS: 58882.49 g NULL  54.997 75.300 23.149 1.487 0x00
OBS: 58934.32 g NULL  112.948 159.871 22.368 1.537 0x00
OBS: 58965.26 g NULL  278.619 147.753 21.387 0.576 0x00
OBS: 58986.26 g NULL  -60.753 57.077 nan -1.020 0x00
OBS: 58995.26 g NULL  192.068 128.697 21.791 0.728 0x00
OBS: 59014.27 g NULL  223.519 81.280 21.627 0.395 0x00
OBS: 59017.27 g NULL  92.128 82.851 22.589 0.976 0x00
OBS: 59167.63 g NULL  -0.564 93.057 nan -179.141 0x00
OBS: 59172.63 g NULL  161.868 73.558 21.977 0.493 0x00
OBS: 59193.64 g NULL  72.322 56.377 22.852 0.846 0x00
OBS: 59205.58 g NULL  173.179 77.442 21.904 0.486 0x00
OBS: 59221.55 g NULL  773.084 142.765 20.279 0.201 0x00
OBS: 59222.52 g NULL  844.561 66.793 20.183 0.086 0x00
OBS: 59226.56 g NULL  944.983 61.873 20.061 0.071 0x00
OBS: 59230.60 g NULL  1141.200 81.789 19.857 0.078 0x00
OBS: 59236.64 g NULL  1108.395 113.415 19.888 0.111 0x00
OBS: 59256.47 g NULL  677.449 66.300 20.423 0.106 0x00
OBS: 59258.52 g NULL  1997.293 121.223 19.249 0.066 0x01
OBS: 59531.64 g NULL  49.447 105.167 23.265 2.309 0x00
OBS: 58846.60 r NULL  40.024 51.147 23.494 1.387 0x00
OBS: 58871.58 r NULL  65.485 51.769 22.960 0.858 0x00
OBS: 58878.49 r NULL  19.671 103.578 24.265 5.717 0x00
OBS: 58884.47 r NULL  119.930 68.319 22.303 0.618 0x00
OBS: 58919.37 r NULL  -129.232 155.333 nan -1.305 0x00
OBS: 58934.32 r NULL  -121.073 124.467 nan -1.116 0x00
OBS: 58947.32 r NULL  360.910 176.027 21.107 0.530 0x00
OBS: 58975.32 r NULL  75.424 90.533 22.806 1.303 0x00
OBS: 58980.36 r NULL  159.480 60.482 21.993 0.412 0x00
OBS: 58986.26 r NULL  -15.615 58.294 nan -4.053 0x00
OBS: 59004.28 r NULL  65.385 146.914 22.961 2.440 0x00
OBS: 59008.27 r NULL  138.493 50.825 22.146 0.398 0x00
OBS: 59010.27 r NULL  125.650 102.757 22.252 0.888 0x00
OBS: 59017.27 r NULL  37.253 69.906 23.572 2.037 0x00
OBS: 59167.64 r NULL  227.569 103.372 21.607 0.493 0x00
OBS: 59183.65 r NULL  338.468 109.547 21.176 0.351 0x00
OBS: 59207.59 r NULL  35.301 53.350 23.631 1.641 0x00
OBS: 59226.55 r NULL  1006.964 55.049 19.992 0.059 0x00
OBS: 59258.52 r NULL  1128.519 130.117 19.869 0.125 0x09
OBS: 58837.63 i NULL  23.014 93.920 24.095 4.431 0x00
OBS: 58849.61 i NULL  -25.300 43.749 nan -1.877 0x00
OBS: 58865.48 i NULL  -60.602 89.806 nan -1.609 0x01
OBS: 58875.47 i NULL  24.448 79.033 24.029 3.510 0x00
OBS: 58882.48 i NULL  27.223 55.484 23.913 2.213 0x00
OBS: 58884.47 i NULL  -37.105 79.621 nan -2.330 0x00
OBS: 58932.34 i NULL  46.049 69.822 23.342 1.646 0x00
OBS: 58965.26 i NULL  -12.680 111.697 nan -9.564 0x00
OBS: 58975.33 i NULL  84.631 97.256 22.681 1.248 0x00
OBS: 58995.26 i NULL  53.048 88.973 23.188 1.821 0x00
OBS: 59004.27 i NULL  301.866 157.767 21.300 0.567 0x00
OBS: 59008.28 i NULL  74.781 96.097 22.816 1.395 0x00
OBS: 59020.27 i NULL  -93.681 599.942 nan -6.953 0x00
OBS: 59172.63 i NULL  64.153 89.200 22.982 1.510 0x00
OBS: 59183.65 i NULL  122.249 107.336 22.282 0.953 0x00
OBS: 59193.63 i NULL  140.034 56.676 22.134 0.439 0x00
OBS: 59207.59 i NULL  -29.870 65.833 nan -2.393 0x00
OBS: 59221.54 i NULL  369.595 99.922 21.081 0.294 0x00
OBS: 59222.51 i NULL  506.659 64.654 20.738 0.139 0x00
OBS: 59230.60 i NULL  949.389 69.488 20.056 0.079 0x00
OBS: 59256.47 i NULL  1347.348 70.063 19.676 0.056 0x00
OBS: 58919.37 z NULL  -298.600 242.560 nan -0.882 0x01
OBS: 58947.33 z NULL  314.398 228.900 21.256 0.790 0x00
OBS: 58980.36 z NULL  -188.058 155.418 nan -0.897 0x09
OBS: 59010.27 z NULL  -37.177 190.958 nan -5.577 0x00
OBS: 59014.27 z NULL  -15.034 101.635 nan -7.340 0x00
OBS: 59205.58 z NULL  -75.894 135.192 nan -1.934 0x00
OBS: 59236.65 z NULL  1329.256 180.342 19.691 0.147 0x00
OBS: 59531.64 z NULL  341.515 131.965 21.166 0.420 0x00
END:
