SURVEY:  PS1MD
SNID:  2021atk
otherID: 
IAUC:    UNKNOWN
RA:        189.7735920  deg
DECL:       -5.5671440  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021atk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0058
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.442 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 40
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59231.61 g NULL  713.007 70.588 20.367 0.107 0x00
OBS: 59257.57 g NULL  63.200 51.026 22.998 0.877 0x00
OBS: 59261.57 g NULL  34.867 43.659 23.644 1.360 0x00
OBS: 59288.47 g NULL  25.021 52.593 24.004 2.282 0x00
OBS: 59293.41 g NULL  115.664 127.662 22.342 1.198 0x00
OBS: 59311.46 g NULL  -14.506 56.239 nan -4.209 0x00
OBS: 59316.42 g NULL  0.016 58.300 31.990 3956.151 0x00
OBS: 59322.41 g NULL  -71.627 50.894 nan -0.771 0x00
OBS: 59347.36 g NULL  66.013 56.593 22.951 0.931 0x00
OBS: 59353.36 g NULL  -103.318 83.080 nan -0.873 0x01
OBS: 59366.40 g NULL  -3.337 52.734 nan -17.158 0x00
OBS: 59368.27 g NULL  -27.859 38.971 nan -1.519 0x00
OBS: 59370.27 g NULL  -15.360 41.262 nan -2.917 0x00
OBS: 59373.28 g NULL  24.788 50.964 24.014 2.232 0x00
OBS: 59376.27 g NULL  148.188 78.665 22.073 0.576 0x00
OBS: 59378.27 g NULL  6.315 57.388 25.499 9.867 0x00
OBS: 59380.29 g NULL  -30.237 79.698 nan -2.862 0x00
OBS: 59244.63 r NULL  188.045 161.769 21.814 0.934 0x00
OBS: 59257.58 r NULL  235.043 39.144 21.572 0.181 0x00
OBS: 59261.57 r NULL  195.790 41.447 21.771 0.230 0x00
OBS: 59288.47 r NULL  103.711 65.965 22.460 0.691 0x00
OBS: 59316.42 r NULL  63.175 61.783 22.999 1.062 0x00
OBS: 59322.41 r NULL  -5.862 45.455 nan -8.419 0x00
OBS: 59336.43 r NULL  7.596 85.161 25.299 12.173 0x01
OBS: 59360.32 r NULL  -62.499 120.651 nan -2.096 0x00
OBS: 59362.35 r NULL  73.030 84.331 22.841 1.254 0x00
OBS: 59364.37 r NULL  -73.942 37.111 nan -0.545 0x00
OBS: 59378.27 r NULL  66.138 50.992 22.949 0.837 0x00
OBS: 59231.61 i NULL  674.630 51.763 20.427 0.083 0x00
OBS: 59311.46 i NULL  47.737 69.511 23.303 1.581 0x00
OBS: 59347.36 i NULL  24.332 61.745 24.035 2.755 0x01
OBS: 59362.35 i NULL  -105.915 73.732 nan -0.756 0x00
OBS: 59366.40 i NULL  21.353 59.071 24.176 3.004 0x00
OBS: 59370.27 i NULL  62.347 59.365 23.013 1.034 0x00
OBS: 59373.28 i NULL  15.477 44.631 24.526 3.131 0x00
OBS: 59376.27 i NULL  -86.927 100.651 nan -1.257 0x01
OBS: 59380.28 i NULL  -54.659 102.659 nan -2.039 0x00
OBS: 59244.62 z NULL  143.768 138.012 22.106 1.042 0x00
OBS: 59293.42 z NULL  7.431 97.440 25.322 14.237 0x00
OBS: 59336.42 z NULL  -168.553 123.264 nan -0.794 0x00
OBS: 59353.36 z NULL  10.766 93.696 24.920 9.449 0x00
OBS: 59360.32 z NULL  217.975 169.670 21.654 0.845 0x00
OBS: 59364.37 z NULL  137.162 100.228 22.157 0.793 0x00
OBS: 59368.27 z NULL  -69.477 71.675 nan -1.120 0x00
END:
