SURVEY:  PS1MD
SNID:  2021bbq
otherID: 
IAUC:    UNKNOWN
RA:        179.9113750  deg
DECL:       19.9597780  deg
MWEBV:    0.031 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021bbq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0198
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.298 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 98
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58933.50 g NULL  225.911 116.536 21.615 0.560 0x00
OBS: 58964.41 g NULL  73.093 89.362 22.840 1.327 0x00
OBS: 58985.37 g NULL  -29.993 45.447 nan -1.645 0x00
OBS: 58992.34 g NULL  -57.753 63.321 nan -1.190 0x00
OBS: 59013.27 g NULL  116.332 68.134 22.336 0.636 0x00
OBS: 59016.27 g NULL  61.685 50.878 23.025 0.896 0x01
OBS: 59019.27 g NULL  -103.337 171.986 nan -1.807 0x00
OBS: 59023.27 g NULL  -73.261 51.364 nan -0.761 0x00
OBS: 59195.58 g NULL  67.714 66.998 22.923 1.074 0x00
OBS: 59200.63 g NULL  113.571 81.053 22.362 0.775 0x00
OBS: 59222.58 g NULL  206.274 55.562 21.714 0.292 0x01
OBS: 59226.57 g NULL  247.169 48.097 21.518 0.211 0x00
OBS: 59230.55 g NULL  325.814 58.620 21.218 0.195 0x00
OBS: 59254.60 g NULL  252.619 225.911 21.494 0.971 0x00
OBS: 59256.48 g NULL  23.355 49.977 24.079 2.323 0x00
OBS: 59261.46 g NULL  41.284 54.062 23.461 1.422 0x00
OBS: 59288.53 g NULL  -5.093 60.841 nan -12.970 0x00
OBS: 59292.39 g NULL  -126.227 80.302 nan -0.691 0x00
OBS: 59295.54 g NULL  -24.342 56.366 nan -2.514 0x01
OBS: 59307.35 g NULL  23.432 64.013 24.075 2.966 0x00
OBS: 59311.34 g NULL  40.240 68.642 23.488 1.852 0x00
OBS: 59313.30 g NULL  -8.752 50.430 nan -6.256 0x00
OBS: 59314.30 g NULL  -42.829 60.853 nan -1.543 0x00
OBS: 59316.45 g NULL  -23.414 80.376 nan -3.727 0x00
OBS: 59318.44 g NULL  -78.524 63.611 nan -0.880 0x00
OBS: 59320.48 g NULL  11.660 45.224 24.833 4.211 0x00
OBS: 59322.42 g NULL  -92.550 41.876 nan -0.491 0x00
OBS: 59350.38 g NULL  4.578 81.534 25.848 19.337 0x00
OBS: 59370.29 g NULL  99.022 57.925 22.511 0.635 0x00
OBS: 59397.29 g NULL  5.019 71.426 25.748 15.451 0x00
OBS: 59400.28 g NULL  -95.354 98.062 nan -1.117 0x00
OBS: 59402.28 g NULL  -99.686 59.428 nan -0.647 0x00
OBS: 59403.29 g NULL  11.920 65.644 24.809 5.979 0x00
OBS: 59404.27 g NULL  -1.183 48.455 nan -44.471 0x00
OBS: 59405.29 g NULL  17.349 75.337 24.402 4.715 0x00
OBS: 58949.53 r NULL  -21.212 101.217 nan -5.181 0x00
