SURVEY:  PS1MD
SNID:  2021bbr
otherID: 
IAUC:    UNKNOWN
RA:        207.3797290  deg
DECL:       28.2591920  deg
MWEBV:    0.013 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021bbr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0062
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.506 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 28
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59229.64 g NULL  290.466 40.955 21.342 0.153 0x00
OBS: 59231.62 g NULL  430.568 49.951 20.915 0.126 0x00
OBS: 59291.43 g NULL  283.378 57.396 21.369 0.220 0x00
OBS: 59296.45 g NULL  326.152 65.512 21.216 0.218 0x00
OBS: 59315.36 g NULL  -810.477 468.385 nan -0.627 0x00
OBS: 59317.37 g NULL  139.465 66.283 22.139 0.516 0x00
OBS: 59323.36 g NULL  295.982 59.658 21.322 0.219 0x00
OBS: 59396.27 g NULL  238.092 46.795 21.558 0.213 0x00
OBS: 59399.27 g NULL  153.895 40.528 22.032 0.286 0x00
OBS: 59229.65 r NULL  269.447 38.852 21.424 0.157 0x00
OBS: 59317.38 r NULL  180.591 64.474 21.858 0.388 0x00
OBS: 59334.43 r NULL  312.863 104.190 21.262 0.362 0x00
OBS: 59380.34 r NULL  246.691 77.440 21.520 0.341 0x00
OBS: 59387.29 r NULL  498.249 152.167 20.756 0.332 0x00
OBS: 59389.30 r NULL  129.862 146.081 22.216 1.221 0x00
OBS: 59391.30 r NULL  280.404 55.064 21.381 0.213 0x00
OBS: 59394.27 r NULL  195.149 45.246 21.774 0.252 0x00
OBS: 59291.42 i NULL  212.320 76.880 21.683 0.393 0x00
OBS: 59296.45 i NULL  308.175 57.367 21.278 0.202 0x00
OBS: 59315.36 i NULL  145.185 112.022 22.095 0.838 0x00
OBS: 59323.35 i NULL  185.226 59.896 21.831 0.351 0x00
OBS: 59334.42 i NULL  104.284 100.876 22.454 1.050 0x00
OBS: 59387.29 i NULL  225.486 180.119 21.617 0.867 0x00
OBS: 59391.30 i NULL  330.544 51.943 21.202 0.171 0x00
OBS: 59394.28 i NULL  274.155 38.922 21.405 0.154 0x00
OBS: 59398.29 i NULL  50.181 159.204 23.249 3.445 0x01
OBS: 59399.28 i NULL  265.533 61.435 21.440 0.251 0x00
OBS: 59389.30 z NULL  77.771 208.013 22.773 2.904 0x00
OBS: 59396.27 z NULL  122.329 80.920 22.281 0.718 0x00
END:
