SURVEY:  PS1MD
SNID:  2021bh
otherID: 
IAUC:    UNKNOWN
RA:        60.7364600  deg
DECL:       -8.4691420  deg
MWEBV:    0.047 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021bh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0158
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.728 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 48
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59105.61 g NULL  24.424 65.143 24.030 2.896 0x00
OBS: 59107.55 g NULL  -38.748 44.847 nan -1.257 0x01
OBS: 59161.46 g NULL  -99.907 90.829 nan -0.987 0x01
OBS: 59167.47 g NULL  90.278 68.299 22.611 0.821 0x00
OBS: 59172.45 g NULL  114.523 50.854 22.353 0.482 0x00
OBS: 59190.41 g NULL  -20.793 55.454 nan -2.896 0x00
OBS: 59192.42 g NULL  69.278 35.951 22.899 0.563 0x00
OBS: 59198.38 g NULL  296.753 65.265 21.319 0.239 0x00
OBS: 59205.42 g NULL  342.597 76.506 21.163 0.242 0x00
OBS: 59220.32 g NULL  268.795 42.367 21.426 0.171 0x00
OBS: 59229.29 g NULL  128.013 55.130 22.232 0.468 0x00
OBS: 59498.60 g NULL  68.952 50.402 22.904 0.794 0x00
OBS: 59501.56 g NULL  5.097 42.137 25.732 8.976 0x00
OBS: 59516.53 g NULL  98.219 193.329 22.520 2.137 0x09
OBS: 59518.56 g NULL  -30.114 41.976 nan -1.513 0x00
OBS: 59105.61 r NULL  -57.970 50.948 nan -0.954 0x00
OBS: 59148.54 r NULL  -5.272 44.468 nan -9.158 0x00
OBS: 59158.49 r NULL  -79.796 54.067 nan -0.736 0x00
OBS: 59167.46 r NULL  -42.087 62.023 nan -1.600 0x00
OBS: 59188.44 r NULL  -57.737 66.767 nan -1.256 0x00
OBS: 59198.38 r NULL  164.097 61.967 21.962 0.410 0x00
OBS: 59213.28 r NULL  419.287 165.575 20.944 0.429 0x00
OBS: 59217.32 r NULL  425.770 62.178 20.927 0.159 0x01
OBS: 59244.34 r NULL  88.747 106.693 22.630 1.305 0x00
OBS: 59245.26 r NULL  151.008 45.190 22.053 0.325 0x00
OBS: 59267.24 r NULL  -18.782 82.464 nan -4.767 0x00
OBS: 59269.27 r NULL  459.302 135.561 20.845 0.320 0x00
OBS: 59498.60 r NULL  13.678 49.049 24.660 3.893 0x01
OBS: 59504.60 r NULL  61.038 80.902 23.036 1.439 0x00
OBS: 59505.52 r NULL  30.785 116.790 23.779 4.119 0x00
OBS: 59506.48 r NULL  -101.651 87.094 nan -0.930 0x00
OBS: 59513.48 r NULL  -83.020 64.082 nan -0.838 0x00
OBS: 59107.55 i NULL  78.944 52.303 22.757 0.719 0x00
OBS: 59123.58 i NULL  -1.462 -0.000 nan 0.000 0x00
OBS: 59172.46 i NULL  -54.919 65.565 nan -1.296 0x00
OBS: 59188.45 i NULL  17.937 67.644 24.366 4.095 0x00
OBS: 59190.42 i NULL  86.197 45.965 22.661 0.579 0x00
OBS: 59217.33 i NULL  403.633 54.810 20.985 0.147 0x01
OBS: 59220.33 i NULL  316.535 42.988 21.249 0.147 0x00
OBS: 59245.26 i NULL  272.258 51.949 21.413 0.207 0x00
OBS: 59267.24 i NULL  133.500 96.127 22.186 0.782 0x00
OBS: 59501.56 i NULL  -127.778 49.494 nan -0.421 0x00
OBS: 59504.59 i NULL  83.443 110.894 22.697 1.443 0x01
OBS: 59506.49 i NULL  -22.439 90.078 nan -4.359 0x00
OBS: 59518.56 i NULL  12.150 39.358 24.789 3.517 0x00
OBS: 59148.54 z NULL  111.996 101.086 22.377 0.980 0x00
OBS: 59158.49 z NULL  -94.621 100.553 nan -1.154 0x00
OBS: 59161.46 z NULL  -206.611 120.180 nan -0.632 0x00
OBS: 59192.42 z NULL  -7.573 73.819 nan -10.583 0x00
OBS: 59205.42 z NULL  157.281 87.184 22.008 0.602 0x00
OBS: 59213.29 z NULL  386.498 192.278 21.032 0.540 0x00
OBS: 59244.34 z NULL  8.004 127.524 25.242 17.299 0x00
OBS: 59269.27 z NULL  112.135 170.469 22.376 1.651 0x00
OBS: 59505.52 z NULL  -222.633 118.631 nan -0.579 0x00
OBS: 59513.48 z NULL  -145.046 102.646 nan -0.768 0x00
OBS: 59516.53 z NULL  -67.657 111.288 nan -1.786 0x01
END:
