SURVEY:  PS1MD
SNID:  2021cfi
otherID: 
IAUC:    UNKNOWN
RA:        194.8619790  deg
DECL:       -4.2816000  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021cfi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.062 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 112
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58870.59 g NULL  657.093 72.906 20.456 0.120 0x00
OBS: 58877.58 g NULL  585.510 68.330 20.581 0.127 0x00
OBS: 58882.60 g NULL  585.504 88.940 20.581 0.165 0x00
OBS: 58930.51 g NULL  719.255 119.055 20.358 0.180 0x00
OBS: 58937.42 g NULL  539.390 115.461 20.670 0.232 0x00
OBS: 58941.42 g NULL  497.897 98.399 20.757 0.215 0x00
OBS: 58956.45 g NULL  570.447 62.357 20.609 0.119 0x00
OBS: 58960.30 g NULL  707.004 59.311 20.376 0.091 0x00
OBS: 58965.42 g NULL  542.121 93.157 20.665 0.187 0x00
OBS: 58971.39 g NULL  714.954 86.058 20.364 0.131 0x00
OBS: 58982.28 g NULL  597.409 84.075 20.559 0.153 0x00
OBS: 58986.28 g NULL  695.963 52.731 20.394 0.082 0x00
OBS: 58988.27 g NULL  612.680 66.297 20.532 0.117 0x00
OBS: 58992.28 g NULL  616.820 57.223 20.525 0.101 0x01
OBS: 58995.27 g NULL  620.680 50.719 20.518 0.089 0x00
OBS: 59014.27 g NULL  720.488 58.530 20.356 0.088 0x00
OBS: 59016.28 g NULL  736.292 69.217 20.332 0.102 0x00
OBS: 59020.28 g NULL  577.074 112.818 20.597 0.212 0x00
OBS: 59042.27 g NULL  820.565 50.264 20.215 0.067 0x00
OBS: 59047.28 g NULL  743.657 70.126 20.322 0.102 0x00
OBS: 59198.63 g NULL  499.700 108.075 20.753 0.235 0x00
OBS: 59225.62 g NULL  664.702 134.377 20.443 0.219 0x00
OBS: 59229.59 g NULL  872.986 46.867 20.147 0.058 0x00
OBS: 59231.61 g NULL  852.658 76.277 20.173 0.097 0x00
OBS: 59257.58 g NULL  1209.095 56.027 19.794 0.050 0x00
OBS: 59261.57 g NULL  1069.101 47.330 19.927 0.048 0x00
OBS: 59288.47 g NULL  801.859 61.535 20.240 0.083 0x00
OBS: 59296.45 g NULL  904.349 99.080 20.109 0.119 0x00
OBS: 59316.43 g NULL  1024.614 73.502 19.974 0.078 0x00
OBS: 59319.36 g NULL  1020.898 67.106 19.978 0.071 0x00
OBS: 59322.41 g NULL  1167.307 66.945 19.832 0.062 0x00
OBS: 59338.29 g NULL  996.782 89.590 20.003 0.098 0x00
OBS: 59343.27 g NULL  1072.515 51.679 19.924 0.052 0x00
OBS: 59350.27 g NULL  907.400 97.380 20.106 0.117 0x00
OBS: 59366.40 g NULL  1126.626 69.261 19.871 0.067 0x01
OBS: 59370.27 g NULL  1136.565 62.731 19.861 0.060 0x00
OBS: 58930.52 r NULL  1207.696 380.618 19.795 0.342 0x00
OBS: 58937.42 r NULL  540.080 85.426 20.669 0.172 0x00
OBS: 58943.36 r NULL  135.318 179.319 22.172 1.439 0x00
OBS: 58950.40 r NULL  278.467 155.657 21.388 0.607 0x00
OBS: 58960.30 r NULL  556.722 50.277 20.636 0.098 0x00
OBS: 58979.34 r NULL  368.242 74.484 21.085 0.220 0x00
OBS: 58986.27 r NULL  503.664 57.178 20.745 0.123 0x00
OBS: 59004.36 r NULL  436.286 189.765 20.901 0.472 0x00
OBS: 59007.28 r NULL  606.063 67.729 20.544 0.121 0x00
OBS: 59010.28 r NULL  646.588 49.419 20.473 0.083 0x00
OBS: 59032.27 r NULL  645.111 165.660 20.476 0.279 0x00
OBS: 59036.28 r NULL  796.090 86.482 20.248 0.118 0x00
OBS: 59039.30 r NULL  704.000 81.554 20.381 0.126 0x00
OBS: 59209.63 r NULL  438.737 63.032 20.894 0.156 0x00
OBS: 59213.66 r NULL  301.880 113.945 21.300 0.410 0x00
OBS: 59216.64 r NULL  702.323 184.068 20.384 0.285 0x00
OBS: 59238.56 r NULL  876.457 91.337 20.143 0.113 0x01
OBS: 59243.57 r NULL  797.616 134.419 20.246 0.183 0x00
OBS: 59244.63 r NULL  841.158 172.742 20.188 0.223 0x00
OBS: 59257.58 r NULL  954.634 46.750 20.050 0.053 0x00
OBS: 59261.57 r NULL  906.760 51.665 20.106 0.062 0x00
OBS: 59269.52 r NULL  813.029 118.753 20.225 0.159 0x00
OBS: 59277.53 r NULL  650.909 76.510 20.466 0.128 0x00
OBS: 59288.48 r NULL  735.196 66.525 20.334 0.098 0x00
OBS: 59305.52 r NULL  896.495 122.787 20.119 0.149 0x00
OBS: 59316.42 r NULL  785.124 77.622 20.263 0.107 0x00
OBS: 59322.41 r NULL  966.237 51.611 20.037 0.058 0x00
OBS: 59333.31 r NULL  916.264 79.402 20.095 0.094 0x00
OBS: 59336.43 r NULL  967.430 93.717 20.036 0.105 0x00
OBS: 59350.26 r NULL  891.669 84.805 20.124 0.103 0x00
OBS: 59360.33 r NULL  687.403 149.184 20.407 0.236 0x00
OBS: 59362.35 r NULL  832.187 85.643 20.199 0.112 0x00
OBS: 59364.37 r NULL  965.358 51.041 20.038 0.057 0x00
OBS: 58870.59 i NULL  553.912 70.836 20.641 0.139 0x00
OBS: 58877.58 i NULL  701.107 79.529 20.386 0.123 0x00
OBS: 58941.42 i NULL  713.916 88.834 20.366 0.135 0x00
OBS: 58950.39 i NULL  611.305 117.525 20.534 0.209 0x00
OBS: 58956.45 i NULL  478.918 73.489 20.799 0.167 0x00
OBS: 58965.42 i NULL  533.239 98.972 20.683 0.202 0x00
OBS: 58971.39 i NULL  455.412 74.367 20.854 0.177 0x00
OBS: 58982.29 i NULL  616.827 78.096 20.525 0.137 0x00
OBS: 58988.27 i NULL  596.928 99.384 20.560 0.181 0x00
OBS: 58995.28 i NULL  771.050 72.125 20.282 0.102 0x00
OBS: 59004.36 i NULL  423.165 181.119 20.934 0.465 0x00
OBS: 59010.28 i NULL  736.026 70.033 20.333 0.103 0x00
OBS: 59014.27 i NULL  809.639 71.514 20.229 0.096 0x00
OBS: 59020.28 i NULL  723.873 251.942 20.351 0.378 0x00
OBS: 59039.29 i NULL  1024.371 80.770 19.974 0.086 0x00
OBS: 59047.28 i NULL  983.831 99.367 20.018 0.110 0x00
OBS: 59198.64 i NULL  787.743 124.695 20.259 0.172 0x00
OBS: 59206.64 i NULL  669.237 62.587 20.436 0.102 0x01
OBS: 59213.65 i NULL  550.665 97.837 20.648 0.193 0x00
OBS: 59216.64 i NULL  436.050 172.749 20.901 0.430 0x00
OBS: 59225.62 i NULL  722.918 119.853 20.352 0.180 0x00
OBS: 59229.59 i NULL  774.146 99.806 20.278 0.140 0x09
OBS: 59231.61 i NULL  821.956 63.218 20.213 0.084 0x00
OBS: 59243.56 i NULL  831.112 104.116 20.201 0.136 0x00
OBS: 59254.58 i NULL  555.394 234.559 20.638 0.459 0x00
OBS: 59277.53 i NULL  1036.497 85.922 19.961 0.090 0x00
OBS: 59296.46 i NULL  884.129 82.478 20.134 0.101 0x00
OBS: 59319.36 i NULL  928.169 69.842 20.081 0.082 0x00
OBS: 59333.32 i NULL  1142.519 96.742 19.855 0.092 0x00
OBS: 59338.29 i NULL  951.360 100.126 20.054 0.114 0x00
OBS: 59343.27 i NULL  1070.557 70.407 19.926 0.071 0x00
OBS: 59362.35 i NULL  1082.759 94.097 19.914 0.094 0x00
OBS: 59366.40 i NULL  1254.844 72.019 19.754 0.062 0x01
OBS: 59370.27 i NULL  1040.744 83.748 19.957 0.087 0x00
OBS: 58882.60 z NULL  391.440 103.083 21.018 0.286 0x00
OBS: 58943.37 z NULL  -559.234 335.225 nan -0.651 0x00
OBS: 58979.34 z NULL  241.301 134.376 21.544 0.605 0x00
OBS: 59007.28 z NULL  378.808 97.513 21.054 0.279 0x00
OBS: 59032.27 z NULL  513.578 124.442 20.723 0.263 0x00
OBS: 59036.28 z NULL  494.426 112.392 20.765 0.247 0x00
OBS: 59042.27 z NULL  459.872 103.867 20.843 0.245 0x00
OBS: 59209.63 z NULL  207.050 122.302 21.710 0.641 0x00
OBS: 59238.57 z NULL  476.231 164.030 20.805 0.374 0x00
OBS: 59244.62 z NULL  632.021 161.084 20.498 0.277 0x00
OBS: 59269.52 z NULL  703.018 157.246 20.383 0.243 0x00
OBS: 59305.53 z NULL  772.281 169.285 20.281 0.238 0x00
OBS: 59336.42 z NULL  769.755 178.626 20.284 0.252 0x00
OBS: 59360.32 z NULL  852.970 167.979 20.173 0.214 0x00
OBS: 59364.37 z NULL  772.888 116.587 20.280 0.164 0x00
END:
