SURVEY:  PS1MD
SNID:  2021cmo
otherID: 
IAUC:    UNKNOWN
RA:        246.5594210  deg
DECL:       24.9969660  deg
MWEBV:    0.041 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021cmo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0065
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.907 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 189
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58937.62 g NULL  -194.456 156.152 nan -0.872 0x00
OBS: 58941.54 g NULL  -106.949 61.995 nan -0.629 0x00
OBS: 58955.48 g NULL  -1.266 77.882 nan -66.793 0x00
OBS: 58958.58 g NULL  9.577 45.892 25.047 5.203 0x00
OBS: 58968.55 g NULL  -26.575 44.012 nan -1.798 0x01
OBS: 58971.41 g NULL  73.620 62.909 22.833 0.928 0x00
OBS: 58983.52 g NULL  -4.103 52.701 nan -13.946 0x00
OBS: 58985.39 g NULL  4.761 51.521 25.806 11.749 0x00
OBS: 58993.38 g NULL  62.494 82.988 23.010 1.442 0x00
OBS: 58995.47 g NULL  -7.824 60.185 nan -8.352 0x00
OBS: 58999.49 g NULL  -79.387 49.392 nan -0.676 0x00
OBS: 59013.46 g NULL  54.439 93.324 23.160 1.861 0x00
OBS: 59016.44 g NULL  -1.555 55.457 nan -38.721 0x00
OBS: 59019.48 g NULL  153.119 98.551 22.037 0.699 0x00
OBS: 59028.29 g NULL  65.674 50.761 22.957 0.839 0x00
OBS: 59043.36 g NULL  109.952 45.115 22.397 0.445 0x00
OBS: 59052.40 g NULL  -10.146 48.771 nan -5.219 0x00
OBS: 59055.33 g NULL  -35.523 55.370 nan -1.692 0x00
OBS: 59071.29 g NULL  -61.369 52.455 nan -0.928 0x00
OBS: 59077.27 g NULL  18.401 49.098 24.338 2.897 0x00
OBS: 59079.26 g NULL  36.382 41.711 23.598 1.245 0x00
OBS: 59082.30 g NULL  12.819 71.439 24.730 6.051 0x01
OBS: 59083.26 g NULL  -1.620 76.884 nan -51.528 0x00
OBS: 59102.25 g NULL  16.172 55.501 24.478 3.726 0x00
OBS: 59106.25 g NULL  73.485 37.671 22.835 0.557 0x00
OBS: 59108.24 g NULL  -14.485 44.046 nan -3.302 0x00
OBS: 59113.23 g NULL  43.705 404.669 23.399 10.053 0x00
OBS: 59117.23 g NULL  -131.816 114.238 nan -0.941 0x00
OBS: 59131.23 g NULL  -66.512 94.866 nan -1.549 0x00
OBS: 59136.22 g NULL  -53.162 65.756 nan -1.343 0x00
OBS: 59139.22 g NULL  -30.803 68.017 nan -2.397 0x00
OBS: 59144.22 g NULL  -96.904 145.013 nan -1.625 0x00
OBS: 59292.50 g NULL  221.067 58.368 21.639 0.287 0x00
OBS: 59313.62 g NULL  97.338 39.853 22.529 0.445 0x00
OBS: 59314.48 g NULL  147.382 39.417 22.079 0.290 0x09
OBS: 59318.49 g NULL  72.798 56.118 22.845 0.837 0x01
OBS: 59321.48 g NULL  120.714 47.616 22.296 0.428 0x00
OBS: 59337.55 g NULL  -4.280 141.232 nan -35.827 0x00
OBS: 59343.40 g NULL  122.358 62.096 22.281 0.551 0x00
OBS: 59347.54 g NULL  65.916 61.900 22.953 1.020 0x00
OBS: 59368.37 g NULL  108.937 85.792 22.407 0.855 0x00
OBS: 59372.46 g NULL  107.386 46.737 22.423 0.473 0x00
OBS: 59375.43 g NULL  -83.273 68.745 nan -0.896 0x00
OBS: 59379.31 g NULL  28.088 45.311 23.879 1.751 0x00
OBS: 59382.29 g NULL  -52.745 50.052 nan -1.030 0x00
OBS: 59383.29 g NULL  -5.059 80.275 nan -17.228 0x00
OBS: 59384.27 g NULL  -41.706 96.557 nan -2.514 0x00
OBS: 59398.41 g NULL  -36.992 92.225 nan -2.707 0x00
OBS: 59399.40 g NULL  18.469 43.642 24.334 2.566 0x00
OBS: 59408.39 g NULL  18.046 33.856 24.359 2.037 0x00
OBS: 59412.38 g NULL  52.954 97.897 23.190 2.007 0x00
OBS: 59429.28 g NULL  -5.679 54.469 nan -10.414 0x00
OBS: 59431.33 g NULL  -14.974 49.743 nan -3.607 0x01
OBS: 59435.27 g NULL  94.831 45.867 22.558 0.525 0x00
OBS: 59437.26 g NULL  90.223 86.851 22.612 1.045 0x00
OBS: 59439.26 g NULL  9.994 85.887 25.001 9.331 0x00
OBS: 59441.26 g NULL  -7.999 72.698 nan -9.868 0x00
OBS: 58918.61 r NULL  55.618 86.397 23.137 1.687 0x00
OBS: 58950.60 r NULL  -79.670 107.160 nan -1.460 0x00
OBS: 58973.45 r NULL  -38.323 56.321 nan -1.596 0x00
OBS: 58974.43 r NULL  -7.802 106.345 nan -14.799 0x00
OBS: 58976.43 r NULL  -146.959 238.212 nan -1.760 0x01
OBS: 58993.38 r NULL  -31.767 36.456 nan -1.246 0x00
OBS: 59003.45 r NULL  -25.986 91.077 nan -3.805 0x01
OBS: 59007.31 r NULL  7.095 88.280 25.373 13.509 0x00
OBS: 59009.35 r NULL  41.727 46.405 23.449 1.207 0x00
OBS: 59016.45 r NULL  66.334 35.839 22.946 0.587 0x00
OBS: 59030.39 r NULL  62.865 50.323 23.004 0.869 0x00
OBS: 59031.29 r NULL  -124.528 85.263 nan -0.743 0x00
OBS: 59034.28 r NULL  101.685 96.812 22.482 1.034 0x00
OBS: 59037.38 r NULL  3.652 78.377 26.094 23.301 0x00
OBS: 59040.37 r NULL  10.965 37.220 24.900 3.685 0x00
OBS: 59055.33 r NULL  -61.827 62.557 nan -1.099 0x00
OBS: 59059.38 r NULL  136.061 169.983 22.166 1.356 0x09
OBS: 59062.37 r NULL  14.760 67.400 24.577 4.958 0x00
OBS: 59065.30 r NULL  -60.203 66.291 nan -1.196 0x00
OBS: 59069.35 r NULL  -75.463 47.264 nan -0.680 0x00
OBS: 59079.26 r NULL  12.032 33.111 24.799 2.988 0x00
OBS: 59083.27 r NULL  -86.527 58.501 nan -0.734 0x00
OBS: 59096.26 r NULL  -35.330 60.908 nan -1.872 0x00
OBS: 59098.31 r NULL  -6.085 54.355 nan -9.698 0x00
OBS: 59108.25 r NULL  11.839 48.729 24.817 4.469 0x00
OBS: 59119.24 r NULL  131.219 84.811 22.205 0.702 0x00
OBS: 59122.23 r NULL  -5.458 129.472 nan -25.755 0x00
OBS: 59128.22 r NULL  -147.361 98.066 nan -0.723 0x01
OBS: 59136.22 r NULL  136.241 79.844 22.164 0.636 0x00
OBS: 59148.21 r NULL  -71.337 69.859 nan -1.063 0x00
OBS: 59270.60 r NULL  1567.281 161.449 19.512 0.112 0x00
OBS: 59299.55 r NULL  409.943 58.385 20.968 0.155 0x00
OBS: 59300.51 r NULL  479.682 578.642 20.798 1.310 0x00
OBS: 59303.52 r NULL  348.889 87.856 21.143 0.273 0x00
OBS: 59304.52 r NULL  537.866 194.274 20.673 0.392 0x01
OBS: 59306.47 r NULL  274.063 64.286 21.405 0.255 0x00
OBS: 59321.47 r NULL  259.212 42.155 21.466 0.177 0x00
OBS: 59326.43 r NULL  223.953 95.378 21.625 0.462 0x00
OBS: 59327.45 r NULL  239.917 70.391 21.550 0.319 0x00
OBS: 59331.41 r NULL  717.354 219.896 20.361 0.333 0x00
OBS: 59347.55 r NULL  220.827 67.228 21.640 0.331 0x09
OBS: 59357.37 r NULL  232.035 103.890 21.586 0.486 0x00
OBS: 59358.37 r NULL  223.824 121.658 21.625 0.590 0x00
OBS: 59360.38 r NULL  199.767 154.168 21.749 0.838 0x00
OBS: 59363.49 r NULL  264.316 81.831 21.445 0.336 0x00
OBS: 59365.36 r NULL  13.721 43.831 24.657 3.468 0x00
OBS: 59375.43 r NULL  192.996 64.568 21.786 0.363 0x00
OBS: 59385.27 r NULL  85.507 100.592 22.670 1.277 0x00
OBS: 59386.32 r NULL  -15.421 203.553 nan -14.331 0x00
OBS: 59388.30 r NULL  1.833 85.990 26.842 50.934 0x00
OBS: 59391.41 r NULL  -19.000 65.743 nan -3.757 0x00
OBS: 59394.40 r NULL  35.492 36.633 23.625 1.121 0x00
OBS: 59399.40 r NULL  72.479 37.995 22.849 0.569 0x00
OBS: 59408.39 r NULL  58.264 40.180 23.086 0.749 0x00
OBS: 59414.34 r NULL  -133.881 124.471 nan -1.009 0x00
OBS: 59416.31 r NULL  -58.029 289.271 nan -5.412 0x00
OBS: 59422.33 r NULL  120.801 242.654 22.295 2.181 0x00
OBS: 59429.28 r NULL  -31.838 64.174 nan -2.188 0x00
OBS: 59435.27 r NULL  30.878 50.835 23.776 1.787 0x00
OBS: 59439.26 r NULL  128.490 97.735 22.228 0.826 0x00
OBS: 59444.26 r NULL  122.622 89.649 22.279 0.794 0x00
OBS: 59450.30 r NULL  -14.460 90.668 nan -6.808 0x00
OBS: 58918.61 i NULL  -44.256 73.555 nan -1.805 0x00
OBS: 58937.63 i NULL  2.667 56.934 26.435 23.178 0x00
OBS: 58958.59 i NULL  -48.974 47.240 nan -1.047 0x00
OBS: 58973.45 i NULL  65.987 59.181 22.951 0.974 0x00
OBS: 58981.40 i NULL  50.142 50.109 23.249 1.085 0x00
OBS: 58983.53 i NULL  -43.512 53.192 nan -1.327 0x00
OBS: 58995.47 i NULL  10.115 56.838 24.988 6.101 0x00
OBS: 59007.30 i NULL  30.141 81.366 23.802 2.931 0x00
OBS: 59019.48 i NULL  -32.019 116.129 nan -3.938 0x00
OBS: 59028.30 i NULL  9.404 38.023 25.067 4.390 0x00
OBS: 59031.29 i NULL  -33.537 82.285 nan -2.664 0x00
OBS: 59037.39 i NULL  -36.807 58.744 nan -1.733 0x00
OBS: 59052.40 i NULL  17.793 47.788 24.374 2.916 0x00
OBS: 59065.30 i NULL  40.283 56.506 23.487 1.523 0x00
OBS: 59069.34 i NULL  -40.996 44.565 nan -1.180 0x00
OBS: 59071.29 i NULL  -33.590 62.937 nan -2.034 0x00
OBS: 59077.27 i NULL  -65.021 51.559 nan -0.861 0x00
