SURVEY:  PS1MD
SNID:  2021csn
otherID: 
IAUC:    UNKNOWN
RA:        156.8350370  deg
DECL:       3.9325220  deg
MWEBV:    0.035 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021csn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0171
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.356 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 38
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58871.58 r NULL  108.627 59.783 22.410 0.598 0x00
OBS: 58878.49 r NULL  53.023 107.147 23.189 2.194 0x00
OBS: 58947.32 r NULL  143.981 187.658 22.104 1.415 0x00
OBS: 58974.32 r NULL  87.283 134.285 22.648 1.670 0x00
OBS: 58980.36 r NULL  4.320 50.085 25.911 12.588 0x00
OBS: 58986.26 r NULL  10.952 59.637 24.901 5.912 0x00
OBS: 59004.28 r NULL  370.287 153.587 21.079 0.450 0x00
OBS: 59008.27 r NULL  1.404 59.700 27.132 46.167 0x00
OBS: 59010.27 r NULL  120.732 105.200 22.295 0.946 0x00
OBS: 59017.27 r NULL  14.152 66.580 24.623 5.108 0x00
OBS: 59167.64 r NULL  -94.120 69.433 nan -0.801 0x00
OBS: 59181.64 r NULL  83.712 105.137 22.693 1.364 0x00
OBS: 59200.58 r NULL  24.670 89.231 24.020 3.927 0x01
OBS: 59207.59 r NULL  -7.097 46.504 nan -7.114 0x00
OBS: 59212.63 r NULL  -80.691 91.391 nan -1.230 0x00
OBS: 59226.55 r NULL  141.844 50.492 22.120 0.386 0x00
OBS: 59252.43 r NULL  373.931 51.278 21.068 0.149 0x00
OBS: 59258.52 r NULL  235.769 106.338 21.569 0.490 0x01
OBS: 58837.63 i NULL  100.562 87.657 22.494 0.946 0x00
OBS: 58849.62 i NULL  -43.818 35.233 nan -0.873 0x00
OBS: 58875.47 i NULL  52.907 84.603 23.191 1.736 0x00
OBS: 58882.48 i NULL  10.849 69.879 24.912 6.993 0x00
OBS: 58932.34 i NULL  -79.059 62.492 nan -0.858 0x01
OBS: 58957.37 i NULL  -268.328 204.335 nan -0.827 0x00
OBS: 58989.28 i NULL  -54.383 63.813 nan -1.274 0x00
OBS: 59004.27 i NULL  213.407 216.657 21.677 1.102 0x00
OBS: 59008.28 i NULL  93.917 66.136 22.568 0.765 0x00
OBS: 59020.27 i NULL  1017.782 1103.047 19.981 1.177 0x00
OBS: 59172.63 i NULL  93.475 138.534 22.573 1.609 0x09
OBS: 59193.64 i NULL  -12.134 57.888 nan -5.180 0x00
OBS: 59207.59 i NULL  1.586 53.285 26.999 36.478 0x00
OBS: 59222.51 i NULL  84.485 49.998 22.683 0.643 0x00
OBS: 59230.60 i NULL  191.006 62.663 21.797 0.356 0x00
OBS: 59256.47 i NULL  381.372 52.379 21.047 0.149 0x00
OBS: 58919.37 z NULL  -5.650 173.315 nan -33.305 0x00
OBS: 58974.32 z NULL  -43.842 157.581 nan -3.902 0x00
OBS: 58980.36 z NULL  212.983 198.020 21.679 1.009 0x09
OBS: 58982.28 z NULL  -107.149 95.189 nan -0.965 0x00
OBS: 59010.27 z NULL  -115.818 153.529 nan -1.439 0x00
OBS: 59181.64 z NULL  -68.273 142.239 nan -2.262 0x00
OBS: 59212.63 z NULL  -93.826 102.302 nan -1.184 0x00
OBS: 59236.65 z NULL  245.527 155.304 21.525 0.687 0x00
OBS: 59531.64 z NULL  44.485 86.733 23.379 2.117 0x00
END:
