SURVEY:  PS1MD
SNID:  2021cta
otherID: 
IAUC:    UNKNOWN
RA:        130.3620000  deg
DECL:       44.1461810  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021cta.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.237 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 52
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59140.63 g NULL  -68.434 113.457 nan -1.800 0x00
OBS: 59145.60 g NULL  48.923 44.926 23.276 0.997 0x00
OBS: 59147.61 g NULL  15.306 51.218 24.538 3.633 0x00
OBS: 59169.60 g NULL  70.372 62.532 22.882 0.965 0x00
OBS: 59190.60 g NULL  -8.676 67.876 nan -8.494 0x01
OBS: 59194.64 g NULL  63.934 62.898 22.986 1.068 0x00
OBS: 59198.57 g NULL  -161.396 137.866 nan -0.927 0x01
OBS: 59219.43 g NULL  49.783 51.978 23.257 1.134 0x00
OBS: 59221.48 g NULL  100.415 48.928 22.496 0.529 0x00
OBS: 59235.46 g NULL  124.499 200.831 22.262 1.751 0x01
OBS: 59255.36 g NULL  323.535 82.998 21.225 0.279 0x00
OBS: 59261.38 g NULL  1827.041 51.696 19.346 0.031 0x00
OBS: 59491.63 g NULL  34.845 52.609 23.645 1.639 0x00
OBS: 59494.63 g NULL  -150.568 116.052 nan -0.837 0x00
OBS: 59526.62 g NULL  117.160 80.199 22.328 0.743 0x00
OBS: 59154.60 r NULL  48.393 118.060 23.288 2.649 0x00
OBS: 59156.63 r NULL  15.583 124.801 24.518 8.695 0x00
OBS: 59169.60 r NULL  116.611 60.068 22.333 0.559 0x00
OBS: 59184.54 r NULL  -71.111 106.784 nan -1.630 0x00
OBS: 59194.64 r NULL  14.239 47.599 24.616 3.629 0x00
OBS: 59198.57 r NULL  173.771 97.855 21.900 0.611 0x00
OBS: 59208.54 r NULL  -2.880 58.308 nan -21.982 0x00
OBS: 59217.50 r NULL  32.524 71.962 23.719 2.402 0x00
OBS: 59218.53 r NULL  -107.224 57.899 nan -0.586 0x00
OBS: 59245.53 r NULL  -86.272 121.434 nan -1.528 0x00
OBS: 59255.36 r NULL  485.466 66.768 20.785 0.149 0x00
OBS: 59261.38 r NULL  1888.750 70.347 19.310 0.040 0x00
OBS: 59480.62 r NULL  10.427 116.339 24.955 12.114 0x00
OBS: 59484.63 r NULL  215.864 109.010 21.665 0.548 0x00
OBS: 59491.63 r NULL  -153.763 49.657 nan -0.351 0x00
OBS: 59504.60 r NULL  14.393 91.470 24.605 6.900 0x00
OBS: 59507.59 r NULL  -5.154 82.772 nan -17.437 0x00
OBS: 59508.62 r NULL  169.580 77.263 21.927 0.495 0x00
OBS: 59510.58 r NULL  -92.944 96.609 nan -1.129 0x00
OBS: 59140.63 i NULL  68.606 93.872 22.909 1.486 0x00
OBS: 59145.60 i NULL  -24.880 36.043 nan -1.573 0x00
OBS: 59154.61 i NULL  0.916 112.515 27.595 133.364 0x00
OBS: 59184.54 i NULL  70.344 89.524 22.882 1.382 0x00
OBS: 59190.61 i NULL  -43.824 42.613 nan -1.056 0x00
OBS: 59217.50 i NULL  48.541 110.775 23.285 2.478 0x00
OBS: 59219.43 i NULL  -93.235 79.161 nan -0.922 0x01
OBS: 59494.63 i NULL  -79.820 132.982 nan -1.809 0x00
OBS: 59504.60 i NULL  -36.041 88.827 nan -2.676 0x00
OBS: 59508.62 i NULL  56.898 88.589 23.112 1.690 0x00
OBS: 59510.58 i NULL  32.728 73.009 23.713 2.422 0x00
OBS: 59531.57 i NULL  721.703 533.660 20.354 0.803 0x00
OBS: 59147.61 z NULL  -35.185 97.974 nan -3.023 0x00
OBS: 59156.63 z NULL  -119.186 123.298 nan -1.123 0x00
OBS: 59208.54 z NULL  -91.010 93.107 nan -1.111 0x00
OBS: 59218.53 z NULL  66.481 97.308 22.943 1.589 0x00
OBS: 59221.48 z NULL  -28.940 95.162 nan -3.570 0x00
OBS: 59245.53 z NULL  -49.084 121.186 nan -2.681 0x00
OBS: 59474.62 z NULL  168.920 173.363 21.931 1.114 0x00
OBS: 59480.62 z NULL  130.543 152.461 22.211 1.268 0x00
OBS: 59484.63 z NULL  -102.990 232.510 nan -2.451 0x00
OBS: 59507.60 z NULL  44.799 101.445 23.372 2.459 0x00
END:
