SURVEY:  PS1MD
SNID:  2021cte
otherID: 
IAUC:    UNKNOWN
RA:        224.8663280  deg
DECL:       37.7079890  deg
MWEBV:    0.012 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021cte.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0020
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.415 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 125
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.66 g NULL  38.100 59.394 23.548 1.693 0x01
OBS: 58873.62 g NULL  -36.030 46.731 nan -1.408 0x00
OBS: 58877.64 g NULL  -134.388 91.658 nan -0.741 0x00
OBS: 58929.54 g NULL  44.963 40.942 23.368 0.989 0x00
OBS: 58956.47 g NULL  153.674 80.484 22.033 0.569 0x00
OBS: 58958.52 g NULL  14.258 58.781 24.615 4.476 0x00
OBS: 58960.46 g NULL  42.836 55.717 23.420 1.412 0x00
OBS: 58965.49 g NULL  -42.754 87.495 nan -2.222 0x01
OBS: 58969.38 g NULL  -103.986 157.998 nan -1.650 0x00
OBS: 58971.41 g NULL  -30.083 63.650 nan -2.297 0x00
OBS: 58987.38 g NULL  -94.202 92.431 nan -1.065 0x00
OBS: 58992.29 g NULL  -3.065 63.191 nan -22.385 0x00
OBS: 58999.37 g NULL  11.028 41.262 24.894 4.062 0x00
OBS: 59014.42 g NULL  11.420 55.990 24.856 5.323 0x01
OBS: 59017.29 g NULL  -31.475 91.304 nan -3.150 0x01
OBS: 59021.29 g NULL  35.506 44.245 23.624 1.353 0x00
OBS: 59022.29 g NULL  4.062 115.338 25.978 30.829 0x00
OBS: 59026.29 g NULL  166.854 144.241 21.944 0.939 0x00
