SURVEY:  PS1MD
SNID:  2021dcj
otherID: 
IAUC:    UNKNOWN
RA:        133.4466040  deg
DECL:       -0.9822000  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021dcj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0024
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.546 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 34
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58814.61 g NULL  -36.119 48.179 nan -1.448 0x00
OBS: 58817.62 g NULL  -319.600 133.509 nan -0.454 0x00
OBS: 58820.61 g NULL  -22.625 58.046 nan -2.786 0x00
OBS: 59220.56 g NULL  65.749 46.724 22.955 0.772 0x00
OBS: 59222.51 g NULL  17.670 40.455 24.382 2.486 0x00
OBS: 59228.48 g NULL  26.763 105.748 23.931 4.290 0x00
OBS: 59256.35 g NULL  881.126 65.107 20.137 0.080 0x01
OBS: 59262.41 g NULL  872.197 50.588 20.148 0.063 0x00
OBS: 59278.49 g NULL  1446.800 726.829 19.599 0.545 0x00
OBS: 59288.28 g NULL  170.677 76.525 21.920 0.487 0x00
OBS: 59293.29 g NULL  134.685 98.264 22.177 0.792 0x00
OBS: 59295.29 g NULL  472.023 167.595 20.815 0.385 0x00
OBS: 59312.24 g NULL  -4.521 77.734 nan -18.668 0x00
OBS: 59315.25 g NULL  138.350 49.018 22.148 0.385 0x00
OBS: 58817.63 r NULL  -153.047 106.197 nan -0.753 0x00
OBS: 58829.58 r NULL  -145.989 116.614 nan -0.867 0x00
OBS: 59208.55 r NULL  40.935 43.803 23.470 1.162 0x00
OBS: 59213.59 r NULL  -260.794 130.121 nan -0.542 0x00
OBS: 59228.48 r NULL  -157.158 79.144 nan -0.547 0x00
OBS: 59288.31 r NULL  381.850 68.501 21.045 0.195 0x00
OBS: 59301.32 r NULL  641.448 334.012 20.482 0.565 0x00
OBS: 59304.29 r NULL  294.771 76.471 21.326 0.282 0x00
OBS: 59305.25 r NULL  253.783 50.843 21.489 0.218 0x00
OBS: 59306.34 r NULL  196.259 72.455 21.768 0.401 0x01
OBS: 59315.25 r NULL  53.125 57.094 23.187 1.167 0x00
OBS: 58814.61 i NULL  -38.368 65.424 nan -1.851 0x00
OBS: 58820.61 i NULL  96.053 55.674 22.544 0.629 0x00
OBS: 59208.55 i NULL  -36.790 59.248 nan -1.749 0x00
OBS: 59222.51 i NULL  -17.299 51.156 nan -3.211 0x01
OBS: 59256.35 i NULL  799.148 120.347 20.243 0.164 0x09
OBS: 59262.40 i NULL  936.662 52.951 20.071 0.061 0x01
OBS: 59278.49 i NULL  547.898 337.527 20.653 0.669 0x00
OBS: 59295.29 i NULL  462.963 129.767 20.836 0.304 0x00
OBS: 59305.24 i NULL  342.079 72.483 21.165 0.230 0x00
OBS: 59312.25 i NULL  293.383 98.899 21.331 0.366 0x00
OBS: 59322.25 i NULL  73.663 105.309 22.832 1.552 0x09
OBS: 58829.58 z NULL  29.388 98.552 23.830 3.641 0x00
OBS: 59213.59 z NULL  13.079 144.233 24.709 11.973 0x00
OBS: 59293.30 z NULL  176.076 259.471 21.886 1.600 0x00
OBS: 59304.29 z NULL  607.596 149.839 20.541 0.268 0x00
END:
