SURVEY:  PS1MD
SNID:  2021dda
otherID: 
IAUC:    UNKNOWN
RA:        184.7961830  deg
DECL:       6.1480230  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021dda.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.259 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 124
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58956.44 g NULL  -63.541 110.915 nan -1.895 0x00
OBS: 58959.34 g NULL  25.673 47.422 23.976 2.006 0x00
OBS: 58967.49 g NULL  80.584 78.536 22.734 1.058 0x00
OBS: 58970.31 g NULL  16.391 79.240 24.463 5.249 0x00
OBS: 58983.28 g NULL  54.715 100.285 23.155 1.990 0x00
OBS: 58986.27 g NULL  39.005 52.335 23.522 1.457 0x00
OBS: 58994.27 g NULL  -66.644 57.585 nan -0.938 0x00
OBS: 59018.32 g NULL  -176.625 79.926 nan -0.491 0x00
OBS: 59022.28 g NULL  30.358 45.556 23.794 1.629 0x00
OBS: 59044.27 g NULL  3.736 80.519 26.069 23.400 0x00
OBS: 59048.28 g NULL  -4.569 80.868 nan -19.217 0x00
OBS: 59195.58 g NULL  -11.817 59.837 nan -5.498 0x00
OBS: 59204.66 g NULL  56.661 86.657 23.117 1.661 0x00
OBS: 59222.59 g NULL  75.331 45.872 22.808 0.661 0x00
OBS: 59228.63 g NULL  -66.738 82.803 nan -1.347 0x00
OBS: 59262.57 g NULL  2589.637 78.096 18.967 0.033 0x00
OBS: 59292.40 g NULL  1183.599 65.223 19.817 0.060 0x00
OBS: 59295.42 g NULL  991.913 92.259 20.009 0.101 0x00
OBS: 59311.35 g NULL  309.484 48.694 21.273 0.171 0x09
OBS: 59316.43 g NULL  220.363 96.972 21.642 0.478 0x00
OBS: 59319.36 g NULL  403.895 60.342 20.984 0.162 0x00
OBS: 59338.28 g NULL  234.476 75.789 21.575 0.351 0x00
OBS: 59344.26 g NULL  65.650 43.773 22.957 0.724 0x00
OBS: 59346.28 g NULL  228.852 39.629 21.601 0.188 0x00
OBS: 59349.31 g NULL  218.027 53.501 21.654 0.266 0x00
OBS: 59351.26 g NULL  193.904 131.352 21.781 0.735 0x00
OBS: 59353.37 g NULL  263.716 82.292 21.447 0.339 0x00
OBS: 59367.33 g NULL  87.548 44.133 22.644 0.547 0x00
OBS: 59371.33 g NULL  101.131 72.823 22.488 0.782 0x00
OBS: 59374.32 g NULL  165.477 44.624 21.953 0.293 0x00
