SURVEY:  PS1MD
SNID:  2021dk
otherID: 
IAUC:    UNKNOWN
RA:        209.9644620  deg
DECL:       35.7567360  deg
MWEBV:    0.010 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021dk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.891 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 155
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58869.66 g NULL  -8.087 -0.000 nan 0.000 0x00
OBS: 58873.62 g NULL  122.114 53.107 22.283 0.472 0x00
OBS: 58877.65 g NULL  110.453 67.464 22.392 0.663 0x00
OBS: 58932.62 g NULL  44.836 71.886 23.371 1.741 0x00
OBS: 58934.50 g NULL  326.441 150.886 21.215 0.502 0x00
OBS: 58957.54 g NULL  14.560 47.145 24.592 3.516 0x00
OBS: 58959.36 g NULL  40.341 37.924 23.486 1.021 0x00
OBS: 58964.35 g NULL  -66.013 121.875 nan -2.005 0x00
OBS: 58967.37 g NULL  30.290 47.881 23.797 1.716 0x00
OBS: 58970.37 g NULL  23.227 109.907 24.085 5.138 0x00
OBS: 58984.28 g NULL  -43.521 39.652 nan -0.989 0x00
OBS: 58987.38 g NULL  69.491 41.596 22.895 0.650 0x00
OBS: 58992.28 g NULL  34.106 30.089 23.668 0.958 0x00
OBS: 58999.37 g NULL  64.503 51.203 22.976 0.862 0x00
OBS: 59015.31 g NULL  60.845 144.447 23.039 2.578 0x01
OBS: 59017.30 g NULL  98.965 44.232 22.511 0.485 0x00
OBS: 59020.34 g NULL  120.304 111.961 22.299 1.010 0x00
OBS: 59029.28 g NULL  36.335 56.762 23.599 1.696 0x00
OBS: 59042.29 g NULL  -23.630 37.177 nan -1.708 0x00
OBS: 59044.28 g NULL  -87.134 44.799 nan -0.558 0x00
OBS: 59048.27 g NULL  -9.662 45.345 nan -5.095 0x00
OBS: 59052.33 g NULL  24.337 61.188 24.034 2.730 0x00
OBS: 59058.29 g NULL  -91.802 158.899 nan -1.879 0x00
OBS: 59076.27 g NULL  109.062 72.623 22.406 0.723 0x00
OBS: 59101.24 g NULL  -85.408 147.152 nan -1.871 0x00
OBS: 59104.24 g NULL  90.019 87.784 22.614 1.059 0x00
OBS: 59205.65 g NULL  46.638 41.657 23.328 0.970 0x00
OBS: 59225.62 g NULL  1339.547 91.666 19.683 0.074 0x01
OBS: 59229.65 g NULL  1430.528 59.759 19.611 0.045 0x00
OBS: 59255.54 g NULL  285.482 65.559 21.361 0.249 0x00
OBS: 59257.53 g NULL  278.809 39.644 21.387 0.154 0x00
OBS: 59278.48 g NULL  28.010 178.060 23.882 6.902 0x00
OBS: 59291.43 g NULL  276.185 75.799 21.397 0.298 0x00
OBS: 59293.43 g NULL  195.205 52.341 21.774 0.291 0x00
OBS: 59296.45 g NULL  87.750 86.146 22.642 1.066 0x00
OBS: 59317.37 g NULL  -29.226 66.606 nan -2.474 0x00
OBS: 59319.37 g NULL  103.674 38.588 22.461 0.404 0x00
OBS: 59323.36 g NULL  113.094 83.867 22.366 0.805 0x00
OBS: 59342.27 g NULL  93.904 67.369 22.568 0.779 0x00
OBS: 59344.27 g NULL  -4.435 48.499 nan -11.873 0x00
OBS: 59346.40 g NULL  -7.260 125.548 nan -18.776 0x00
OBS: 59351.38 g NULL  320.406 221.705 21.236 0.751 0x00
OBS: 59366.41 g NULL  85.857 59.274 22.666 0.750 0x01
OBS: 59368.35 g NULL  535.351 251.959 20.678 0.511 0x00
OBS: 59371.34 g NULL  -274.783 213.011 nan -0.842 0x00
OBS: 59373.33 g NULL  52.424 111.741 23.201 2.314 0x00
OBS: 59375.37 g NULL  -114.040 192.380 nan -1.832 0x00
OBS: 59378.39 g NULL  2.820 74.127 26.374 28.540 0x00
OBS: 59380.34 g NULL  18.084 83.017 24.357 4.984 0x00
OBS: 59396.27 g NULL  12.314 48.713 24.774 4.295 0x00
OBS: 59399.28 g NULL  -1.077 79.514 nan -80.159 0x01
OBS: 59406.29 g NULL  7.546 42.124 25.306 6.061 0x00
OBS: 58869.66 r NULL  -2.786 56.132 nan -21.875 0x00
OBS: 58873.62 r NULL  -52.170 46.230 nan -0.962 0x00
OBS: 58934.50 r NULL  -468.645 637.883 nan -1.478 0x00
OBS: 58943.42 r NULL  110.474 101.894 22.392 1.001 0x00
OBS: 58949.37 r NULL  49.249 107.529 23.269 2.371 0x00
OBS: 58959.36 r NULL  -56.774 51.562 nan -0.986 0x00
OBS: 58964.36 r NULL  88.172 100.939 22.637 1.243 0x00
OBS: 58972.38 r NULL  -64.075 63.424 nan -1.075 0x00
OBS: 58975.43 r NULL  93.451 99.717 22.574 1.159 0x00
OBS: 58976.43 r NULL  70.389 178.408 22.881 2.752 0x00
OBS: 58981.40 r NULL  306.463 142.278 21.284 0.504 0x00
OBS: 58987.38 r NULL  133.733 55.645 22.184 0.452 0x00
OBS: 58992.29 r NULL  10.198 40.619 24.979 4.325 0x00
OBS: 59003.38 r NULL  195.068 179.572 21.775 0.999 0x00
OBS: 59011.41 r NULL  -116.688 109.994 nan -1.023 0x00
OBS: 59017.30 r NULL  10.458 47.511 24.951 4.933 0x00
OBS: 59031.30 r NULL  143.135 98.488 22.111 0.747 0x00
OBS: 59036.27 r NULL  124.554 66.135 22.262 0.576 0x00
OBS: 59038.34 r NULL  -82.618 98.514 nan -1.295 0x00
OBS: 59052.33 r NULL  -7.030 65.398 nan -10.100 0x00
OBS: 59061.27 r NULL  26.740 83.658 23.932 3.397 0x01
OBS: 59064.29 r NULL  -61.881 139.472 nan -2.447 0x00
OBS: 59066.29 r NULL  142.727 91.945 22.114 0.699 0x00
OBS: 59070.28 r NULL  313.480 131.272 21.259 0.455 0x01
OBS: 59090.25 r NULL  -42.635 118.619 nan -3.021 0x00
OBS: 59094.24 r NULL  26.039 170.467 23.961 7.108 0x00
OBS: 59096.25 r NULL  44.920 85.576 23.369 2.068 0x00
