SURVEY:  PS1MD
SNID:  2021dkj
otherID: 
IAUC:    UNKNOWN
RA:        66.9836540  deg
DECL:       -10.0356780  deg
MWEBV:    0.093 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021dkj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0108
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.087 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 70
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59105.61 g NULL  7.980 48.867 25.245 6.649 0x00
OBS: 59107.55 g NULL  31.346 65.447 23.760 2.267 0x00
OBS: 59110.60 g NULL  28.180 69.267 23.875 2.669 0x09
OBS: 59115.63 g NULL  66.711 45.196 22.940 0.736 0x00
OBS: 59133.58 g NULL  -45.078 49.811 nan -1.200 0x00
OBS: 59138.52 g NULL  90.091 54.275 22.613 0.654 0x00
OBS: 59142.55 g NULL  -16.953 55.130 nan -3.531 0x00
OBS: 59146.53 g NULL  -5.561 217.438 nan -42.453 0x00
OBS: 59161.46 g NULL  -42.726 67.228 nan -1.708 0x00
OBS: 59172.46 g NULL  121.978 69.691 22.284 0.620 0x00
OBS: 59190.41 g NULL  -61.454 53.749 nan -0.950 0x00
OBS: 59192.43 g NULL  -4.710 40.678 nan -9.377 0x00
OBS: 59198.38 g NULL  110.728 60.917 22.389 0.597 0x00
OBS: 59205.42 g NULL  46.129 64.049 23.340 1.508 0x00
OBS: 59220.33 g NULL  -13.154 56.538 nan -4.667 0x00
OBS: 59225.33 g NULL  -133.557 56.117 nan -0.456 0x00
OBS: 59254.24 g NULL  167.361 83.403 21.941 0.541 0x00
OBS: 59258.24 g NULL  490.628 57.517 20.773 0.127 0x00
OBS: 59486.60 g NULL  55.348 95.817 23.142 1.880 0x00
OBS: 59492.56 g NULL  41.754 58.011 23.448 1.508 0x00
OBS: 59498.60 g NULL  35.845 42.799 23.614 1.296 0x00
OBS: 59501.56 g NULL  -70.404 48.921 nan -0.754 0x00
OBS: 59516.53 g NULL  57.451 130.310 23.102 2.463 0x01
OBS: 59105.61 r NULL  -97.883 46.587 nan -0.517 0x00
OBS: 59110.60 r NULL  44.158 52.653 23.387 1.295 0x00
OBS: 59123.57 r NULL  -214.226 90.681 nan -0.460 0x00
OBS: 59130.55 r NULL  5.430 54.833 25.663 10.964 0x00
OBS: 59142.54 r NULL  -12.998 50.178 nan -4.191 0x00
OBS: 59148.54 r NULL  -27.257 42.999 nan -1.713 0x01
OBS: 59185.41 r NULL  -63.555 82.931 nan -1.417 0x00
OBS: 59198.38 r NULL  76.413 93.576 22.792 1.330 0x00
OBS: 59213.28 r NULL  -34.928 167.450 nan -5.205 0x00
OBS: 59217.32 r NULL  -58.813 50.768 nan -0.937 0x00
OBS: 59243.23 r NULL  300.519 155.661 21.305 0.562 0x00
OBS: 59244.34 r NULL  100.580 108.953 22.494 1.176 0x00
OBS: 59245.26 r NULL  -61.390 60.212 nan -1.065 0x00
OBS: 59254.25 r NULL  131.424 76.694 22.203 0.634 0x00
OBS: 59258.24 r NULL  438.599 47.037 20.895 0.116 0x00
OBS: 59269.27 r NULL  1705.393 173.078 19.420 0.110 0x00
OBS: 59492.55 r NULL  -24.198 54.874 nan -2.462 0x00
OBS: 59498.60 r NULL  35.252 47.129 23.632 1.452 0x00
OBS: 59504.60 r NULL  -127.026 89.818 nan -0.768 0x00
OBS: 59505.52 r NULL  -150.563 110.996 nan -0.800 0x00
OBS: 59506.48 r NULL  119.240 111.427 22.309 1.015 0x00
OBS: 59513.48 r NULL  -159.892 65.739 nan -0.446 0x00
OBS: 59107.55 i NULL  26.213 59.963 23.954 2.484 0x00
OBS: 59115.63 i NULL  106.475 59.776 22.432 0.610 0x00
OBS: 59123.58 i NULL  -91.056 87.482 nan -1.043 0x00
OBS: 59133.58 i NULL  55.808 58.599 23.133 1.140 0x00
OBS: 59138.52 i NULL  -34.929 44.463 nan -1.382 0x00
OBS: 59172.46 i NULL  -138.528 83.093 nan -0.651 0x00
OBS: 59190.42 i NULL  -9.501 50.972 nan -5.825 0x00
OBS: 59217.33 i NULL  -55.070 49.399 nan -0.974 0x00
OBS: 59220.33 i NULL  4.219 58.015 25.937 14.930 0x00
OBS: 59225.34 i NULL  -18.319 84.810 nan -5.027 0x00
OBS: 59243.23 i NULL  38.272 131.357 23.543 3.726 0x00
OBS: 59245.26 i NULL  42.950 61.957 23.418 1.566 0x00
OBS: 59501.56 i NULL  -12.993 57.430 nan -4.799 0x00
OBS: 59504.59 i NULL  -33.125 100.888 nan -3.307 0x00
OBS: 59506.49 i NULL  -99.695 87.605 nan -0.954 0x00
OBS: 59130.55 z NULL  25.799 79.275 23.971 3.336 0x00
OBS: 59146.54 z NULL  -83.768 285.349 nan -3.698 0x00
OBS: 59148.54 z NULL  -84.270 82.615 nan -1.064 0x00
OBS: 59161.46 z NULL  19.227 100.593 24.290 5.680 0x00
OBS: 59185.41 z NULL  49.035 106.540 23.274 2.359 0x00
OBS: 59192.42 z NULL  -15.715 73.446 nan -5.074 0x00
OBS: 59205.42 z NULL  -74.460 97.884 nan -1.427 0x00
OBS: 59213.29 z NULL  108.250 138.012 22.414 1.384 0x00
OBS: 59244.34 z NULL  136.888 149.911 22.159 1.189 0x00
OBS: 59269.27 z NULL  1393.775 204.950 19.640 0.160 0x00
OBS: 59486.60 z NULL  -234.191 118.310 nan -0.548 0x00
OBS: 59505.52 z NULL  -131.360 153.765 nan -1.271 0x01
OBS: 59513.48 z NULL  -18.658 94.480 nan -5.498 0x00
OBS: 59516.53 z NULL  4.284 223.921 25.920 56.750 0x00
END:
