SURVEY:  PS1MD
SNID:  2021dtf
otherID: 
IAUC:    UNKNOWN
RA:        59.6185920  deg
DECL:       -12.2685970  deg
MWEBV:    0.039 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021dtf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0078
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.954 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 79
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59105.61 g NULL  -47.387 65.540 nan -1.502 0x00
OBS: 59107.54 g NULL  65.616 52.103 22.957 0.862 0x00
OBS: 59110.60 g NULL  -30.399 44.342 nan -1.584 0x00
OBS: 59115.63 g NULL  39.708 62.809 23.503 1.717 0x00
OBS: 59133.58 g NULL  -93.218 64.519 nan -0.751 0x00
OBS: 59138.52 g NULL  98.294 51.576 22.519 0.570 0x00
OBS: 59142.55 g NULL  72.279 46.429 22.852 0.697 0x00
OBS: 59146.53 g NULL  -23.177 215.074 nan -10.075 0x00
OBS: 59161.46 g NULL  52.162 66.183 23.207 1.378 0x00
OBS: 59167.46 g NULL  -106.809 92.333 nan -0.939 0x00
OBS: 59172.45 g NULL  -34.551 57.500 nan -1.807 0x00
OBS: 59190.41 g NULL  -6.995 57.470 nan -8.920 0x00
OBS: 59192.42 g NULL  -16.378 51.350 nan -3.404 0x00
OBS: 59198.37 g NULL  60.553 65.947 23.045 1.182 0x00
OBS: 59205.41 g NULL  151.338 71.082 22.050 0.510 0x00
OBS: 59220.32 g NULL  -32.204 47.260 nan -1.593 0x00
OBS: 59225.33 g NULL  -66.057 77.821 nan -1.279 0x00
OBS: 59254.24 g NULL  -16.248 77.208 nan -5.159 0x00
OBS: 59258.24 g NULL  -60.293 60.470 nan -1.089 0x00
OBS: 59486.60 g NULL  -44.544 87.340 nan -2.129 0x00
OBS: 59498.60 g NULL  -96.976 62.092 nan -0.695 0x00
OBS: 59516.53 g NULL  -54.169 218.332 nan -4.376 0x09
OBS: 59518.56 g NULL  -8.178 51.195 nan -6.797 0x00
OBS: 59524.49 g NULL  -42.647 69.769 nan -1.776 0x00
OBS: 59105.61 r NULL  20.363 41.960 24.228 2.237 0x00
OBS: 59110.60 r NULL  32.262 44.647 23.728 1.503 0x00
OBS: 59123.57 r NULL  -223.219 82.234 nan -0.400 0x00
OBS: 59130.54 r NULL  101.019 53.290 22.489 0.573 0x00
OBS: 59142.54 r NULL  -104.742 43.316 nan -0.449 0x00
OBS: 59148.54 r NULL  -0.602 63.971 nan -115.375 0x00
OBS: 59158.49 r NULL  57.329 60.411 23.104 1.144 0x00
OBS: 59167.46 r NULL  97.178 74.905 22.531 0.837 0x00
OBS: 59185.40 r NULL  -63.523 81.545 nan -1.394 0x00
OBS: 59188.44 r NULL  164.932 74.202 21.957 0.488 0x00
OBS: 59198.38 r NULL  -37.769 58.114 nan -1.671 0x00
OBS: 59213.28 r NULL  -198.893 181.924 nan -0.993 0x00
OBS: 59217.32 r NULL  28.391 57.822 23.867 2.211 0x00
OBS: 59243.23 r NULL  135.068 169.298 22.174 1.361 0x00
OBS: 59244.34 r NULL  206.466 114.335 21.713 0.601 0x00
OBS: 59245.26 r NULL  33.724 48.956 23.680 1.576 0x00
OBS: 59254.24 r NULL  -125.929 65.152 nan -0.562 0x00
OBS: 59258.24 r NULL  31.316 66.988 23.761 2.322 0x00
OBS: 59267.24 r NULL  1200.111 105.665 19.802 0.096 0x00
OBS: 59269.27 r NULL  1869.291 198.506 19.321 0.115 0x00
OBS: 59492.55 r NULL  49.846 55.625 23.256 1.212 0x00
OBS: 59498.60 r NULL  71.962 63.791 22.857 0.962 0x01
