SURVEY:  PS1MD
SNID:  2021gis
otherID: 
IAUC:    UNKNOWN
RA:        248.3473420  deg
DECL:       35.9133310  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021gis.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0028
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.637 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 216
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.58 g NULL  -41.693 51.827 nan -1.350 0x00
OBS: 58935.59 g NULL  -18.708 158.796 nan -9.216 0x00
OBS: 58955.48 g NULL  116.181 48.030 22.337 0.449 0x00
OBS: 58956.47 g NULL  -133.896 67.922 nan -0.551 0x00
OBS: 58960.47 g NULL  -42.203 51.980 nan -1.337 0x00
OBS: 58962.48 g NULL  -126.387 154.584 nan -1.328 0x01
OBS: 58966.46 g NULL  -79.947 46.995 nan -0.638 0x00
OBS: 58968.48 g NULL  34.754 64.896 23.647 2.027 0x00
OBS: 58970.49 g NULL  -81.152 77.016 nan -1.030 0x00
OBS: 58983.48 g NULL  -124.312 50.745 nan -0.443 0x00
OBS: 58985.38 g NULL  16.261 68.847 24.472 4.597 0x00
OBS: 58993.38 g NULL  -49.700 110.715 nan -2.419 0x00
OBS: 58995.47 g NULL  4.440 68.115 25.882 16.657 0x00
OBS: 58998.36 g NULL  -76.357 47.440 nan -0.675 0x00
OBS: 59013.45 g NULL  66.046 91.358 22.950 1.502 0x00
OBS: 59016.35 g NULL  20.747 64.975 24.208 3.400 0x00
OBS: 59024.44 g NULL  4.978 70.226 25.757 15.317 0x00
OBS: 59028.29 g NULL  -35.546 56.738 nan -1.733 0x00
OBS: 59042.30 g NULL  -65.837 47.144 nan -0.777 0x00
OBS: 59050.39 g NULL  18.888 70.772 24.310 4.068 0x00
OBS: 59054.28 g NULL  -34.681 69.675 nan -2.181 0x00
OBS: 59071.38 g NULL  -7.610 73.556 nan -10.494 0x01
OBS: 59073.27 g NULL  87.874 68.614 22.640 0.848 0x00
OBS: 59075.27 g NULL  -3.039 55.978 nan -19.999 0x01
OBS: 59077.27 g NULL  -56.151 71.155 nan -1.376 0x00
OBS: 59079.27 g NULL  -126.607 48.391 nan -0.415 0x00
OBS: 59082.32 g NULL  -16.076 86.219 nan -5.823 0x00
OBS: 59083.25 g NULL  -50.351 67.222 nan -1.450 0x00
OBS: 59102.26 g NULL  -62.036 51.974 nan -0.910 0x00
OBS: 59106.25 g NULL  12.034 64.925 24.799 5.858 0x00
OBS: 59108.24 g NULL  -43.456 52.480 nan -1.311 0x00
OBS: 59110.25 g NULL  -16.790 64.659 nan -4.181 0x00
OBS: 59114.23 g NULL  -120.306 102.109 nan -0.922 0x00
OBS: 59139.22 g NULL  126.271 72.763 22.247 0.626 0x00
OBS: 59144.22 g NULL  -100.352 138.630 nan -1.500 0x01
OBS: 59293.59 g NULL  946.295 59.276 20.060 0.068 0x00
OBS: 59313.52 g NULL  497.622 57.660 20.758 0.126 0x00
OBS: 59314.48 g NULL  508.557 53.296 20.734 0.114 0x00
OBS: 59318.50 g NULL  297.177 72.225 21.317 0.264 0x00
OBS: 59321.47 g NULL  238.111 52.491 21.558 0.239 0x00
OBS: 59337.51 g NULL  64.625 106.744 22.974 1.793 0x00
OBS: 59343.39 g NULL  107.793 53.580 22.419 0.540 0x00
OBS: 59347.54 g NULL  -110.881 62.639 nan -0.613 0x00
OBS: 59353.46 g NULL  92.866 59.431 22.580 0.695 0x00
OBS: 59354.36 g NULL  31.012 73.037 23.771 2.557 0x00
OBS: 59355.37 g NULL  58.331 60.934 23.085 1.134 0x00
OBS: 59366.33 g NULL  32.798 45.865 23.710 1.518 0x00
OBS: 59370.45 g NULL  -133.531 79.465 nan -0.646 0x00
OBS: 59373.34 g NULL  22.143 44.617 24.137 2.188 0x00
OBS: 59377.50 g NULL  16.450 58.259 24.460 3.845 0x00
OBS: 59381.45 g NULL  -37.343 49.427 nan -1.437 0x00
OBS: 59384.28 g NULL  69.341 125.762 22.898 1.969 0x00
OBS: 59408.40 g NULL  32.000 49.543 23.737 1.681 0x00
OBS: 59412.27 g NULL  -5.055 69.461 nan -14.919 0x00
OBS: 59413.27 g NULL  -140.098 178.192 nan -1.381 0x01
OBS: 59425.27 g NULL  35.217 74.945 23.633 2.311 0x00
OBS: 59426.27 g NULL  4.770 52.806 25.804 12.020 0x00
OBS: 59429.28 g NULL  -70.630 71.033 nan -1.092 0x00
OBS: 59432.34 g NULL  71.524 82.989 22.864 1.260 0x00
OBS: 59436.26 g NULL  -58.674 51.812 nan -0.959 0x00
OBS: 59438.26 g NULL  -69.139 61.296 nan -0.963 0x00
OBS: 59440.26 g NULL  6.958 86.214 25.394 13.453 0x00
OBS: 59442.26 g NULL  -3.316 78.475 nan -25.695 0x00
OBS: 59456.25 g NULL  35.523 52.314 23.624 1.599 0x00
OBS: 59461.25 g NULL  184.113 142.716 21.837 0.842 0x01
OBS: 59465.24 g NULL  26.561 47.194 23.939 1.929 0x00
OBS: 59469.24 g NULL  -133.305 94.929 nan -0.773 0x00
OBS: 58918.62 r NULL  -136.577 87.370 nan -0.695 0x00
OBS: 58931.58 r NULL  -78.810 68.601 nan -0.945 0x00
OBS: 58945.57 r NULL  -153.387 225.963 nan -1.599 0x00
OBS: 58950.60 r NULL  -137.811 120.239 nan -0.947 0x00
OBS: 58956.47 r NULL  80.978 71.501 22.729 0.959 0x00
OBS: 58960.47 r NULL  1.986 40.737 26.755 22.271 0x00
