SURVEY:  PS1MD
SNID:  2021gji
otherID: 
IAUC:    UNKNOWN
RA:        209.1661920  deg
DECL:       31.9092190  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021gji.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0128
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 4000
# DIST_FROM_CENTER_DEG: 0.427 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 175
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.65 g NULL  -19.487 58.546 nan -3.262 0x00
OBS: 58869.66 g NULL  54.771 55.878 23.154 1.108 0x00
OBS: 58871.65 g NULL  17.996 55.038 24.362 3.321 0x00
OBS: 58873.61 g NULL  19.647 54.934 24.267 3.036 0x00
OBS: 58877.65 g NULL  -65.532 73.061 nan -1.210 0x00
OBS: 58929.53 g NULL  31.170 39.908 23.766 1.390 0x00
OBS: 58932.62 g NULL  14.517 118.376 24.595 8.853 0x00
OBS: 58934.50 g NULL  177.888 166.108 21.875 1.014 0x00
OBS: 58957.54 g NULL  64.461 95.375 22.977 1.606 0x00
OBS: 58959.36 g NULL  23.898 36.884 24.054 1.676 0x00
OBS: 58964.35 g NULL  -157.189 135.049 nan -0.933 0x00
OBS: 58967.37 g NULL  20.189 44.493 24.237 2.393 0x00
OBS: 58970.37 g NULL  -229.106 118.769 nan -0.563 0x01
OBS: 58984.28 g NULL  -22.504 43.340 nan -2.091 0x00
OBS: 58987.38 g NULL  -40.676 71.723 nan -1.914 0x00
OBS: 58992.28 g NULL  10.893 37.055 24.907 3.693 0x00
OBS: 58997.35 g NULL  -140.099 62.406 nan -0.484 0x00
OBS: 58999.36 g NULL  -6.786 63.736 nan -10.198 0x00
OBS: 59015.31 g NULL  25.303 72.383 23.992 3.106 0x00
OBS: 59017.30 g NULL  34.160 89.821 23.666 2.855 0x00
OBS: 59020.34 g NULL  62.456 123.191 23.011 2.142 0x00
OBS: 59029.28 g NULL  61.953 69.350 23.020 1.215 0x00
OBS: 59042.29 g NULL  90.499 46.496 22.608 0.558 0x00
OBS: 59048.27 g NULL  2.891 54.207 26.347 20.358 0x00
OBS: 59052.33 g NULL  126.916 100.626 22.241 0.861 0x00
OBS: 59058.29 g NULL  -50.557 206.898 nan -4.443 0x00
OBS: 59072.26 g NULL  65.931 89.503 22.952 1.474 0x00
OBS: 59076.27 g NULL  12.037 138.238 24.799 12.469 0x00
OBS: 59104.24 g NULL  -104.571 98.838 nan -1.026 0x00
OBS: 59205.65 g NULL  11.349 43.722 24.863 4.183 0x00
OBS: 59225.61 g NULL  71.460 90.197 22.865 1.370 0x00
OBS: 59229.65 g NULL  20.580 44.084 24.216 2.326 0x00
OBS: 59231.62 g NULL  -37.736 44.833 nan -1.290 0x00
OBS: 59236.58 g NULL  -17.146 107.657 nan -6.817 0x00
OBS: 59255.54 g NULL  -11.655 65.098 nan -6.064 0x00
OBS: 59257.52 g NULL  9.232 37.869 25.087 4.454 0x00
OBS: 59278.48 g NULL  483.047 173.789 20.790 0.391 0x00
OBS: 59291.43 g NULL  704.826 64.973 20.380 0.100 0x00
OBS: 59293.43 g NULL  270.300 65.507 21.420 0.263 0x00
OBS: 59310.36 g NULL  142.374 62.154 22.116 0.474 0x00
OBS: 59315.36 g NULL  1033.422 4057.341 19.964 4.263 0x09
OBS: 59317.37 g NULL  19.422 54.356 24.279 3.039 0x00
OBS: 59319.37 g NULL  14.335 44.013 24.609 3.334 0x00
OBS: 59323.36 g NULL  85.735 75.036 22.667 0.950 0x00
OBS: 59342.27 g NULL  54.140 67.129 23.166 1.346 0x00
OBS: 59344.27 g NULL  44.054 50.325 23.390 1.240 0x00
OBS: 59346.40 g NULL  4.103 77.537 25.967 20.518 0x00
OBS: 59349.45 g NULL  131.671 162.691 22.201 1.342 0x01
OBS: 59351.38 g NULL  -41.688 121.207 nan -3.157 0x00
OBS: 59352.43 g NULL  26.533 128.335 23.941 5.251 0x00
OBS: 59366.41 g NULL  -7.272 89.635 nan -13.383 0x01
OBS: 59368.35 g NULL  -94.411 190.539 nan -2.191 0x01
