SURVEY:  PS1MD
SNID:  2021gqc
otherID: 
IAUC:    UNKNOWN
RA:        226.9499360  deg
DECL:       -10.2471930  deg
MWEBV:    0.092 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021gqc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.298 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 153
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.59 g NULL  53.818 112.840 23.173 2.276 0x00
OBS: 58956.46 g NULL  305.248 94.032 21.288 0.334 0x00
OBS: 58964.49 g NULL  121.252 123.058 22.291 1.102 0x00
OBS: 58967.47 g NULL  -213.372 67.194 nan -0.342 0x00
OBS: 58971.39 g NULL  -255.246 103.441 nan -0.440 0x00
OBS: 58972.45 g NULL  -32.971 79.204 nan -2.608 0x00
OBS: 58983.47 g NULL  -3.765 112.533 nan -32.452 0x00
OBS: 58985.40 g NULL  70.277 91.273 22.883 1.410 0x00
OBS: 58990.39 g NULL  79.685 82.429 22.747 1.123 0x00
OBS: 58994.38 g NULL  255.698 89.936 21.481 0.382 0x00
OBS: 58997.34 g NULL  85.654 76.887 22.668 0.975 0x00
OBS: 58999.38 g NULL  39.163 69.825 23.518 1.936 0x00
OBS: 59015.29 g NULL  -66.160 92.922 nan -1.525 0x00
OBS: 59019.28 g NULL  195.739 333.872 21.771 1.852 0x00
OBS: 59023.28 g NULL  91.914 85.796 22.592 1.013 0x00
OBS: 59043.28 g NULL  -32.765 74.844 nan -2.480 0x00
OBS: 59047.30 g NULL  218.592 89.980 21.651 0.447 0x01
OBS: 59051.29 g NULL  -55.003 67.281 nan -1.328 0x00
OBS: 59054.27 g NULL  38.216 99.765 23.544 2.834 0x00
OBS: 59072.28 g NULL  143.873 98.368 22.105 0.742 0x00
OBS: 59076.28 g NULL  -1051.572 754.343 nan -0.779 0x00
OBS: 59080.26 g NULL  129.142 105.380 22.222 0.886 0x00
OBS: 59288.54 g NULL  54.930 98.411 23.150 1.945 0x00
OBS: 59310.47 g NULL  5620.482 118.626 18.126 0.023 0x00
OBS: 59311.47 g NULL  5424.991 95.468 18.164 0.019 0x00
OBS: 59317.48 g NULL  2641.842 152.205 18.945 0.063 0x09
OBS: 59320.48 g NULL  2301.181 95.503 19.095 0.045 0x00
OBS: 59323.44 g NULL  1698.736 102.966 19.425 0.066 0x00
OBS: 59338.48 g NULL  518.361 160.688 20.713 0.337 0x01
OBS: 59344.45 g NULL  286.031 79.387 21.359 0.301 0x00
OBS: 59347.43 g NULL  440.918 96.399 20.889 0.237 0x00
OBS: 59352.43 g NULL  300.083 114.897 21.307 0.416 0x00
OBS: 59366.34 g NULL  272.095 87.474 21.413 0.349 0x00
OBS: 59368.36 g NULL  317.198 173.738 21.247 0.595 0x00
OBS: 59372.34 g NULL  360.591 98.233 21.107 0.296 0x00
OBS: 59375.36 g NULL  652.344 123.441 20.464 0.205 0x00
OBS: 59378.38 g NULL  480.721 117.834 20.795 0.266 0x00
OBS: 59381.33 g NULL  66.476 134.061 22.943 2.190 0x00
OBS: 59382.28 g NULL  295.679 92.355 21.323 0.339 0x00
OBS: 59396.31 g NULL  271.313 79.168 21.416 0.317 0x00
OBS: 59402.30 g NULL  259.883 83.977 21.463 0.351 0x00
OBS: 59404.29 g NULL  445.392 82.133 20.878 0.200 0x00
OBS: 59405.30 g NULL  206.539 76.258 21.712 0.401 0x00
OBS: 59408.27 g NULL  134.082 90.765 22.182 0.735 0x00
OBS: 59425.27 g NULL  222.703 99.962 21.631 0.487 0x00
OBS: 59426.27 g NULL  359.141 82.454 21.112 0.249 0x00
OBS: 59428.27 g NULL  381.177 161.687 21.047 0.461 0x00
OBS: 59430.27 g NULL  81.599 104.698 22.721 1.393 0x00
OBS: 59432.27 g NULL  150.753 91.020 22.054 0.656 0x00
OBS: 59435.26 g NULL  490.174 91.840 20.774 0.203 0x00
OBS: 59457.25 g NULL  175.532 75.556 21.889 0.467 0x00
OBS: 58929.60 r NULL  52.878 127.342 23.192 2.615 0x00
OBS: 58942.50 r NULL  -515.235 262.341 nan -0.553 0x00
OBS: 58951.46 r NULL  62.003 210.225 23.019 3.681 0x00
OBS: 58956.46 r NULL  129.407 115.847 22.220 0.972 0x00
OBS: 58967.47 r NULL  98.327 104.911 22.518 1.158 0x00
OBS: 58990.40 r NULL  79.822 88.146 22.745 1.199 0x00
OBS: 58997.34 r NULL  308.126 88.867 21.278 0.313 0x01
OBS: 59007.28 r NULL  -120.198 119.774 nan -1.082 0x00
OBS: 59010.35 r NULL  -7.960 100.687 nan -13.734 0x00
OBS: 59023.29 r NULL  227.868 88.514 21.606 0.422 0x00
OBS: 59038.32 r NULL  227.045 85.083 21.610 0.407 0x00
OBS: 59047.30 r NULL  367.061 90.447 21.088 0.268 0x01
OBS: 59054.27 r NULL  53.134 76.311 23.187 1.559 0x00
OBS: 59061.29 r NULL  -348.679 138.121 nan -0.430 0x00
OBS: 59065.28 r NULL  304.095 95.741 21.292 0.342 0x00
OBS: 59068.27 r NULL  -12.533 125.783 nan -10.897 0x00
OBS: 59070.27 r NULL  -100.914 155.117 nan -1.669 0x01
OBS: 59080.26 r NULL  358.889 94.539 21.113 0.286 0x00
OBS: 59270.59 r NULL  -425.476 181.113 nan -0.462 0x00
OBS: 59297.51 r NULL  5711.140 188.472 18.108 0.036 0x00
OBS: 59299.56 r NULL  6661.203 112.539 17.941 0.018 0x00
OBS: 59320.48 r NULL  4778.111 117.687 18.302 0.027 0x00
OBS: 59335.47 r NULL  2024.198 147.428 19.234 0.079 0x00
OBS: 59347.43 r NULL  1362.381 102.333 19.664 0.082 0x00
OBS: 59362.37 r NULL  910.283 112.765 20.102 0.134 0x00
OBS: 59364.39 r NULL  823.364 126.182 20.211 0.166 0x00
OBS: 59375.36 r NULL  465.956 130.655 20.829 0.304 0x00
OBS: 59381.33 r NULL  550.256 108.036 20.649 0.213 0x00
OBS: 59390.29 r NULL  379.404 176.881 21.052 0.506 0x00
OBS: 59392.34 r NULL  528.670 84.780 20.692 0.174 0x00
OBS: 59394.30 r NULL  504.227 101.561 20.743 0.219 0x00
OBS: 59404.29 r NULL  310.819 124.582 21.269 0.435 0x00
OBS: 59408.28 r NULL  263.513 94.237 21.448 0.388 0x00
OBS: 59417.27 r NULL  79.679 255.679 22.747 3.484 0x00
OBS: 59419.28 r NULL  307.005 154.596 21.282 0.547 0x00
OBS: 59421.29 r NULL  337.194 165.705 21.180 0.534 0x01
OBS: 59423.28 r NULL  85.043 124.633 22.676 1.591 0x00
OBS: 59424.27 r NULL  38.834 105.257 23.527 2.943 0x00
OBS: 59432.27 r NULL  156.990 127.895 22.010 0.885 0x00
OBS: 59444.27 r NULL  289.687 152.947 21.345 0.573 0x00
OBS: 59446.26 r NULL  367.836 162.066 21.086 0.478 0x00
OBS: 59448.26 r NULL  161.141 106.701 21.982 0.719 0x00
OBS: 59451.25 r NULL  95.887 157.328 22.546 1.781 0x00
OBS: 59452.25 r NULL  208.412 101.120 21.703 0.527 0x00
OBS: 59453.25 r NULL  263.464 145.348 21.448 0.599 0x00
OBS: 59454.25 r NULL  52.011 131.423 23.210 2.743 0x00
OBS: 58942.50 i NULL  201.884 173.355 21.737 0.932 0x00
OBS: 58951.46 i NULL  -57.441 204.990 nan -3.875 0x00
OBS: 58959.47 i NULL  260.366 171.476 21.461 0.715 0x09
OBS: 58964.49 i NULL  -510.069 117.195 nan -0.249 0x00
OBS: 58972.46 i NULL  436.293 82.810 20.901 0.206 0x00
OBS: 58985.40 i NULL  212.631 97.599 21.681 0.498 0x00
OBS: 58994.37 i NULL  -491.795 125.532 nan -0.277 0x00
OBS: 59010.35 i NULL  -527.393 139.633 nan -0.287 0x00
OBS: 59019.28 i NULL  68.330 240.510 22.913 3.822 0x00
OBS: 59038.32 i NULL  421.014 130.522 20.939 0.337 0x00
OBS: 59043.28 i NULL  10.230 184.876 24.975 19.621 0x00
OBS: 59051.29 i NULL  322.346 107.738 21.229 0.363 0x00
OBS: 59061.29 i NULL  -664.051 156.463 nan -0.256 0x00
OBS: 59070.27 i NULL  -623.515 185.166 nan -0.322 0x01
OBS: 59076.28 i NULL  -152.375 421.513 nan -3.003 0x00
OBS: 59270.59 i NULL  -618.466 184.471 nan -0.324 0x00
OBS: 59288.54 i NULL  239.464 119.895 21.552 0.544 0x00
OBS: 59299.57 i NULL  5288.568 166.763 18.192 0.034 0x00
OBS: 59311.46 i NULL  4038.730 120.303 18.484 0.032 0x00
OBS: 59317.49 i NULL  3366.783 169.488 18.682 0.055 0x00
OBS: 59327.45 i NULL  3654.504 183.287 18.593 0.054 0x00
OBS: 59338.48 i NULL  1960.328 126.977 19.269 0.070 0x00
OBS: 59344.45 i NULL  1663.241 126.751 19.448 0.083 0x00
OBS: 59352.42 i NULL  732.152 184.232 20.338 0.273 0x00
OBS: 59362.37 i NULL  524.644 136.726 20.700 0.283 0x00
OBS: 59368.36 i NULL  777.631 169.522 20.273 0.237 0x00
OBS: 59372.35 i NULL  301.018 132.334 21.304 0.477 0x00
OBS: 59378.39 i NULL  418.491 108.493 20.946 0.281 0x00
OBS: 59390.29 i NULL  -205.346 165.662 nan -0.876 0x00
OBS: 59394.30 i NULL  656.361 99.738 20.457 0.165 0x00
OBS: 59396.31 i NULL  438.473 103.557 20.895 0.256 0x00
OBS: 59402.30 i NULL  302.387 125.041 21.299 0.449 0x00
OBS: 59405.31 i NULL  -647.686 151.771 nan -0.254 0x00
OBS: 59419.29 i NULL  -52.849 152.019 nan -3.123 0x00
OBS: 59424.26 i NULL  -30.505 134.555 nan -4.789 0x00
OBS: 59426.28 i NULL  -348.393 106.376 nan -0.332 0x00
OBS: 59428.26 i NULL  -156.629 168.287 nan -1.167 0x00
