SURVEY:  PS1MD
SNID:  2021gyh
otherID: 
IAUC:    UNKNOWN
RA:        195.9660910  deg
DECL:       -3.4517490  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021gyh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0013
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.195 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 111
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58870.59 g NULL  -95.566 93.751 nan -1.065 0x09
OBS: 58874.59 g NULL  10.407 42.644 24.957 4.449 0x00
OBS: 58877.58 g NULL  2.101 55.534 26.694 28.698 0x00
OBS: 58882.60 g NULL  58.202 70.558 23.088 1.316 0x00
OBS: 58930.52 g NULL  264.045 449.742 21.446 1.849 0x00
OBS: 58937.42 g NULL  51.631 70.153 23.218 1.475 0x00
OBS: 58960.30 g NULL  63.519 43.167 22.993 0.738 0x00
OBS: 58965.42 g NULL  40.554 63.415 23.480 1.698 0x00
OBS: 58969.38 g NULL  95.682 82.615 22.548 0.937 0x00
OBS: 58971.39 g NULL  119.320 89.978 22.308 0.819 0x00
OBS: 58986.28 g NULL  9.132 40.904 25.099 4.863 0x00
OBS: 58988.27 g NULL  -1.410 79.919 nan -61.540 0x01
OBS: 58992.28 g NULL  -18.404 44.967 nan -2.653 0x00
OBS: 58995.27 g NULL  -38.270 65.167 nan -1.849 0x00
OBS: 58998.27 g NULL  -35.224 70.571 nan -2.175 0x00
OBS: 59014.27 g NULL  34.483 62.838 23.656 1.979 0x00
OBS: 59016.28 g NULL  -96.041 70.027 nan -0.792 0x00
