SURVEY:  PS1MD
SNID:  2021gza
otherID: 
IAUC:    UNKNOWN
RA:        219.0594750  deg
DECL:       33.7646580  deg
MWEBV:    0.009 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021gza.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0066
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.297 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 60
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59220.66 g NULL  -62.942 53.832 nan -0.929 0x00
OBS: 59226.63 g NULL  68.215 70.244 22.915 1.118 0x00
OBS: 59230.66 g NULL  -6.926 64.176 nan -10.060 0x01
OBS: 59255.56 g NULL  -6.643 87.693 nan -14.333 0x00
OBS: 59257.57 g NULL  -25.147 43.616 nan -1.883 0x01
OBS: 59261.62 g NULL  -90.987 65.262 nan -0.779 0x00
OBS: 59296.52 g NULL  855.084 154.407 20.170 0.196 0x00
OBS: 59313.53 g NULL  267.262 49.596 21.433 0.201 0x00
OBS: 59321.46 g NULL  45.116 60.618 23.364 1.459 0x00
OBS: 59339.39 g NULL  283.593 270.224 21.368 1.035 0x00
OBS: 59351.37 g NULL  77.896 77.436 22.771 1.079 0x00
OBS: 59367.35 g NULL  80.559 44.529 22.735 0.600 0x00
OBS: 59372.34 g NULL  -50.159 58.190 nan -1.260 0x00
OBS: 59376.39 g NULL  -6.106 53.131 nan -9.447 0x00
OBS: 59380.35 g NULL  157.682 166.610 22.006 1.147 0x01
OBS: 59382.27 g NULL  95.812 53.066 22.546 0.601 0x00
OBS: 59383.27 g NULL  42.545 62.374 23.428 1.592 0x00
OBS: 59384.27 g NULL  84.489 123.093 22.683 1.582 0x00
OBS: 59226.63 r NULL  28.094 60.123 23.878 2.324 0x00
OBS: 59238.58 r NULL  44.590 85.527 23.377 2.083 0x00
OBS: 59242.64 r NULL  25.677 166.473 23.976 7.039 0x00
OBS: 59244.62 r NULL  97.247 176.090 22.530 1.966 0x00
OBS: 59245.66 r NULL  62.657 97.865 23.008 1.696 0x00
OBS: 59246.64 r NULL  55.547 104.206 23.138 2.037 0x00
OBS: 59255.57 r NULL  -75.605 79.520 nan -1.142 0x00
OBS: 59261.63 r NULL  -14.140 55.884 nan -4.291 0x00
OBS: 59270.58 r NULL  47.487 143.845 23.309 3.289 0x01
OBS: 59298.51 r NULL  796.390 98.768 20.247 0.135 0x00
OBS: 59300.50 r NULL  876.037 300.075 20.144 0.372 0x00
OBS: 59304.51 r NULL  570.673 92.418 20.609 0.176 0x00
OBS: 59313.53 r NULL  493.657 67.587 20.766 0.149 0x00
OBS: 59321.46 r NULL  334.040 55.905 21.191 0.182 0x00
OBS: 59326.39 r NULL  383.161 108.536 21.042 0.308 0x00
OBS: 59328.46 r NULL  51.978 160.532 23.210 3.353 0x00
OBS: 59331.40 r NULL  273.039 177.569 21.409 0.706 0x00
OBS: 59333.43 r NULL  204.305 74.647 21.724 0.397 0x00
OBS: 59336.45 r NULL  77.899 84.227 22.771 1.174 0x00
OBS: 59357.37 r NULL  157.363 96.686 22.008 0.667 0x00
OBS: 59361.45 r NULL  139.566 84.259 22.138 0.655 0x00
OBS: 59372.34 r NULL  70.476 60.783 22.880 0.936 0x00
OBS: 59380.35 r NULL  137.419 105.208 22.155 0.831 0x00
OBS: 59230.66 i NULL  -44.135 56.433 nan -1.388 0x00
OBS: 59242.64 i NULL  45.823 126.095 23.347 2.988 0x00
OBS: 59245.66 i NULL  -74.913 92.629 nan -1.342 0x00
OBS: 59270.58 i NULL  -4.252 105.135 nan -26.846 0x01
OBS: 59296.52 i NULL  802.723 130.132 20.239 0.176 0x00
OBS: 59300.50 i NULL  546.592 377.174 20.656 0.749 0x00
OBS: 59326.40 i NULL  436.751 115.210 20.899 0.286 0x00
OBS: 59331.40 i NULL  435.340 135.181 20.903 0.337 0x00
OBS: 59336.45 i NULL  391.656 127.155 21.018 0.352 0x01
OBS: 59351.37 i NULL  74.930 90.217 22.813 1.307 0x00
OBS: 59357.36 i NULL  85.552 151.212 22.669 1.919 0x00
OBS: 59361.46 i NULL  264.385 94.147 21.444 0.387 0x00
OBS: 59367.35 i NULL  174.144 62.955 21.898 0.393 0x00
OBS: 59376.39 i NULL  43.211 75.235 23.411 1.890 0x00
OBS: 59383.27 i NULL  138.924 54.013 22.143 0.422 0x00
OBS: 59391.30 i NULL  160.189 71.528 21.988 0.485 0x01
OBS: 59220.66 z NULL  44.892 79.158 23.370 1.914 0x00
OBS: 59238.59 z NULL  -135.588 215.047 nan -1.722 0x00
OBS: 59244.62 z NULL  152.132 198.333 22.044 1.415 0x00
OBS: 59246.65 z NULL  -122.493 127.975 nan -1.134 0x00
OBS: 59298.50 z NULL  404.929 135.409 20.982 0.363 0x00
OBS: 59304.51 z NULL  577.545 113.492 20.596 0.213 0x00
OBS: 59328.46 z NULL  -3.237 200.790 nan -67.348 0x00
OBS: 59333.43 z NULL  314.035 121.702 21.258 0.421 0x00
OBS: 59382.27 z NULL  67.115 76.182 22.933 1.232 0x00
OBS: 59384.27 z NULL  -88.762 134.415 nan -1.644 0x00
OBS: 59388.31 z NULL  71.100 103.125 22.870 1.575 0x01
END:
