SURVEY:  PS1MD
SNID:  2021hqa
otherID: 
IAUC:    UNKNOWN
RA:        172.6383080  deg
DECL:       9.8374630  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021hqa.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0028
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 4000
# DIST_FROM_CENTER_DEG: 1.176 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 125
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58847.61 g NULL  -2.936 46.684 nan -17.264 0x00
OBS: 58850.61 g NULL  -7.580 41.423 nan -5.933 0x00
OBS: 58866.57 g NULL  -109.796 75.885 nan -0.750 0x00
OBS: 58869.56 g NULL  -18.386 72.829 nan -4.301 0x00
OBS: 58871.56 g NULL  73.733 56.789 22.831 0.836 0x00
OBS: 58876.51 g NULL  75.928 61.144 22.799 0.874 0x00
OBS: 58965.41 g NULL  120.865 105.791 22.294 0.950 0x00
OBS: 58982.30 g NULL  -64.021 67.049 nan -1.137 0x00
OBS: 58986.29 g NULL  35.867 53.801 23.613 1.629 0x00
OBS: 58994.27 g NULL  22.700 54.821 24.110 2.622 0x00
OBS: 59015.27 g NULL  31.552 74.486 23.752 2.563 0x00
OBS: 59023.28 g NULL  48.513 54.551 23.285 1.221 0x00
OBS: 59194.64 g NULL  -16.229 60.415 nan -4.042 0x00
OBS: 59226.57 g NULL  79.679 88.682 22.747 1.208 0x00
OBS: 59230.65 g NULL  12.813 55.859 24.731 4.733 0x00
OBS: 59236.65 g NULL  3.780 70.950 26.056 20.379 0x00
OBS: 59253.50 g NULL  -2.536 99.649 nan -42.663 0x00
OBS: 59288.47 g NULL  120.237 75.635 22.300 0.683 0x00
