SURVEY:  PS1MD
SNID:  2021hrj
otherID: 
IAUC:    UNKNOWN
RA:        156.9237130  deg
DECL:       72.8269300  deg
MWEBV:    0.093 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021hrj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.273 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 171
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59313.37 g NULL  2020.084 118.931 19.237 0.064 0x00
OBS: 59317.25 g NULL  2399.498 212.152 19.050 0.096 0x00
OBS: 59318.25 g NULL  2466.458 110.925 19.020 0.049 0x00
OBS: 59319.25 g NULL  2594.497 109.044 18.965 0.046 0x00
OBS: 59320.27 g NULL  2504.778 113.057 19.003 0.049 0x00
OBS: 59321.25 g NULL  2711.346 133.373 18.917 0.053 0x00
OBS: 59324.25 g NULL  2770.609 155.725 18.894 0.061 0x00
OBS: 59328.30 g NULL  3846.300 242.379 18.537 0.068 0x00
OBS: 59332.30 g NULL  3964.697 205.026 18.504 0.056 0x00
OBS: 59335.41 g NULL  4602.358 225.095 18.343 0.053 0x00
OBS: 59337.27 g NULL  4578.007 119.307 18.348 0.028 0x00
OBS: 59338.27 g NULL  4886.386 138.841 18.278 0.031 0x00
OBS: 59342.26 g NULL  4346.525 164.926 18.405 0.041 0x00
OBS: 59343.26 g NULL  4253.341 121.380 18.428 0.031 0x00
OBS: 59344.27 g NULL  4444.543 107.252 18.380 0.026 0x00
OBS: 59345.26 g NULL  4518.816 156.650 18.362 0.038 0x00
OBS: 59346.28 g NULL  3837.758 191.581 18.540 0.054 0x00
OBS: 59347.26 g NULL  3491.632 138.239 18.642 0.043 0x00
OBS: 59348.26 g NULL  3337.861 130.728 18.691 0.043 0x00
OBS: 59353.35 g NULL  2375.708 192.832 19.061 0.088 0x09
OBS: 59354.35 g NULL  2271.897 133.021 19.109 0.064 0x00
OBS: 59357.31 g NULL  1727.941 154.837 19.406 0.097 0x00
OBS: 59359.29 g NULL  1244.148 249.522 19.763 0.218 0x00
OBS: 59362.35 g NULL  1003.748 246.820 19.996 0.267 0x00
OBS: 59363.34 g NULL  1317.651 127.895 19.700 0.105 0x00
OBS: 59364.26 g NULL  1088.197 121.947 19.908 0.122 0x00
OBS: 59367.27 g NULL  887.572 121.945 20.129 0.149 0x00
OBS: 59370.28 g NULL  595.171 165.847 20.563 0.303 0x00
OBS: 59371.34 g NULL  653.603 193.143 20.462 0.321 0x00
OBS: 59372.27 g NULL  835.643 167.016 20.195 0.217 0x00
OBS: 59374.27 g NULL  753.976 148.100 20.307 0.213 0x00
OBS: 59377.27 g NULL  1024.736 143.381 19.973 0.152 0x00
OBS: 59389.27 g NULL  829.864 369.365 20.202 0.483 0x00
OBS: 59394.28 g NULL  517.500 103.796 20.715 0.218 0x00
OBS: 59313.37 r NULL  3366.042 113.221 18.682 0.037 0x00
OBS: 59317.24 r NULL  3835.068 175.701 18.541 0.050 0x00
OBS: 59318.25 r NULL  4184.339 116.116 18.446 0.030 0x00
OBS: 59319.25 r NULL  4813.548 110.713 18.294 0.025 0x00
OBS: 59320.27 r NULL  4760.952 112.963 18.306 0.026 0x00
OBS: 59321.25 r NULL  4969.397 118.659 18.259 0.026 0x00
OBS: 59324.25 r NULL  6054.283 146.132 18.045 0.026 0x00
OBS: 59328.30 r NULL  6598.106 205.893 17.951 0.034 0x00
OBS: 59332.30 r NULL  8142.282 157.638 17.723 0.021 0x00
OBS: 59335.41 r NULL  9190.476 229.041 17.592 0.027 0x00
OBS: 59337.27 r NULL  8780.076 139.789 17.641 0.017 0x00
OBS: 59338.27 r NULL  9300.290 147.319 17.579 0.017 0x00
OBS: 59342.26 r NULL  9374.200 186.897 17.570 0.022 0x00
OBS: 59343.25 r NULL  9420.369 140.137 17.565 0.016 0x00
OBS: 59344.27 r NULL  9186.313 136.632 17.592 0.016 0x00
OBS: 59345.25 r NULL  9709.273 156.778 17.532 0.018 0x00
OBS: 59346.28 r NULL  9294.173 166.851 17.579 0.019 0x00
